Entity,Year,share_new_international_cs_phds
North America,2004,45.9
North America,2005,51.7
North America,2006,56
North America,2007,53.2
North America,2008,55.5
North America,2009,48.3
North America,2010,45.8
North America,2011,48.1
North America,2012,51.3
North America,2013,58.7
North America,2014,60.1
North America,2015,60.7
North America,2016,63.1
North America,2017,62.3
North America,2018,64.4
North America,2019,61.7
North America,2020,65
