Entity,Year,share_international_new_cs_phds
World,2004,45.9
World,2005,51.7
World,2006,56
World,2007,53.2
World,2008,55.5
World,2009,48.3
World,2010,45.8
World,2011,48.1
World,2012,51.3
World,2013,58.7
World,2014,60.1
World,2015,60.7
World,2016,63.1
World,2017,62.3
World,2018,64.4
World,2019,61.7
World,2020,65
