Entity,Year,Sum_of_FY_funding_dollar_Air_Force,Sum_of_FY_funding_dollar_Army,Sum_of_FY_funding_dollar_Chemical_and_Biological_Defense_Program,Sum_of_FY_funding_dollar_Defense_Advanced_Research_Projects_Agency,Sum_of_FY_funding_dollar_Defense_Contract_Management_Agency,Sum_of_FY_funding_dollar_Defense_Counterintelligence_and_Security_Agency,Sum_of_FY_funding_dollar_Defense_Information_Systems_Agency,Sum_of_FY_funding_dollar_Defense_Logistics_Agency,Sum_of_FY_funding_dollar_Defense_Technical_Information_Center,Sum_of_FY_funding_dollar_Defense_Threat_Reduction_Agency,Sum_of_FY_funding_dollar_Missile_Defense_Agency,Sum_of_FY_funding_dollar_Navy,Sum_of_FY_funding_dollar_Office_of_the_Secretary_Of_Defense,"Sum_of_FY_funding_dollar_Operational_Test_and_Evaluation,_Defense",Sum_of_FY_funding_dollar_Space_Development_Agency,Sum_of_FY_funding_dollar_The_Joint_Staff,Sum_of_FY_funding_dollar_United_States_Special_Operations_Command,Sum_of_FY_funding_dollar_Grand_Total
United States,2020,1179342000,1524808000,204815000,1123677000,3070000,12053000,200598000,24477000,60396000,336304000,37541000,1724654000,1923705000,134409000,75216000,15062000,101001000,8681128000
United States,2021,1641451000,1629034000,227890000,1193063000,1441000,20078000,159461000,25763000,57716000,296895000,45919000,1930823000,1539933000,110069000,194694000,14167000,169224000,9257621000
United States,2022,1750598000,1772859000,193619000,1125634000,4265000,14155000,218515000,23506000,61453000,296287000,32885000,1855787000,1712498000,111197000,636179000,13958000,180033000,10003428000
