Entity,Year,female_new_cs_phds,female_new_ai_phds,new_international_ai_phds
North America,2004,0.185,NA,NA
North America,2005,0.151,NA,NA
North America,2006,0.185,NA,NA
North America,2007,0.193,NA,NA
North America,2008,0.20600000000000002,NA,NA
North America,2009,0.20800000000000002,NA,NA
North America,2010,0.188,0.179,0.38299999999999995
North America,2011,0.184,0.18100000000000002,0.43200000000000005
North America,2012,0.17800000000000002,0.184,0.441
North America,2013,0.172,0.14300000000000002,0.517
North America,2014,0.17600000000000002,0.225,0.457
North America,2015,0.183,0.17300000000000001,0.517
North America,2016,0.171,0.17600000000000002,0.5529999999999999
North America,2017,0.183,0.155,0.521
North America,2018,0.193,0.195,0.607
North America,2019,0.203,0.221,0.643
North America,2020,0.19899999999999998,0.20199999999999999,0.605
