Entity,Year,total_corporate_investment_by_activity,total_corporate_investment_by_activity_inflation_adjusted
Merger/Acquisition,2013,431603840,502030598
Minority Stake,2013,1399495070,1627857033
Private Investment,2013,2736516936,3183046827
Public Offering,2013,661113719,768990646
Merger/Acquisition,2014,205587735,235317046
Minority Stake,2014,267832858.99999997,306563217
Private Investment,2014,5920354774,6776476229
Public Offering,2014,22779081199,26073083145
Merger/Acquisition,2015,1819616027,2080276421
Minority Stake,2015,3418211961,3907871573
Private Investment,2015,8980714017,10267203267
Public Offering,2015,766506701,876308954
Merger/Acquisition,2016,2749005682,3103646339
Minority Stake,2016,1178806523,1330880679
Private Investment,2016,15730530245,17759876935
Public Offering,2016,170743904,192771043
Merger/Acquisition,2017,22493500309,24865650373
Minority Stake,2017,1190033337,1315533487
Private Investment,2017,23092889664,25528250944
Public Offering,2017,557269302,616038564
Merger/Acquisition,2018,4338141243,4681294443
Minority Stake,2018,1087034099,1173020057
Private Investment,2018,35256252550,38045072739
Public Offering,2018,4893601916,5280692853
Merger/Acquisition,2019,20417268957,21640139652
Minority Stake,2019,2035130940.0000002,2157022952
Private Investment,2019,42572633211,45122475977
Public Offering,2019,1955701075,2072835719
Merger/Acquisition,2020,21532879497,22544463854
Minority Stake,2020,44061387953,46131329913
Private Investment,2020,46002661475,48163801731
Public Offering,2020,7940692135,8313734670
Merger/Acquisition,2021,72029082206,72029082206
Minority Stake,2021,1325140764,1325140764
Private Investment,2021,93535757202,93535757202
Public Offering,2021,9576755629,9576755629
