Entity,Year,total_private_investment_by_country,total_private_investment_by_focus_area,total_private_investment_by_country_inflation_adjusted,total_private_investment_by_focus_area_inflation_adjusted
Agricultural Tech,2017,NA,373646085,NA,413050561
Agricultural Tech,2018,NA,256064034,NA,276319067
Agricultural Tech,2019,NA,427439815,NA,453040870
Agricultural Tech,2020,NA,644546038,NA,674825903
Agricultural Tech,2021,NA,1428772088,NA,1428772088
Audiovisual,2017,NA,1006503501.9999999,NA,1112648713
Audiovisual,2018,NA,3455842936,NA,3729205073
Audiovisual,2019,NA,2642116336,NA,2800363095
Audiovisual,2020,NA,3399496764,NA,3559200335
Audiovisual,2021,NA,8094824174.999999,NA,8094824175
Augmented Reality/Virtual Reality,2017,NA,253812442.00000003,NA,280579339
Augmented Reality/Virtual Reality,2018,NA,338232474,NA,364987148
Augmented Reality/Virtual Reality,2019,NA,2047761996.9999998,NA,2170410532
Augmented Reality/Virtual Reality,2020,NA,552470672,NA,578424966
Augmented Reality/Virtual Reality,2021,NA,1264948880,NA,1264948880
Australia,2021,1251114736,NA,1251114736,NA
Canada,2021,1865972581,NA,1865972581,NA
China,2013,129051980.00000001,NA,150109977,NA
China,2014,447527480,NA,512242838,NA
China,2015,1807707395,NA,2066661875,NA
China,2016,3476062248,NA,3924498207,NA
China,2017,6008831022,NA,6642518474,NA
China,2018,10239747470,NA,11049726195,NA
China,2019,12747192293,NA,13510671871,NA
China,2020,9823386329,NA,10284875186,NA
China,2021,17210048199,NA,17210048199,NA
"Cybersecurity, Data Protection",2017,NA,613068301,NA,677722089
"Cybersecurity, Data Protection",2018,NA,1167259441,NA,1259591338
"Cybersecurity, Data Protection",2019,NA,1142510818,NA,1210940293
"Cybersecurity, Data Protection",2020,NA,1735516729,NA,1817048861
"Cybersecurity, Data Protection",2021,NA,2645209666,NA,2645209666
"Data Management, Processing, Cloud",2017,NA,2315980730,NA,2560222567
"Data Management, Processing, Cloud",2018,NA,2933062064,NA,3165071484
"Data Management, Processing, Cloud",2019,NA,4803511614,NA,5091212853
"Data Management, Processing, Cloud",2020,NA,4687768450,NA,4907993211
"Data Management, Processing, Cloud",2021,NA,12167417279,NA,12167417279
Drones,2017,NA,108073346,NA,119470692
Drones,2018,NA,714667936,NA,771199196
Drones,2019,NA,195209829,NA,206901715
Drones,2020,NA,411911447,NA,431262467
Drones,2021,NA,2477475661,NA,2477475661
Educational Tech,2017,NA,1099687124,NA,1215659420
Educational Tech,2018,NA,1970948323,NA,2126853165
Educational Tech,2019,NA,776122043,NA,822607051
Educational Tech,2020,NA,3070381050,NA,3214623228
Educational Tech,2021,NA,1242150888,NA,1242150888
"Energy, Oil, and Gas",2017,NA,1725580941,NA,1907559596
"Energy, Oil, and Gas",2018,NA,876579580,NA,945918283
"Energy, Oil, and Gas",2019,NA,1234038350,NA,1307949770
"Energy, Oil, and Gas",2020,NA,1203015054,NA,1259531007
"Energy, Oil, and Gas",2021,NA,2779850136,NA,2779850136
Entertainment,2017,NA,111421271,NA,123171687
Entertainment,2018,NA,133974023,NA,144571561
Entertainment,2019,NA,125808045,NA,133343185
Entertainment,2020,NA,236587070,NA,247701597
Entertainment,2021,NA,706492233,NA,706492233
European Union,2013,471436308,NA,548362710,NA
European Union,2014,575129750,NA,658297218,NA
European Union,2015,314489074,NA,359539703,NA
European Union,2016,531393836,NA,599947299,NA
European Union,2017,881477057,NA,974437060,NA
European Union,2018,1354858941,NA,1462030228,NA
European Union,2019,2232561570,NA,2366278480,NA
European Union,2020,2012713739,NA,2107268196,NA
European Union,2021,6423501252,NA,6423501252,NA
Facial Recognition,2017,NA,911568545,NA,1007701977
Facial Recognition,2018,NA,2138964318.9999998,NA,2308159467
Facial Recognition,2019,NA,1452802547,NA,1539816617
Facial Recognition,2020,NA,1108319408,NA,1160386693
Facial Recognition,2021,NA,1874072234,NA,1874072234
Financial Tech,2017,NA,1783482771,NA,1971567716
Financial Tech,2018,NA,3423787714,NA,3694614237
Financial Tech,2019,NA,6270317789,NA,6645871830
Financial Tech,2020,NA,3182670965,NA,3332188365
Financial Tech,2021,NA,10259479432,NA,10259479432
Fitness and Wellness,2017,NA,301139142,NA,332897082
Fitness and Wellness,2018,NA,911294775,NA,983379500
Fitness and Wellness,2019,NA,1301198740,NA,1379132660
Fitness and Wellness,2020,NA,2673984102,NA,2799604110
Fitness and Wellness,2021,NA,5561635501,NA,5561635501
France,2021,1551918506,NA,1551918506,NA
Geospatial,2017,NA,224974937,NA,248700649
Geospatial,2018,NA,315460749,NA,340414147
Geospatial,2019,NA,256987051.00000003,NA,272379018
Geospatial,2020,NA,98469346,NA,103095297
Geospatial,2021,NA,925033928,NA,925033928
Germany,2021,1983560306,NA,1983560306,NA
Hong Kong,2021,628920000,NA,628920000,NA
Human Resources Tech,2017,NA,244478675,NA,270261239
Human Resources Tech,2018,NA,362772974,NA,391468837
Human Resources Tech,2019,NA,713780055,NA,756531155
Human Resources Tech,2020,NA,767367539,NA,803417385
Human Resources Tech,2021,NA,2180100559,NA,2180100559
India,2021,1349038569,NA,1349038569,NA
"Industrial Automation, Network",2017,NA,3016692488,NA,3334830936
"Industrial Automation, Network",2018,NA,4663462270,NA,5032348830
"Industrial Automation, Network",2019,NA,1876778330,NA,1989185980
"Industrial Automation, Network",2020,NA,3619799818,NA,3789852916
"Industrial Automation, Network",2021,NA,5853281183,NA,5853281183
Insurance Tech,2017,NA,94008158,NA,103922198
Insurance Tech,2018,NA,479598041,NA,517534935
Insurance Tech,2019,NA,416634296,NA,441588166
Insurance Tech,2020,NA,528729215.00000006,NA,553568169
Insurance Tech,2021,NA,1771675486,NA,1771675486
Israel,2021,2408546712,NA,2408546712,NA
Legal Tech,2017,NA,225312975,NA,249074336
Legal Tech,2018,NA,379913682,NA,409965400
Legal Tech,2019,NA,578363648,NA,613004126
Legal Tech,2020,NA,528302143,NA,553121034
Legal Tech,2021,NA,906124540,NA,906124540
"Marketing, Digital Ads",2017,NA,842306682,NA,931135803
"Marketing, Digital Ads",2018,NA,1271939478,NA,1372551717
"Marketing, Digital Ads",2019,NA,1683636774,NA,1784476415
"Marketing, Digital Ads",2020,NA,1086473898,NA,1137514912
"Marketing, Digital Ads",2021,NA,2313249674,NA,2313249674
Medical and Healthcare,2017,NA,2891236849,NA,3196144826
Medical and Healthcare,2018,NA,2787551691,NA,3008051031
Medical and Healthcare,2019,NA,3888987229,NA,4121913999
Medical and Healthcare,2020,NA,8059113645,NA,8437719455
Medical and Healthcare,2021,NA,11290055324,NA,11290055324
"Music, Video Content",2017,NA,193566515,NA,213979915
"Music, Video Content",2018,NA,363540939,NA,392297549
"Music, Video Content",2019,NA,158128478,NA,167599416
"Music, Video Content",2020,NA,144139205,NA,150910662
"Music, Video Content",2021,NA,472245294,NA,472245294
"Natural Language, Customer Support",2017,NA,767517852,NA,848459791
