Entity,Year,casp_median_accuracy_gdt_ts,,
Best team,2006,34.3,,
Best team,2008,40.8,,
Best team,2010,33.9,,
Best team,2012,30.1,,
Best team,2014,30.1,,
Best team,2016,40.8,,
Best team,2018,57.7,,
Best team,2020,87,,
