Entity,Year,Gini coefficient,Palma ratio (S90/S40 ratio),S90/S10 ratio,S80/S20 ratio,S90/S50 ratio,P90/P10 ratio,P90/P50 ratio,P50/P10 ratio,P0-P10 - share of the bottom 10%,P0-P40 - share of the bottom 40%,P0-P50 - share of the bottom 50%,P10-P20 - share of national income,P20-P30 - share of national income,P30-P40 - share of national income,P40-P50 - share of national income,P50-P60 - share of national income,P50-P90 - share of the middle 40%,P60-P70 - share of national income,P70-P80 - share of national income,P80-P90 - share of national income,P90-P100 - share of the top 10%,P99.999-P100 - share of the top 0.001%,P99.99-P100 - share of the top 0.01%,P99.9-P100 - share of the top 0.1%,P99-P100 - share of the top 1%,Mean income,P0-P10 - mean income of the bottom 10%,P10-P20 - mean income,P20-P30 - mean income,P30-P40 - mean income,P40-P50 - mean income,P50-P60 - mean income,P60-P70 - mean income,P70-P80 - mean income,P80-P90 - mean income,P90-P100 - mean income of the top 10%,P99.999-P100 - mean income of the top 0.001%,P99.99-P100 - mean income of the top 0.01%,P99.9-P100 - mean income of the top 0.1%,P99-P100 - mean income of the top 1%,P0 - income threshold of the bottom 10%,P10 - income threshold,P20 - income threshold,P30 - income threshold,P40 - income threshold,P50 - income threshold (median),P60 - income threshold,P70 - income threshold,P80 - income threshold,P90 - income threshold of the top 10%,P99.999 - income threshold of the top 0.001%,P99.99 - income threshold of the top 0.01%,P99.9 - income threshold of the top 0.1%,P99 - income threshold of the top 1%
United Arab Emirates,1998,0.656802051963233,9.0016613,338.6875,49.707142,5.4353061,35.410675,5.3313556,6.6419649,0.16,6.02,9.969999999999999,1.24,2.1399999999999997,2.8000000000000003,3.64,4.84,35.839999999999996,6.52,9.08,15.4,54.190000000000005,0.6,1.69,5.29,19.040000000000003,160830.3530549683,2494.63181208337,19957.00808577577,34341.27482340735,45003.43449889545,58507.28663074813,77863.45931924327,104836.0305383216,146006.064658012,247745.0500166694,871549.3829883091,96941100.2930542,27119690.49537231,8514577.276250277,3062691.095434918,0.0,9978.52724833348,29436.61825387081,39136.03040261788,50268.47163848329,66277.02674580648,88614.58867313295,119767.0175741122,172167.3734991771,353346.3961506311,64263571.914915,11690534.98701816,4160853.350178425,1455019.634812282
United Arab Emirates,2009,0.676088348550998,10.216364,351.1875,51.198582,6.3563347,38.374195,6.7901239,5.6514716,0.16,5.5,8.84,1.25,2.0,2.36,3.08,4.21,34.96,5.96,8.799999999999999,16.0,56.19,0.49,1.34,4.19,17.21,74062.22168762941,1156.837873676584,9254.795811195045,14776.81005527406,17469.98765984674,22848.17455214353,31192.527910963,44112.85590794704,65145.71486228162,118477.7694278849,416186.5107606258,36507591.48939179,9917204.166523648,3105174.140077122,1274692.252014072,0.0,4627.397905597522,13650.83542423548,15633.27664120152,19409.12751533719,26151.60896490739,35887.40725234347,53121.25629784108,78085.48902267218,177572.6643519259,24046455.49521265,4059072.409374137,1642941.27814598,660284.5465370889
United Arab Emirates,2013,0.617477285610356,7.7532053,372.15384,54.677967,4.3429084,42.446743,4.2653403,9.9515486,0.13,6.239999999999999,11.14,1.05,2.19,3.2399999999999998,4.53,5.91,40.48,7.84,10.6,16.14,48.38,0.47000000000000003,1.35,4.32,15.959999999999999,77475.32503626336,1013.892328826874,8111.370685070915,16958.95733700903,25114.13990335855,35117.49697847599,45764.29464898186,60750.41782350015,82100.2167537369,125014.4185750497,374807.9989177325,36690172.72429862,10447609.04076277,3350765.214223005,1236605.2933958,0.0,4055.662137089865,11964.26363857364,21556.32739600987,29022.81874806561,40360.11765762149,51398.06631903429,70316.7699472199,93444.1988316234,172149.6445387444,24543356.48633801,4610959.167939805,1672793.459519521,609801.4709377663
United Arab Emirates,2014,0.620527349231921,7.9379086,373.69232,56.304348,4.4324818,43.226902,4.292594,10.070112,0.13,6.12,10.96,1.02,2.1399999999999997,3.19,4.4799999999999995,5.86,40.46,7.82,10.61,16.17,48.58,0.52,1.46,4.5600000000000005,16.3,80702.32071124557,1033.013615995082,8263.78405172236,17290.05263472261,25713.90785014193,36122.24636173942,47301.4233650281,63095.6529768591,85659.32876603874,130481.3430912922,392062.3151662427,42101560.39017884,11782672.58003025,3679703.101659854,1315512.39442512,0.0,4131.915231306773,12189.12440636483,22010.13309001651,29794.16775955983,41608.84909584431,53266.98649616189,73196.38010168259,97763.61406331744,178609.9013590188,28047787.18664574,5088861.396649687,1788879.165204841,635847.4951252278
United Arab Emirates,2018,0.594405844538134,6.5812674,251.47368,36.08046,3.7298985,27.5142,3.6214116,7.5976448,0.19,7.26,12.809999999999999,1.55,2.58,3.3300000000000005,5.1499999999999995,6.460000000000001,39.410000000000004,7.9399999999999995,10.01,15.0,47.78,0.51,1.39,4.2299999999999995,15.310000000000002,87095.69943732243,1686.850251008952,13495.26611698346,22514.10895739411,29023.60773321576,44819.74019158534,56257.84355679496,69136.72662795083,87218.87394252734,130621.5039826708,416182.3801913103,44464018.39320207,12086305.67162275,3687963.219251173,1333633.248422944,0.0,6747.633058491731,19905.49199656045,24616.47591718211,35089.69685465619,51266.12015539542,61267.24950773598,76626.33060381669,96070.03423308668,185655.724393374,29275041.52086381,5053842.522814979,1773198.874330869,664236.4339214893
Afghanistan,2008,0.524523890288169,3.8833334,144.6207,21.515385,2.444056,14.330679,2.6858401,5.3356409,0.29,10.8,17.16,2.31,3.88,4.8500000000000005,5.83,7.24,40.9,9.16,10.5,14.000000000000002,41.94,0.54,1.73,5.66,16.220000000000002,3552.840416343491,102.5942047639707,820.7332750482486,1379.231018125989,1724.446033927824,2071.447908553266,2570.561867649876,3254.933887857271,3730.905225266935,4974.620055688021,14898.92050502175,1914370.90193541,616151.2011903521,201097.5362473546,57617.52239627051,0.0,410.3666375241243,1210.579035313227,1510.252059559538,1860.781834939281,2189.568949248865,2984.044053892084,3362.496680119362,4087.457376681799,5880.832380614295,1321406.535733664,285377.0082351311,91362.32582626105,22012.20185116642
Afghanistan,2012,0.492655841152544,3.1718495,121.125,18.358622,2.04,13.028391,2.5982683,5.0142593,0.32,12.22,19.0,2.58,4.4799999999999995,5.42,6.21,7.42,42.24,9.33,11.020000000000001,14.48,38.76,0.42,1.35,4.54,13.819999999999999,4934.499729793869,158.959164578722,1271.663135098018,2209.478934602504,2673.334249219619,3063.047649571738,3659.817770529473,4602.052354817124,5438.419371880465,7143.327046363832,19124.8976212772,2094447.041913139,667318.7181268818,224082.3543735759,68185.50437413901,0.0,635.8315675490088,1875.702869731282,2424.334708535089,2794.840649224901,3188.224491775939,4165.36645769742,4806.080069724603,5959.973426972688,8283.862233944837,1432690.881484103,312354.8093048476,106226.8225724075,28073.52733602855
Afghanistan,2017,0.515393122176032,3.5785341,132.29033,19.938848,2.3052278,13.699659,2.8200912,4.8578782,0.31,11.459999999999999,17.79,2.4699999999999998,4.18,5.04,5.79,6.94,41.21,9.049999999999999,10.8,14.42,41.010000000000005,0.43,1.46,5.0200000000000005,15.079999999999998,4635.381599028394,143.1879718848907,1145.513956610884,1936.288074459909,2337.455698040278,2682.920161370195,3219.247619043921,4194.852173669876,5004.126134723995,6682.286925277927,19007.93218443618,2001292.60868365,675867.5038171813,232654.8019436821,69902.25826082332,0.0,572.7569783054422,1689.6353768457,2106.294200996544,2450.017622395767,2782.383545118444,3773.947650775761,4382.579256232085,5529.701894860803,7846.575626451385,1397795.615873067,326760.4549592361,110593.238646973,28001.00937607902
Albania,1996,0.467629835462155,2.9501812,232.64285,24.690001,1.7324468,28.873638,2.5141823,11.484305,0.13999999999999999,11.04,18.8,1.8599999999999999,4.04,5.64,7.12,8.540000000000001,48.63,10.45,12.83,16.81,32.57,0.13,0.51,2.04,8.14,8511.808101770966,119.4742621775622,1581.207532836833,3440.066625747184,4797.505110452533,6061.9852533723,7266.002692744927,8896.79184422753,10917.80887565883,14310.79335478058,27726.44296373738,1082683.935300134,433111.5866109495,173259.837639159,69310.02385957623,0.0,579.8850146413923,2676.601771245337,4202.810911738662,5472.752863888066,6659.576737971613,8100.63619751568,9735.378467909337,12467.31139403943,16743.39011222824,653809.0388307804,261546.5786496322,104627.8187083601,41854.79988077292
Albania,2002,0.481698046575946,3.2253115,224.26666,27.983425,1.8730512,28.861563,2.6103082,11.056765,0.15,10.43,17.96,1.66,3.7699999999999996,5.45,6.92,8.36,48.39,10.18,12.839999999999998,17.01,33.64,0.15,0.5700000000000001,2.21,8.63,10522.10917858452,161.4073463226439,1744.521383343162,3971.005523137369,5736.748649900494,7286.466338044607,8793.585416961145,10715.39167359501,13513.43425857746,17898.47644619363,35400.06225569164,1529484.166906511,596567.679342804,232688.2751765189,90758.90148269328,0.0,726.9110144445893,2796.321226874344,5045.763480040584,6462.115946390578,8037.283714005082,9733.331853181966,11836.48869084733,15549.03029247375,20979.78752286688,906446.2632247596,353554.8708700854,137902.3264551891,53788.11996914907
