Year|Noms de mesures|Valeurs de mesures
1929|Cargo RTKs (mils)|
1930|Cargo RTKs (mils)|
1931|Cargo RTKs (mils)|
1932|Cargo RTKs (mils)|
1933|Cargo RTKs (mils)|
1934|Cargo RTKs (mils)|
1935|Cargo RTKs (mils)|
1936|Cargo RTKs (mils)|
1937|Cargo RTKs (mils)|
1938|Cargo RTKs (mils)|
1939|Cargo RTKs (mils)|
1940|Cargo RTKs (mils)|
1941|Cargo RTKs (mils)|
1942|Cargo RTKs (mils)|
1943|Cargo RTKs (mils)|
1944|Cargo RTKs (mils)|
1945|Cargo RTKs (mils)|240
1946|Cargo RTKs (mils)|220
1947|Cargo RTKs (mils)|400
1948|Cargo RTKs (mils)|590
1949|Cargo RTKs (mils)|760
1950|Cargo RTKs (mils)|930
1951|Cargo RTKs (mils)|1100
1952|Cargo RTKs (mils)|1200
1953|Cargo RTKs (mils)|1270
1954|Cargo RTKs (mils)|1370
1955|Cargo RTKs (mils)|1610
1956|Cargo RTKs (mils)|1800
1957|Cargo RTKs (mils)|1960
1958|Cargo RTKs (mils)|2040
1959|Cargo RTKs (mils)|2350
1960|Cargo RTKs (mils)|2650
1961|Cargo RTKs (mils)|3080
1962|Cargo RTKs (mils)|3580
1963|Cargo RTKs (mils)|3970
1964|Cargo RTKs (mils)|4670
1965|Cargo RTKs (mils)|5900
1966|Cargo RTKs (mils)|7230
1967|Cargo RTKs (mils)|8420
1968|Cargo RTKs (mils)|10503
1969|Cargo RTKs (mils)|12286
1970|Cargo RTKs (mils)|15087
1971|Cargo RTKs (mils)|16125
1972|Cargo RTKs (mils)|17801
1973|Cargo RTKs (mils)|20408
1974|Cargo RTKs (mils)|21900
1975|Cargo RTKs (mils)|22270
1976|Cargo RTKs (mils)|24571
1977|Cargo RTKs (mils)|26805
1978|Cargo RTKs (mils)|29205
1979|Cargo RTKs (mils)|31436
1980|Cargo RTKs (mils)|33057
1981|Cargo RTKs (mils)|34675
1982|Cargo RTKs (mils)|35413
1983|Cargo RTKs (mils)|39112
1984|Cargo RTKs (mils)|43978
1985|Cargo RTKs (mils)|44236
1986|Cargo RTKs (mils)|47735
1987|Cargo RTKs (mils)|53021
1988|Cargo RTKs (mils)|58099
1989|Cargo RTKs (mils)|62202
1990|Cargo RTKs (mils)|64121
1991|Cargo RTKs (mils)|63630
1992|Cargo RTKs (mils)|67761
1993|Cargo RTKs (mils)|73671
1994|Cargo RTKs (mils)|82626
1995|Cargo RTKs (mils)|88765
1996|Cargo RTKs (mils)|94996
1997|Cargo RTKs (mils)|108870
1998|Cargo RTKs (mils)|107575
1999|Cargo RTKs (mils)|114373
2000|Cargo RTKs (mils)|133572,011601439
2001|Cargo RTKs (mils)|124941,687325198
2002|Cargo RTKs (mils)|134058,705507334
