Entity,Year,Unvaccinated,Fully vaccinated
All ages,45,1906.8,16.1
All ages,73,459.2,20.4
All ages,104,125.7,7.3
All ages,134,44.4,2.7
All ages,165,52.2,5.5
All ages,195,206.2,22.7
All ages,226,376.2,44.9
All ages,257,343.3,59.8
All ages,287,285.4,62.4
All ages,14,1183.8,
18-39,104,,
40-49,104,,
50-59,104,64.9,
60-69,104,240.2,
70-79,104,245.0,
80-89,104,929.0,39.6
90+,104,1593.3,160.8
18-39,226,15.7,
40-49,226,61.6,6.3
50-59,226,268.9,15.4
60-69,226,564.3,42.0
70-79,226,1082.2,115.6
80-89,226,2350.9,325.9
90+,226,3105.8,803.7
18-39,45,11.0,
40-49,45,47.3,
50-59,45,149.3,
60-69,45,603.0,
70-79,45,4961.4,
80-89,45,20346.2,204.7
90+,45,34698.0,622.4
18-39,14,19.5,
40-49,14,80.5,
50-59,14,235.3,
60-69,14,651.8,
70-79,14,2058.9,
80-89,14,11689.8,
90+,14,28317.8,
18-39,195,8.4,
40-49,195,45.0,
50-59,195,131.4,8.6
60-69,195,308.7,20.0
70-79,195,595.8,50.3
80-89,195,1334.2,163.5
90+,195,1562.9,393.3
18-39,165,,
40-49,165,,
60-69,165,100.2,
70-79,165,,12.7
80-89,165,,40.4
90+,165,,92.3
18-39,73,2.8,
40-49,73,14.9,
50-59,73,80.8,
60-69,73,572.6,
70-79,73,1131.2,
80-89,73,3951.1,90.2
90+,73,7146.0,
18-39,134,,
40-49,134,,
50-59,134,,
60-69,134,114.6,
80-89,134,,23.7
90+,134,,67.8
40-49,287,46.1,6.4
50-59,287,120.0,19.3
60-69,287,375.0,58.9
70-79,287,871.9,167.2
80-89,287,2034.3,453.7
90+,287,2794.8,1212.4
18-39,257,11.1,
40-49,257,55.7,5.9
50-59,257,197.2,19.7
60-69,257,490.3,59.4
70-79,257,965.6,164.9
80-89,257,2411.1,440.5
90+,257,3007.7,1008.6
