Entity,Year,Fully vaccinated + booster,"Fully vaccinated, no booster",Unvaccinated
20-29,380,0.0,0.0,0.0
20-29,387,0.0,0.0,0.0
20-29,394,0.0,0.0,0.0
20-29,401,0.0,0.0,0.0
20-29,408,0.0,0.0,0.0
20-29,415,0.0,0.0,0.0
20-29,422,0.0,0.0,0.0
20-29,429,0.0,0.0,0.0
20-29,436,0.0,0.0,0.0
20-29,443,0.0,0.0,0.0
20-29,450,0.0,0.0,0.0
30-39,30,,0.0,0.0
30-39,37,,0.0,0.0
30-39,44,,0.0,0.0
30-39,51,,0.0,0.0
30-39,58,,0.0,0.0
30-39,65,,0.0,0.0
30-39,72,,0.0,0.0
30-39,79,,0.0,0.0
30-39,86,,0.0,0.0
30-39,93,,0.0,0.0
30-39,100,,0.0,0.0
30-39,107,,0.0,0.0
30-39,114,,0.0,0.0
30-39,121,,0.0,0.0
30-39,128,,0.0,0.0
30-39,135,,0.0,0.0
30-39,142,,0.0,0.0
30-39,149,0.0,0.0,0.10207185450269572
30-39,156,0.0,0.0,0.0
30-39,163,0.0,0.0,0.0
30-39,170,0.0,0.0,0.0
30-39,177,0.0,0.0,0.0
30-39,184,0.0,0.0,0.0
30-39,191,0.0,0.0,0.0
30-39,198,0.0,0.0,0.0
30-39,205,0.0,0.0,0.1649451887137904
30-39,212,0.0,0.0,0.0
30-39,219,0.0,0.0,0.0
30-39,226,0.0,0.0,0.0
30-39,233,0.0,0.0,0.1798590264950332
30-39,240,0.0,0.0,0.0
30-39,247,0.0,0.0,0.19350032411304288
30-39,254,0.0,0.0,0.0
30-39,261,0.0,0.0,0.21829914404905618
30-39,268,0.0,0.0,0.0
30-39,275,0.0,0.0,0.23842164868570065
30-39,282,0.0,0.0,0.0
30-39,289,0.0,0.0,0.0
30-39,296,0.0,0.0,0.0
30-39,303,0.0,0.0,0.0
30-39,310,0.0,0.0,0.0
30-39,317,0.0,0.0,0.0
30-39,324,0.0,0.0,0.0
30-39,331,0.0,0.0,0.0
30-39,338,0.0,0.0,0.2821240555897239
30-39,345,0.0,0.0,0.0
30-39,352,0.0,0.0,0.586015330161037
30-39,359,0.0,0.0,0.0
30-39,366,0.0,0.0,0.0
30-39,373,0.0,0.0,0.3018904379222693
30-39,380,0.0,0.0,0.0
30-39,387,0.0,0.0,0.30678610872499695
30-39,394,0.0,0.0,0.0
30-39,401,0.0,0.0,0.0
30-39,408,0.0,0.0,0.0
30-39,415,0.0,0.0,0.3092824955386
30-39,422,0.0,0.0,0.0
30-39,429,0.22352912249172383,0.0,0.0
30-39,436,0.0,0.0,0.0
30-39,443,0.0,0.0,0.0
30-39,450,0.0,0.0,0.0
40-49,30,,0.0,0.08405367331363116
40-49,37,,0.0,0.0
40-49,44,,0.0,0.08462148387156829
40-49,51,,0.0,0.08489548092865469
40-49,58,,0.0,0.0
40-49,65,0.0,0.0,0.0
40-49,72,0.0,0.0,0.0
40-49,79,0.0,0.0,0.0
40-49,86,0.0,0.0,0.0
40-49,93,0.0,0.0,0.0
40-49,100,0.0,0.0,0.0
40-49,107,0.0,0.0,0.0
40-49,114,0.0,0.0,0.09042130904737535
40-49,121,0.0,0.0,0.18627194399920274
40-49,128,0.0,0.0,0.0
40-49,135,0.0,0.0,0.0
40-49,142,0.0,0.0,0.0
40-49,149,0.0,0.0,0.0
40-49,156,0.0,0.0,0.0
40-49,163,0.0,0.0,0.0
40-49,170,0.0,0.0,0.0
40-49,177,0.0,0.0,0.18531730956329975
40-49,184,0.0,0.0,0.0
40-49,191,0.0,0.0,0.19867523354273703
40-49,198,0.0,0.0,0.0
40-49,205,0.0,0.0,0.0
40-49,212,0.0,0.0,0.0
40-49,219,0.0,0.0,0.0
40-49,226,0.0,0.0,0.0
40-49,233,0.0,0.0,0.0
40-49,240,0.0,0.0,0.2380975056905304
40-49,247,0.0,0.0,0.4970895407389733
40-49,254,0.0,0.0,0.26307827894189917
40-49,261,0.0,0.0,0.28037199756637105
40-49,268,0.0,0.0,0.0
40-49,275,0.0,0.0,0.0
40-49,282,0.0,0.0,0.0
40-49,289,0.0,0.0,0.0
40-49,296,0.0,0.0,0.0
40-49,303,0.0,0.0,0.32935147401252196
40-49,310,0.0,0.0,0.0
40-49,317,0.0,0.0,0.0
40-49,324,0.0,0.0,0.6872923088554177
40-49,331,0.0,0.0,0.0
40-49,338,0.0,0.0,0.3522391844958401
40-49,345,0.0,0.0,1.4307072701389931
40-49,352,0.0,0.0,0.3628960556827708
40-49,359,0.547105810263705,0.1371147760367248,0.7320456650085833
40-49,366,0.0,0.0,0.0
40-49,373,0.0,0.0,0.0
40-49,380,0.0,0.0,0.3733976573030981
40-49,387,0.0,0.0,0.0
40-49,394,0.0,0.0,0.752323739951776
40-49,401,0.0,0.0,0.3767400681899523
40-49,408,0.0,0.0,0.0
40-49,415,0.0,0.0,0.0
40-49,422,0.0,0.0,0.0
40-49,429,0.0,0.0,0.0
40-49,436,0.0,0.0,0.0
40-49,443,0.18889522737318518,0.0,0.37776048474225404
40-49,450,0.0,0.0,0.0
50-59,30,,0.0,0.07819415295401871
50-59,37,,0.0,0.07856126049971246
50-59,44,,0.0,0.07905569552805647
50-59,51,0.0,0.0,0.0
50-59,58,0.0,0.0,0.0
50-59,65,0.0,0.0,0.16055745548544548
50-59,72,0.0,0.0,0.24268035599590357
50-59,79,0.0,0.0,0.16299666101339913
50-59,86,0.0,0.0,0.16472280035349512
50-59,93,0.0,0.0,0.3327211264606457
50-59,100,0.0,0.0,0.16791849907728784
50-59,107,0.0,0.0,0.08563102788916947
50-59,114,0.0,0.0,0.0
50-59,121,0.0,0.0,0.4761297129699638
50-59,128,0.0,0.0,0.0
50-59,135,0.0,0.0,0.4740965497623591
50-59,142,0.0,0.0,0.2690034096182169
50-59,149,0.0,0.4016919263939714,0.0
50-59,156,0.0,0.0,0.318922297771371
50-59,163,0.0,0.0,0.17595782642816168
50-59,170,0.0,0.0,0.0
50-59,177,0.0,0.16186546713564487,0.0
50-59,184,0.0,0.0,0.0
50-59,191,0.0,0.0,0.0
50-59,198,0.0,0.0,0.0
50-59,205,0.0,0.0,0.23320242903650085
50-59,212,0.0,0.0,0.23910745967452693
50-59,219,0.0,0.0,0.2438875678312298
50-59,226,0.0,0.0,0.24962992363820635
50-59,233,0.0,0.0,0.2564483948894964
50-59,240,0.0,0.0,1.063060764553302
50-59,247,0.0,0.0,0.5529933530198967
50-59,254,0.0,0.11144184574442596,1.4570844905012663
50-59,261,0.0,0.0,0.6182017130369468
50-59,268,0.0,0.10824490626532342,1.617196621999696
50-59,275,0.0,0.0,1.3336445170539792
50-59,282,0.0,0.0,0.34117932043902954
50-59,289,0.0,0.0,0.34888061654182556
50-59,296,0.0,0.0,0.0
50-59,303,0.0,0.0,0.0
50-59,310,0.0,0.0,0.3632902471100261
50-59,317,0.0,0.0,0.3694754188003872
50-59,324,0.0,0.0,0.0
50-59,331,0.0,0.20042952046235082,1.1328663406529087
50-59,338,1.6624274766013332,0.0,0.0
50-59,345,0.0,0.3393557670119046,0.7753921545821799
50-59,352,0.399235065614283,0.12832703889207567,1.5729824533807326
50-59,359,0.0,0.14261063019637485,0.7929208030701893
50-59,366,0.0,0.0,1.9928099417302374
50-59,373,0.0,0.18139997242720418,0.8026680686602266
50-59,380,0.0,0.0,1.2108345475313103
50-59,387,0.0,0.2364373618319167,1.2160863907772008
50-59,394,0.30711446002367854,0.7648359044566988,1.2190810566994599
50-59,401,0.0,0.26497717221661354,0.0
50-59,408,0.0,0.0,0.0
50-59,415,0.1465981173869765,0.0,0.40752619374610305
50-59,422,0.0,0.2773002052021519,0.815407948596683
50-59,429,0.0,0.0,0.8155708792261863
50-59,436,0.2897605853163823,0.0,0.0
50-59,443,0.14443228003685912,0.0,0.8160400838889206
50-59,450,0.28788328060271245,0.28387800059046625,1.6325064688068827
60-69,30,,0.0,0.0
60-69,37,,0.0,0.853590093233378
60-69,44,,0.0,0.7533443106361455
60-69,51,,0.0,0.4340145915705686
60-69,58,0.0,0.0,0.10920154017852268
60-69,65,0.0,0.0,0.6616068445433424
60-69,72,0.0,0.0,0.6704944449535235
60-69,79,0.0,0.0,0.4541852031002682
60-69,86,0.0,0.0,0.46586816862564234
60-69,93,0.0,0.0,0.8395802098950524
60-69,100,0.0,0.0,0.6266834283594305
60-69,107,0.0,0.0,0.5497631895061202
60-69,114,0.0,0.0,1.252336390077739
60-69,121,0.0,0.0,0.5429736494887903
60-69,128,0.0,0.5761463872740786,1.2653422750854106
60-69,135,0.0,0.0,0.9612403845922779
60-69,142,0.0,0.0,0.2706696909493469
60-69,149,0.0,0.0,0.5851614753091116
60-69,156,0.0,0.0,1.2583919009897253
60-69,163,0.0,0.1837211994054782,0.3407816850291198
60-69,170,0.0,0.0,1.4632183487580934
60-69,177,0.0,0.0,0.38856982988412847
60-69,184,0.0,0.0,0.0
60-69,191,0.0,0.0,0.0
60-69,198,0.0,0.0,0.0
60-69,205,0.0,0.0,0.878885221984435
60-69,212,0.0,0.0,0.451316490201919
60-69,219,0.0,0.0,0.46057267606541974
60-69,226,0.0,0.0,0.0
60-69,233,0.0,0.13618170997925952,0.0
60-69,240,0.0,0.13499175200395255,2.5016510897192146
60-69,247,0.0,0.1340714413082155,2.60300073925221
60-69,254,0.0,0.0,5.478401402470759
60-69,261,0.0,0.2640305853030015,2.317107786061438
60-69,268,0.0,0.2616112900968354,3.0232853437173106
60-69,275,0.0,0.0,5.61114747965959
60-69,282,0.0,0.0,0.6383617085112766
60-69,289,0.0,0.0,1.959017356893782
60-69,296,0.0,0.12537015538377058,3.9850957419251998
60-69,303,0.0,0.0,2.693385046326223
60-69,310,0.0,0.0,0.0
60-69,317,0.0,0.0,2.083405673808118
60-69,324,0.0,0.12900129775305538,0.0
60-69,331,1.1424654404204273,0.27426076439217645,3.561101377434013
60-69,338,0.0,0.30299082240798925,7.93662246208459
60-69,345,0.0,0.17678557853964505,2.933002881675331
60-69,352,0.5587637909888163,1.0748781625602737,8.943877170753522
60-69,359,0.47760053491259913,1.2326686783819498,3.0083557079789114
60-69,366,0.21724820390047425,1.095572244772751,6.80467556819041
60-69,373,0.19288151481426474,0.3235366437602723,7.626310772163966
60-69,380,0.175904898775526,0.38320049049662785,6.143543903300619
60-69,387,0.0,0.0,6.175603279245341
60-69,394,0.1605904589996499,0.4787758658661534,3.0969580129917387
60-69,401,0.31575274665420494,1.0055051406450315,1.5513857753438258
60-69,408,0.4689361090182666,1.552803068338863,6.990779938015084
60-69,415,0.0,1.580178244105935,1.554605518849592
60-69,422,0.0,0.5330689311434862,3.1109763021380186
60-69,429,0.0,0.0,0.0
60-69,436,0.3080928283691876,1.0822627950518946,0.778325199834995
60-69,443,0.153729555890686,0.5448195829950911,1.5573291804555187
60-69,450,0.0,0.0,2.336721579623788
70-79,30,,0.0,2.27926808143369
70-79,37,,0.0,1.5697650689597795
70-79,44,,0.0,1.9474955207603022
