Entity,Year,unvaccinated,vaccinated_with,vaccinated_without
30-49,414,0.7755450245,,0.1153205919
5-11,414,0.0,,0.0
50-64,414,6.943874501,,0.5505319244
65-79,414,41.40158501,,2.43880977
80+,414,75.52317225,,8.626234805
All ages,414,9.259567184,,0.7665249326
12-17,421,0.0220468566,,0.0
18-29,421,0.0927620013,,0.015374707
30-49,421,0.5545436845,,0.0369529941
5-11,421,0.0,,0.0
50-64,421,3.930826659,,0.3631329204
65-79,421,28.70752568,,1.530564694
80+,421,57.55433021,,6.407645556
All ages,421,6.478712923,,0.5122965365
12-17,428,0.0,,0.0
18-29,428,0.0349695549,,0.0
30-49,428,0.4233157351,,0.0450402994
5-11,428,0.0,,0.0
50-64,428,3.094037563,,0.3087051319
65-79,428,21.20457186,,1.083155019
80+,428,37.67130652,,4.867005013
All ages,428,4.621914565,,0.390163833
12-17,435,0.0222540356,,0.0
18-29,435,0.0819508613,,0.0
30-49,435,0.3006978055,,0.0326837826
5-11,435,0.0108815787,,0.0
50-64,435,1.857001532,,0.1810913958
65-79,435,11.41872861,,0.7676419069
80+,435,28.71864262,,2.839712872
All ages,435,2.904389652,,0.2454244884
12-17,442,0.0,,0.0
18-29,442,0.0587671959,,0.0076043881
30-49,442,0.26022039,,0.0244673499
5-11,442,0.0109163644,,0.0
50-64,442,1.423354631,,0.1124642736
65-79,442,9.700221882,,0.629572409
80+,442,15.21718519,,2.512813604
All ages,442,2.067450192,,0.2027641795
12-17,449,0.0,,0.0
18-29,449,0.0235981852,,0.007585372
30-49,449,0.1671670883,,0.0122148783
5-11,449,0.0109497939,,0.0
50-64,449,1.075501429,,0.0830622613
65-79,449,7.25048174,,0.3540002248
80+,449,14.06768667,,1.67463436
All ages,449,1.641865054,,0.1282097758
12-17,456,0.0,,0.0
18-29,456,0.0236806083,,0.0075678623
30-49,456,0.1153189723,,0.0121980187
5-11,456,0.0,,0.0
50-64,456,0.7039574331,,0.0927718792
65-79,456,4.359097513,,0.3669901869
80+,456,9.39540407,,1.74388107
All ages,456,1.04256068,,0.13420561
12-17,463,0.0,,0.0
18-29,463,0.0118791143,,0.0075540009
30-49,463,0.0946403886,,0.0203076033
5-11,463,0.0110382476,,0.0
50-64,463,0.6839377269,,0.0683192408
