Entity,Year,0 or 1 dose,2 doses,3 doses,4 doses
31-40,408,0.3109481742677948,0.20758645456866648,0.2205173778719632,0.0
31-40,415,0.9413241292751804,0.21548937637374477,0.0879623521132955,0.0
31-40,422,0.6337135614702155,0.8888632106183599,0.04381518055797756,0.0
31-40,429,0.9591283441608266,0.0,0.0437559398688372,0.0
31-40,436,0.0,0.6991621706654858,0.08735817945554014,0.0
31-40,443,0.6500745960598979,0.4786784644952216,0.17428442084633386,0.0
31-40,450,0.9819228012293674,0.9798301954271325,0.043517331865348674,0.8843140376010329
31-40,457,0.0,0.0,0.043633310891267096,0.0
31-40,464,0.33140675539530196,0.0,0.0878857028856831,0.0
31-40,471,0.0,0.2621280075912271,0.044050651200776704,0.0
31-40,478,0.0,0.0,0.04444537285889972,0.0
31-40,485,0.3362927091740651,0.0,0.0,0.0
31-40,492,0.0,0.0,0.0,0.0
31-40,499,0.3391440005426304,0.0,0.0,0.0
31-40,506,0.0,0.0,0.0,0.0
31-40,513,1.02562699997265,0.0,0.05569249721815976,0.14259883525271366
31-40,520,0.0,0.0,0.061414838193396555,0.0
31-40,527,0.0,0.0,0.0,0.09398734742328987
31-40,534,0.3461405330564209,0.0,0.07864504032917669,0.0
31-40,541,0.0,0.6922906513070447,0.0,0.0713306446435679
31-40,548,0.6982167544092388,0.7107295283243485,0.18976448329977666,0.0
31-40,555,0.35033632286995514,0.36217318397311227,0.0,0.0
31-40,562,0.0,0.0,0.21698634179471574,0.060698469427394916
31-40,569,0.7062870138538198,0.0,0.11814716883939311,0.11560045477218907
31-40,576,0.0,0.3849766704137729,0.0,0.0
31-40,583,0.35558716330340473,0.0,0.0,0.05396383236027549
31-40,590,0.0,0.0,0.0,0.0
31-40,597,0.7160553940452833,0.0,0.0,0.05177494879457564
41-50,282,1.1253942396695842,0.04680598311520965,0.0,
41-50,289,0.5754700151348614,0.0,0.0,
41-50,296,0.29286092913058376,0.05157715194061613,0.0,
41-50,303,0.0,0.0,0.20433434002051518,
41-50,310,0.6042588161361274,0.06194366842793164,0.0,
41-50,317,0.0,0.07202348541812514,0.0,
41-50,324,1.893580761219466,0.16604441522062738,0.0,
41-50,331,1.61036300802927,0.09623296075138696,0.0,
41-50,338,1.9719263419780393,0.33130281519045496,0.06913998842596594,
41-50,345,1.0055809744079642,0.0,0.0,
