entity,year,memory,disk_drives,ssd,flash
World,1956,,9200000000.0,,
World,1957,411041792000000.0,,,
World,1959,67947725000000.0,7600000000.0,,
World,1960,5242880000000.0,3600000000.0,,
World,1964,,3518620000.0,,
World,1965,2642412000000.0,,,
World,1966,,1047260000.0,,
World,1970,734003000000.0,259700000.0,,
World,1973,399360000000.0,,,
World,1974,314573000000.0,185000000.0,,
World,1975,49920000000.0,,,
World,1976,23040000000.0,,,
World,1978,15200000000.0,,,
World,1979,6704000000.0,,,
World,1980,6480000000.0,,,
World,1981,4479000000.0,,,
World,1982,1980000000.0,,,
World,1984,1331000000.0,,,
World,1985,300000000.0,31390000.0,,
World,1986,190000000.0,24450000.0,,
World,1987,133000000.0,14970000.0,,
World,1988,,9970000.0,,
World,1989,113000000.0,7480000.0,,
World,1990,46000000.0,3270000.0,,
World,1991,40000000.0,2790000.0,,
World,1992,26300000.0,1400000.0,,
World,1993,,718000.0,,
World,1994,,433000.0,,
World,1995,,214000.0,,
World,1996,5250000.0,128000.0,,
World,1997,2160000.0,48400.0,,
World,1998,840000.0,24800.0,,
World,1999,780000.0,8800.0,,
World,2000,700000.0,4070.0,,
World,2001,150000.0,2590.0,,
World,2002,130000.0,1220.0,,
World,2003,76000.0,1060.0,,191000.0
World,2004,,609.0,,
World,2005,,406.0,,76200.0
World,2006,73000.0,219.0,,14600.0
World,2007,24000.0,200.0,,7320.0
World,2008,10000.0,100.0,,1830.0
World,2009,,70.0,,1620.0
World,2010,,45.0,,1190.0
World,2011,5100.0,36.7,,1007.0
World,2012,3700.0,,,580.0
World,2013,,,625.0,458.0
World,2014,,35.0,375.0,335.0
World,2015,,28.3,250.0,145.0
World,2016,2700.0,27.7,203.0,
World,2017,,25.0,,
World,2018,,23.4,104.0,
World,2019,,18.7,79.2,
World,2020,,16.2,75.0,
World,2021,2600.0,,,
World,2022,2100.0,14.3,49.5,
