country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Pakistan,gini_pip_disposable_perCapita,gini,1990,0.3324865996837616,2018,0.2958926558494568,consumption,consumption,national,national,S & SE Asia,125546624,4931067831,0.025460331981387422,0.008465219207311232,219731488,6706199961,0.032765424424838444,0.009695048453100107
Panama,gini_pip_disposable_perCapita,gini,1991,0.5821961760520935,2018,0.4921247363090515,income,income,national,national,LAC,2607502,4931067831,0.0005287905357146972,0.0003078598278256347,4165258,6706199961,0.0006211055477353966,0.0003056614038993711
Paraguay,gini_pip_disposable_perCapita,gini,1995,0.5815904140472412,2018,0.45955100655555725,income,income,national,national,LAC,4386206,4931067831,0.0008895042920369837,0.0005173271695025876,6443337,6706199961,0.0009608029938670658,0.00044153798293320297
Peru,gini_pip_disposable_perCapita,gini,1997,0.5325936675071716,2018,0.4236569106578827,income,income,national,national,LAC,23513888,4931067831,0.004768518464129803,0.0025396827373865573,32203946,6706199961,0.004802115383866049,0.002034449368151383
Philippines,gini_pip_disposable_perCapita,gini,1994,0.4288838803768158,2018,0.37811705470085144,consumption,consumption,national,national,S & SE Asia,66083324,4931067831,0.013401422625857203,0.005747654138347293,108568832,6706199961,0.016189322213978643,0.006121458833152672
Poland,gini_pip_disposable_perCapita,gini,1992,0.29298561811447144,2018,0.30215439200401306,income,income,national,national,EE & CA,38319300,4931067831,0.007770994298455839,0.0022767895678971173,38521464,6706199961,0.005744156783874939,0.0017356222006074593
Romania,gini_pip_disposable_perCapita,gini,1992,0.25461727380752563,2018,0.35761502385139465,income,income,national,national,EE & CA,22721662,4931067831,0.004607858333879812,0.001173240327063765,19606778,6706199961,0.0029236792988612766,0.0010455516421961043
Russia,gini_pip_disposable_perCapita,gini,1993,0.4837573766708374,2018,0.37473005056381226,consumption,consumption,national,national,EE & CA,148897280,4931067831,0.030195747676381942,0.014607415682541062,145652288,6706199961,0.021719049364325987,0.008138780466491812
Saint Lucia,gini_pip_disposable_perCapita,gini,1995,0.4258438050746918,2015,0.5123682022094727,income,income,national,national,LAC,148610,4931067831,3.0137488489965166e-05,1.2833862773961494e-05,177894,6706199961,2.6526796253399102e-05,1.3591486906731072e-05
Senegal,gini_pip_disposable_perCapita,gini,1994,0.4144071340560913,2018,0.38314783573150635,consumption,consumption,national,national,SS Africa,8196551,4931067831,0.0016622263738638886,0.000688838467745383,15574910,6706199961,0.002322464300285722,0.0008898471702181615
Slovakia,gini_pip_disposable_perCapita,gini,1992,0.2018657773733139,2018,0.24970147013664246,income,income,national,national,EE & CA,5321863,4931067831,0.0010792516311666205,0.0002178639695068669,5446746,6706199961,0.0008121955849326932,0.00020280643159618374
Slovenia,gini_pip_disposable_perCapita,gini,1993,0.29184991121292114,2018,0.24633364379405975,income,income,national,national,EE & CA,1991685,4931067831,0.0004039054152690685,0.0001178797595846957,2105931,6706199961,0.00031402746894620964,7.735553067694577e-05
South Africa,gini_pip_disposable_perCapita,gini,1993,0.5933393836021423,2014,0.630260705947876,consumption,consumption,national,national,SS Africa,42525444,4931067831,0.00862398276751671,0.0051169486194738625,57339632,6706199961,0.008550241915460235,0.005388881505663088
Spain,gini_pip_disposable_perCapita,gini,1993,0.3566090762615204,2018,0.3471894860267639,income,income,national,national,W. Eur and Offshoots,39420540,4931067831,0.007994321179720149,0.0028508474912379103,46792044,6706199961,0.006977430478082937,0.0024224905014730925
Sri Lanka,gini_pip_disposable_perCapita,gini,1995,0.3539953827857971,2019,0.3766377568244934,consumption,consumption,national,national,S & SE Asia,17825610,4931067831,0.003614959398436229,0.0012796789360045478,21580712,6706199961,0.003218023936879743,0.0012120293169939117
Sweden,gini_pip_disposable_perCapita,gini,1992,0.24908733367919922,2018,0.2997418940067291,income,income,national,national,W. Eur and Offshoots,8683403,4931067831,0.001760957929925503,0.00043863231548638566,10162300,6706199961,0.001515358930407533,0.00045421655590036514
Switzerland,gini_pip_disposable_perCapita,gini,1992,0.33856406807899475,2018,0.3314104974269867,income,income,national,national,W. Eur and Offshoots,6936123,4931067831,0.0014066168298060874,0.00047622991612752795,8514431,6706199961,0.0012696357176218713,0.00042077060472813356
Syria,gini_pip_disposable_perCapita,gini,1996,0.3516938090324402,2022,0.2662809491157532,consumption,consumption,national,national,MENA,13537067,4931067831,0.0027452607556718075,0.0009654912119494931,19333464,6706199961,0.0028829238782669816,0.0007676677065333999
Taiwan,gini_pip_disposable_perCapita,gini,1991,0.2996780276298523,2018,0.3163367509841919,income,income,national,national,East Asia,21125720,4931067831,0.004284207949278157,0.0012838829881958124,23726186,6706199961,0.003537947889711009,0.0011191829405825587
Tanzania,gini_pip_disposable_perCapita,gini,1991,0.3529222309589386,2018,0.4049122929573059,consumption,consumption,national,national,SS Africa,28469018,4931067831,0.0057733981716951155,0.0020375605629688975,58090444,6706199961,0.008662199805825326,0.0035074311854310625
Thailand,gini_pip_disposable_perCapita,gini,1992,0.478579580783844,2018,0.3641217350959778,consumption,consumption,national,national,S & SE Asia,57776080,4931067831,0.01171674817303887,0.0056073964288028124,71127808,6706199961,0.010606276045099276,0.0038619756364484535
Tunisia,gini_pip_disposable_perCapita,gini,1995,0.4165729582309723,2021,0.3371642529964447,consumption,consumption,national,national,MENA,8977175,4931067831,0.0018205336668791,0.0007583850951709061,11933040,6706199961,0.0017794041438365634,0.0005999514689354332
Turkey,gini_pip_disposable_perCapita,gini,1994,0.4131520092487335,2016,0.4187370538711548,consumption,consumption,national,national,MENA,57296008,4931067831,0.011619391572713493,0.004800574974514382,82809304,6706199961,0.012348171018099471,0.005170636752816151
Uganda,gini_pip_disposable_perCapita,gini,1992,0.4142936170101166,2019,0.4270545244216919,consumption,consumption,national,national,SS Africa,19462960,4931067831,0.003947007152820486,0.0016352198697068012,41515400,6706199961,0.00619059977952244,0.0026437236447289865
Ukraine,gini_pip_disposable_perCapita,gini,1993,0.2892698347568512,2018,0.2607148587703705,consumption,consumption,national,national,EE & CA,51778420,4931067831,0.010500447727465058,0.003037462778996771,44446952,6706199961,0.006627740338564593,0.0017279503863355554
United Kingdom,gini_pip_disposable_perCapita,gini,1993,0.3507595956325531,2018,0.33691057562828064,income,income,national,national,W. Eur and Offshoots,57647464,4931067831,0.011690665384399982,0.004100613062907624,66432996,6706199961,0.009906205658397008,0.003337505450662667
United States,gini_pip_disposable_perCapita,gini,1993,0.40364542603492737,2018,0.4140784442424774,income,income,national,national,W. Eur and Offshoots,258779760,4931067831,0.052479456553636686,0.021183092598674142,332140032,6706199961,0.04952730815239107,0.020508190707259864
Uruguay,gini_pip_disposable_perCapita,gini,1992,0.4146813750267029,2018,0.3968724012374878,income,income,urban,national,LAC,3171749,4931067831,0.000643217475140021,0.000266730307032268,3427044,6706199961,0.0005110262175196121,0.0002028122020423192
Uzbekistan,gini_pip_disposable_perCapita,gini,1998,0.4467317461967468,2022,0.3118482828140259,consumption,consumption,national,national,EE & CA,22085922,4931067831,0.00447893291208713,0.002000881520914764,32449578,6706199961,0.00483874298242089,0.0015089536900463729
Vietnam,gini_pip_disposable_perCapita,gini,1992,0.3565455973148346,2018,0.3571554720401764,consumption,consumption,national,national,S & SE Asia,71176408,4931067831,0.014434278829534113,0.005146478567085112,94914328,6706199961,0.014153220684139394,0.0050549002143325935
Yemen,gini_pip_disposable_perCapita,gini,1998,0.34997785091400146,2014,0.3670709431171417,consumption,consumption,national,national,MENA,14988045,4931067831,0.0030395130453844286,0.001063762243448714,30790514,6706199961,0.004591350418875468,0.0016853513284379017
Zambia,gini_pip_disposable_perCapita,gini,1993,0.5260860919952393,2015,0.5593663454055786,consumption,consumption,national,national,SS Africa,8270921,4931067831,0.0016773082998379058,0.0008824085685329028,17835898,6706199961,0.002659613209228015,0.0014876981210382772
Afghanistan,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.524523913860321,2018,0.515393078327179,,,,,S & SE Asia,14003764,5567463728,0.002515286077136343,0.001319327697657928,36686788,7672065789,0.004781865668122987,0.0024645404668409586
Albania,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.4676297903060913,2018,0.49126580357551575,,,,,EE & CA,3300715,5567463728,0.0005928579262043465,0.00027723802771224273,2877019,7672065789,0.00037499926084119244,0.00018422431321737283
Algeria,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.5652923583984375,2018,0.4879855215549469,,,,,MENA,27354326,5567463728,0.004913247276749928,0.002777421140468667,41927008,7672065789,0.005464891614995509,0.0026667879849848397
Angola,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.6824657320976257,2018,0.685596764087677,,,,,SS Africa,13038277,5567463728,0.0023418701291986217,0.0015982461122010987,31273538,7672065789,0.004076286473564806,0.0027946888157703987
Argentina,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.6386504173278809,2018,0.5866296887397766,,,,,LAC,34027240,5567463728,0.0061118027278506595,0.003903305362767504,44413592,7672065789,0.005789000410251826,0.003395999508780468
Armenia,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.5884222388267517,2018,0.5398642420768738,,,,,EE & CA,3457344,5567463728,0.000620990844109546,0.00036540482278185345,2836563,7672065789,0.0003697261048083017,0.0001996019033483686
Australia,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.45198240876197815,2018,0.47972455620765686,,,,,W. Eur and Offshoots,17631514,5567463728,0.0031668843950122634,0.0014313760371283627,24979228,7672065789,0.0032558672835958395,0.0015619194876940433
Austria,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.4420001208782196,2018,0.4339885413646698,,,,,W. Eur and Offshoots,7905280,5567463728,0.0014199068707430652,0.0006275990085042493,8840518,7672065789,0.0011522995557044487,0.0005000848033953308
Azerbaijan,gini_widExtrapolated_pretaxNational_perAdult,gini,1993,0.5556126236915588,2018,0.47777649760246277,,,,,EE & CA,7740112,5567463728,0.0013902402203490385,0.0007724350163896602,10152524,7672065789,0.001323310341597489,0.000632246580249567
