country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018,region,population_1980,population_2018
Argentina,gini_pip_disposable_perCapita,gini,1980,40.83086013793945,2018,41.72038269042969,income,income,urban,urban,LAC,28024808,44413592
Australia,gini_pip_disposable_perCapita,gini,1981,31.325786590576172,2018,34.333763122558594,income,income,national,national,W. Eur and Offshoots,14706329,24979228
Bangladesh,gini_pip_disposable_perCapita,gini,1983,25.876489639282227,2016,32.38527297973633,consumption,consumption,national,national,S & SE Asia,83929768,163683952
Belgium,gini_pip_disposable_perCapita,gini,1985,25.2038516998291,2018,27.214414596557617,income,income,national,national,W. Eur and Offshoots,9828989,11448598
Botswana,gini_pip_disposable_perCapita,gini,1985,54.21210479736328,2015,53.32502746582031,consumption,consumption,national,national,SS Africa,938582,2451411
Brazil,gini_pip_disposable_perCapita,gini,1981,57.930850982666016,2018,53.892372131347656,income,income,national,national,LAC,122288384,210166592
Canada,gini_pip_disposable_perCapita,gini,1979,33.47417068481445,2018,32.50926971435547,income,income,national,national,W. Eur and Offshoots,24511512,37035260
China,gini_pip_disposable_perCapita,gini,1981,28.16409683227539,2018,38.497642517089844,income,consumption,national,national,East Asia,982372480,1417069440
Colombia,gini_pip_disposable_perCapita,gini,1980,59.12672805786133,2018,50.418704986572266,income,income,urban,national,LAC,26176206,49276968
Costa Rica,gini_pip_disposable_perCapita,gini,1981,47.4947624206543,2018,47.97240447998047,income,income,national,national,LAC,2414306,5040738
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1985,45.526268005371094,2018,37.16887664794922,consumption,consumption,national,national,SS Africa,8303818,25493990
Ethiopia,gini_pip_disposable_perCapita,gini,1981,32.424957275390625,2015,34.993125915527344,consumption,consumption,rural,national,SS Africa,34945472,111129440
France,gini_pip_disposable_perCapita,gini,1979,34.04261779785156,2018,32.38068771362305,income,income,national,national,W. Eur and Offshoots,53713836,64277812
India,gini_pip_disposable_perCapita,gini,1977,33.21363067626953,2018,34.54484176635742,consumption,consumption,national,national,S & SE Asia,696828352,1369003264
Indonesia,gini_pip_disposable_perCapita,gini,1984,33.45597839355469,2018,38.410377502441406,consumption,consumption,national,national,S & SE Asia,148177104,267066848
Israel,gini_pip_disposable_perCapita,gini,1979,36.32997512817383,2018,38.57717514038086,income,income,national,national,MENA,3744612,8456487
Italy,gini_pip_disposable_perCapita,gini,1980,32.89926528930664,2018,35.222572326660156,income,income,national,national,W. Eur and Offshoots,56329480,59877432
Luxembourg,gini_pip_disposable_perCapita,gini,1985,26.294357299804688,2018,35.36809539794922,income,income,national,national,W. Eur and Offshoots,363745,607920
Malaysia,gini_pip_disposable_perCapita,gini,1984,48.624813079833984,2018,41.17677688598633,income,income,national,national,S & SE Asia,13215709,32399270
Mexico,gini_pip_disposable_perCapita,gini,1984,48.52701187133789,2018,45.95524215698242,income,income,national,national,LAC,67705184,124013864
Morocco,gini_pip_disposable_perCapita,gini,1984,39.1866340637207,2013,39.54850769042969,consumption,consumption,national,national,MENA,19678446,35927516
Netherlands,gini_pip_disposable_perCapita,gini,1983,28.366052627563477,2018,28.12108039855957,income,income,national,national,W. Eur and Offshoots,14130383,17286042
Nigeria,gini_pip_disposable_perCapita,gini,1985,38.67784881591797,2018,35.127742767333984,consumption,consumption,national,national,SS Africa,72951440,198387616
