country,year,gini_pip_disposable_perCapita,gini_widExtrapolated_pretaxNational_perAdult,gini_wid_pretaxNational_perAdult,headcountRatio50Median_pip_disposable_perCapita,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,headcountRatio50Median_wid_pretaxNational_perAdult,p90p100Share_pip_disposable_perCapita,p90p100Share_widExtrapolated_pretaxNational_perAdult,p90p100Share_wid_pretaxNational_perAdult,p99p100Share_pip_disposable_perCapita,p99p100Share_widExtrapolated_pretaxNational_perAdult,p99p100Share_wid_pretaxNational_perAdult
Afghanistan,1980,,52.45238494873047,,,19.0,,,41.94000244140625,,,16.220001220703125,
Afghanistan,2018,,51.53931427001953,,,17.0,,,41.01000213623047,,,15.080000877380371,
Albania,1980,,46.76299285888672,,,24.0,,,32.56999969482422,,,8.140000343322754,
Albania,2018,,47.71903610229492,,,27.000001907348633,,,32.88999938964844,,,8.380000114440918,
Algeria,1980,,60.86116409301758,,,22.0,,,51.090003967285156,,,19.3700008392334,
Algeria,2018,,48.798553466796875,,,18.0,,,38.08000183105469,,,9.90999984741211,
Angola,1980,,68.24658203125,,,28.0,,,58.029998779296875,,,21.979999542236328,
Angola,2018,,68.55968475341797,,,28.0,,,58.0099983215332,,,25.979999542236328,
Argentina,1980,40.83086013793945,64.20611572265625,,19.342071533203125,31.0,,30.175369262695312,49.57999801635742,,5.57315643321844,14.270000457763672,
Argentina,2018,41.72038269042969,55.964111328125,,20.074556350708008,23.0,,30.148590087890625,43.560001373291016,,6.02781964794283,12.170000076293945,
Armenia,1980,,58.84222412109375,,,22.0,,,46.77000045776367,,,18.970001220703125,
Armenia,2018,,53.98642349243164,,,18.0,,,43.7400016784668,,,17.46000099182129,
Australia,1980,,42.0028076171875,42.0028076171875,,29.0,29.0,,24.850000381469727,24.850000381469727,,5.46999979019165,5.46999979019165
Australia,1981,31.325786590576172,,,10.478995323181152,,,23.3016357421875,,,3.61085510993817,,
Australia,2018,34.333763122558594,47.978050231933594,47.978050231933594,11.742362022399902,28.0,28.0,26.61338996887207,33.7599983215332,33.7599983215332,6.35645567193189,9.670000076293945,9.670000076293945
Austria,1980,,44.28861999511719,,,18.0,,,34.25,,,11.609999656677246,
Austria,2018,,43.28750228881836,,,17.0,,,33.29999923706055,,,9.739999771118164,
Azerbaijan,1980,,55.56126403808594,,,22.0,,,42.869998931884766,,,15.889999389648438,
Azerbaijan,2018,,47.777645111083984,,,16.0,,,38.220001220703125,,,13.989999771118164,
Bahamas,1980,,67.57267761230469,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Bahamas,2018,,65.0727767944336,,,29.0,,,53.22999954223633,,,19.619998931884766,
Bahrain,1980,,65.0637435913086,,,23.0,,,54.290000915527344,,,20.829999923706055,
Bahrain,2018,,66.28177642822266,,,23.0,,,55.720001220703125,,,24.34000015258789,
Bangladesh,1980,,47.31695556640625,,,18.0,,,36.52000045776367,,,11.640000343322754,
Bangladesh,1983,25.876489639282227,,47.31695556640625,5.721747875213623,,18.0,21.865631103515625,,36.52000045776367,3.81305074489204,,11.640000343322754
Bangladesh,2016,32.38527297973633,,52.98373794555664,6.145714282989502,,18.0,26.835071563720703,,42.38999938964844,6.406799370837719,,16.150001525878906
Bangladesh,2018,,53.0008544921875,,,18.0,,,42.39999771118164,,,16.15999984741211,
Belarus,1980,,38.858882904052734,,,16.0,,,29.920000076293945,,,8.65999984741211,
Belarus,2018,,42.885826110839844,,,16.0,,,32.93000030517578,,,9.949999809265137,
Belgium,1980,,42.322906494140625,,,16.0,,,31.65999984741211,,,8.34999942779541,
Belgium,1985,25.2038516998291,,42.944419860839844,5.977400302886963,,18.0,20.6418399810791,,31.200000762939453,3.5021789294381898,,7.500000476837158
Belgium,2017,,,43.43203353881836,,,18.0,,,31.770000457763672,,,8.4399995803833
Belgium,2018,27.214414596557617,44.7232666015625,,9.6382417678833,18.0,,22.24361801147461,32.7400016784668,,4.866594579833531,8.699999809265137,
Belize,1980,,67.57267761230469,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Belize,2018,,65.07276916503906,,,29.0,,,53.22999954223633,,,19.619998931884766,
Benin,1980,,59.087093353271484,,,20.0,,,48.82999801635742,,,16.350000381469727,
Benin,2018,,57.8345832824707,,,20.0,,,46.939998626708984,,,14.030000686645508,
Bhutan,1980,,61.04916763305664,,,23.0,,,49.189998626708984,,,18.079999923706055,
Bhutan,2018,,54.89068603515625,,,21.0,,,42.13999938964844,,,14.0,
Bolivia,1980,,67.57267761230469,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Bolivia,2018,,65.0727767944336,,,29.0,,,53.22999954223633,,,19.619998931884766,
Bosnia and Herzegovina,1980,,38.90028762817383,38.90028762817383,,16.0,16.0,,27.93000030517578,27.93000030517578,,6.899999618530273,6.899999618530273
Bosnia and Herzegovina,2015,,,48.30551528930664,,,24.0,,,34.689998626708984,,,9.859999656677246
Bosnia and Herzegovina,2018,,48.307247161865234,,,24.0,,,34.70000076293945,,,9.880000114440918,
Botswana,1980,,70.46369171142578,,,33.0,,,60.70000076293945,,,21.799999237060547,
Botswana,1985,54.21210479736328,,70.46368408203125,23.263761520385742,,33.0,42.930870056152344,,60.70000076293945,13.398807667559302,,21.799999237060547
Botswana,2015,53.32502746582031,,70.0338363647461,19.667179107666016,,27.000001907348633,41.47603225708008,,59.2599983215332,12.2913846827006,,22.739999771118164
Botswana,2018,,70.0338363647461,,,27.000001907348633,,,59.2599983215332,,,22.739999771118164,
Brazil,1980,,68.20763397216797,,,25.0,,,58.099998474121094,,,20.90999984741211,
Brazil,1981,57.930850982666016,,,24.619773864746094,,,45.88058090209961,,,12.4765386899822,,
Brazil,2018,53.892372131347656,68.0779800415039,,23.561569213867188,28.0,,42.47370529174805,58.04999923706055,,11.6870837799254,20.670000076293945,
Brunei,1980,,48.30914306640625,,,17.0,,,36.39999771118164,,,12.4399995803833,
Brunei,2018,,47.566890716552734,,,18.0,,,36.63999938964844,,,13.140000343322754,
Bulgaria,1980,,33.29593276977539,33.29593276977539,,17.0,17.0,,21.3799991607666,21.3799991607666,,3.2900002002716064,3.2900002002716064
Bulgaria,2018,,55.304229736328125,55.304229736328125,,19.0,19.0,,44.94000244140625,44.94000244140625,,19.850000381469727,19.850000381469727
Burkina Faso,1980,,67.32966613769531,,,21.0,,,57.95000076293945,,,21.26999855041504,
Burkina Faso,2018,,65.4575424194336,,,22.0,,,54.84000015258789,,,15.559999465942383,
Burundi,1980,,53.970943450927734,,,20.0,,,42.90999984741211,,,12.530000686645508,
Burundi,2018,,58.736846923828125,,,20.0,,,48.38999938964844,,,14.74000072479248,
Cambodia,1980,,67.94927978515625,,,30.000001907348633,,,55.73999786376953,,,26.78999900817871,
Cambodia,2018,,57.945980072021484,,,25.0,,,45.380001068115234,,,18.1299991607666,
Cameroon,1980,,64.13590240478516,,,19.0,,,54.310001373291016,,,18.489999771118164,
Cameroon,2018,,63.769996643066406,,,27.000001907348633,,,52.04999923706055,,,15.850000381469727,
Canada,1979,33.47417068481445,,,13.497154235839844,,,24.428329467773438,,,4.11865017145883,,
Canada,1980,,42.03586959838867,42.03586959838867,,21.0,21.0,,30.030000686645508,30.030000686645508,,7.599999904632568,7.599999904632568
Canada,2018,32.50926971435547,48.4473991394043,48.4473991394043,12.249933242797852,26.0,26.0,24.787044525146484,34.599998474121094,34.599998474121094,4.80721117311242,10.529999732971191,10.529999732971191
Cape Verde,1980,,70.03398895263672,,,26.0,,,60.86000061035156,,,23.190000534057617,
Cape Verde,2018,,60.65522384643555,,,24.0,,,49.07999801635742,,,13.90999984741211,
Central African Republic,1980,,75.44277954101562,,,31.0,,,65.11000061035156,,,28.56999969482422,
Central African Republic,2018,,73.3204345703125,,,27.000001907348633,,,64.91000366210938,,,31.0,
Chad,1980,,59.033905029296875,,,22.0,,,47.7400016784668,,,14.480000495910645,
Chad,2018,,57.6141471862793,,,21.0,,,46.72999954223633,,,13.770000457763672,
Chile,1980,,72.21924591064453,,,28.0,,,62.480003356933594,,,25.8700008392334,
Chile,2018,,72.10216522216797,,,30.000001907348633,,,62.08000183105469,,,25.780000686645508,
China,1980,,38.2153205871582,38.2153205871582,,15.000000953674316,15.000000953674316,,27.889999389648438,27.889999389648438,,6.570000171661377,6.570000171661377
China,1981,28.16409683227539,,,8.276514053344727,,,21.734970092773438,,,3.93327574286864,,
China,2016,,,55.37135696411133,,,30.000001907348633,,,41.80000305175781,,,14.049999237060547
China,2018,38.497642517089844,55.918182373046875,,14.673508644104004,30.000001907348633,,29.43410873413086,42.529998779296875,,6.16338717814389,14.84999942779541,
Colombia,1980,59.12672805786133,71.7738037109375,,25.639638900756836,31.0,,47.44688415527344,60.779998779296875,,11.402671996848,24.06999969482422,
Colombia,2018,50.418704986572266,69.56590270996094,,20.434356689453125,29.0,,39.66259765625,58.71000289916992,,11.0150914178721,19.040000915527344,
Comoros,1980,,73.91200256347656,,,24.0,,,66.95999908447266,,,29.1299991607666,
Comoros,2018,,62.14411163330078,,,26.0,,,50.26000213623047,,,14.149999618530273,
Congo,1980,,65.35668182373047,,,24.0,,,54.529998779296875,,,18.579999923706055,
Congo,2018,,66.47917175292969,,,27.000001907348633,,,55.93000030517578,,,20.520000457763672,
Costa Rica,1980,,66.0208969116211,,,30.000001907348633,,,53.34000015258789,,,20.029998779296875,
Costa Rica,1981,47.4947624206543,,,25.056161880493164,,,33.73237991333008,,,6.01449684369295,,
Costa Rica,2018,47.97240447998047,67.89044189453125,,19.297147750854492,33.0,,36.353450775146484,54.25,,8.311191681470211,20.579999923706055,
Cote d'Ivoire,1980,,64.23485565185547,,,20.0,,,54.65999984741211,,,21.030000686645508,
Cote d'Ivoire,1985,45.526268005371094,,64.23485565185547,17.382354736328125,,20.0,35.607826232910156,,54.65999984741211,9.90953940594714,,21.030000686645508
Cote d'Ivoire,2015,,,60.120697021484375,,,24.0,,,48.64999771118164,,,17.209999084472656
Cote d'Ivoire,2018,37.16887664794922,60.12070083618164,,11.879744529724121,24.0,,28.983417510986328,48.64999771118164,,5.87783775925491,17.209999084472656,
Croatia,1980,,39.130950927734375,,,17.0,,,26.510000228881836,,,3.9200000762939453,
Croatia,1984,,,39.938655853271484,,,17.0,,,26.649999618530273,,,3.929999828338623
Croatia,2018,,46.60787582397461,46.60787582397461,,22.0,22.0,,34.2400016784668,34.2400016784668,,9.75,9.75
Cuba,1980,,63.668365478515625,,,29.0,,,51.01000213623047,,,16.850000381469727,
Cuba,2018,,56.03781509399414,,,25.0,,,43.39999771118164,,,13.140000343322754,
Cyprus,1980,,49.33867645263672,,,20.0,,,37.16999816894531,,,11.569999694824219,
Cyprus,2018,,48.2486457824707,,,18.0,,,36.88999938964844,,,11.829999923706055,
Czechia,1980,,27.6430606842041,27.6430606842041,,16.0,16.0,,18.369998931884766,18.369998931884766,,2.569999933242798,2.569999933242798
Czechia,2018,,37.063201904296875,37.063201904296875,,16.0,16.0,,27.990001678466797,27.990001678466797,,8.829999923706055,8.829999923706055
Democratic Republic of Congo,1980,,60.604286193847656,,,23.0,,,49.32999801635742,,,14.40999984741211,
Democratic Republic of Congo,2018,,60.34703063964844,,,24.0,,,48.84000015258789,,,14.630000114440918,
Denmark,1980,,34.018577575683594,34.018577575683594,,17.0,17.0,,24.279998779296875,24.279998779296875,,6.660000324249268,6.660000324249268
Denmark,2017,,,43.84457015991211,,,18.0,,,33.22999954223633,,,12.329999923706055
Denmark,2018,,43.96405029296875,,,18.0,,,33.21999740600586,,,12.239999771118164,
Djibouti,1980,,59.06692886352539,,,23.0,,,47.88999938964844,,,15.40999984741211,
Djibouti,2018,,60.09698486328125,,,23.0,,,49.54999923706055,,,15.860000610351562,
Dominican Republic,1980,,67.70709228515625,,,31.0,,,54.689998626708984,,,18.670000076293945,
Dominican Republic,2018,,67.19037628173828,,,29.0,,,55.19000244140625,,,25.40999984741211,
East Timor,1980,,58.85335159301758,,,23.0,,,46.29999923706055,,,17.59000015258789,
East Timor,2018,,52.806068420410156,,,18.0,,,41.18000030517578,,,15.229999542236328,
Ecuador,1980,,66.53160095214844,,,30.000001907348633,,,53.78000259399414,,,19.09000015258789,
Ecuador,2018,,57.19853210449219,,,29.0,,,42.459999084472656,,,13.179999351501465,
Egypt,1980,,54.78048324584961,,,20.0,,,46.20000076293945,,,15.950000762939453,
Egypt,2018,,57.752925872802734,,,17.0,,,48.06999969482422,,,18.889999389648438,
El Salvador,1980,,66.9001235961914,,,35.0,,,50.650001525878906,,,16.360000610351562,
El Salvador,2018,,61.12361145019531,,,34.0,,,43.77000045776367,,,13.65999984741211,
Equatorial Guinea,1980,,63.027435302734375,,,24.0,,,52.21999740600586,,,17.03999900817871,
Equatorial Guinea,2018,,62.61404800415039,,,25.0,,,51.400001525878906,,,17.3700008392334,
Eritrea,1980,,62.30058670043945,,,19.0,,,53.57999801635742,,,24.42999839782715,
Eritrea,2018,,55.43134307861328,,,20.0,,,45.470001220703125,,,13.819999694824219,
Estonia,1980,,36.307716369628906,,,22.0,,,23.770000457763672,,,4.670000076293945,
Estonia,2018,,48.16743087768555,,,19.0,,,35.27000045776367,,,12.920000076293945,
Eswatini,1980,,75.75267028808594,,,28.0,,,67.68000030517578,,,31.610000610351562,
Eswatini,2018,,70.46754455566406,,,26.0,,,59.880001068115234,,,19.329999923706055,
Ethiopia,1980,,54.69196319580078,,,18.0,,,44.970001220703125,,,14.90000057220459,
Ethiopia,1981,32.424957275390625,,54.69196319580078,6.234340667724609,,18.0,27.516511917114258,,44.970001220703125,6.26934362208135,,14.90000057220459
