country,year,gini_pip_disposable_perCapita,gini_wid_pretaxNational_perAdult,headcountRatio50Median_pip_disposable_perCapita,headcountRatio50Median_wid_pretaxNational_perAdult,p90p100Share_pip_disposable_perCapita,p90p100Share_wid_pretaxNational_perAdult,p99p100Share_pip_disposable_perCapita,p99p100Share_wid_pretaxNational_perAdult
Albania,1996,0.2701034247875213,0.4676297903060913,7.548122882843018,24.0,21.21557235717773,32.56999969482422,3.2791470000000005,8.140000343322754
Albania,2018,0.3014828264713287,0.4912658035755157,11.773785591125488,25.0,22.742311477661133,35.03000259399414,3.4719866,9.289999961853027
Australia,1993,,0.4519824087619781,,28.0,,29.89000129699707,,7.220000267028809
Australia,1995,0.3258199095726013,,10.23130226135254,,24.601701736450195,,4.570244300000001,
Australia,2018,0.3433376252651214,0.4797245562076568,11.742362022399902,28.0,26.61338996887207,33.779998779296875,6.3564554,9.670000076293944
Bangladesh,1991,0.2757080495357513,0.492511510848999,5.531545162200928,18.0,23.28786849975586,38.540000915527344,4.7063507,12.579999923706056
Bangladesh,2016,0.3238527178764343,0.5298373699188232,6.145714282989502,18.0,26.835071563720703,42.38999938964844,6.4068,16.150001525878906
Belarus,1993,,0.3885889053344726,,15.000000953674316,,29.920000076293945,,8.65999984741211
Belarus,1998,0.3201834857463836,,10.72049331665039,,24.914424896240234,,5.102872,
Belarus,2018,0.2524052560329437,0.4288583397865295,5.20234489440918,16.0,21.398265838623047,32.93000030517578,3.9337765,9.949999809265137
Belgium,1992,0.2495187669992447,,6.98615837097168,,20.135671615600582,,3.2133374,
Belgium,1993,,0.4423706531524658,,18.0,,32.10000228881836,,7.559999942779541
Belgium,2017,,0.4362828731536865,,19.0,,31.830001831054688,,8.5
Belgium,2018,0.2721441388130188,,9.6382417678833,,22.24361801147461,,4.8665944,
Botswana,1993,0.6079065203666687,0.7703258991241455,23.46722221374512,28.0,51.20005798339844,69.37999725341797,24.051164,36.07999801635742
Botswana,2015,0.5332502722740173,0.7003383636474609,19.667179107666016,27.000001907348636,41.47603225708008,59.2599983215332,12.2913845,22.739999771118164
Bulgaria,1992,0.3071430921554565,,10.29104995727539,,24.742361068725582,,4.705598,
Bulgaria,1993,,0.4519773423671722,,18.0,,33.62999725341797,,10.470000267028809
Bulgaria,2018,0.4128409922122955,0.5472166538238525,14.126480102539062,19.0,32.619346618652344,44.19000244140625,10.0442685,19.059999465942383
