name,country
Afghanistan,Afghanistan
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Antigua and Barbuda,Antigua and Barbuda
Austria,Austria
Belgium,Belgium
Benin,Benin
Burkina Faso,Burkina Faso
Bangladesh,Bangladesh
The Bahamas,Bahamas
Belize,Belize
Barbados,Barbados
Bhutan,Bhutan
Central African Republic,Central African Republic
Canada,Canada
Switzerland,Switzerland
Chile,Chile
China,China
Dem. Rep. Congo,Democratic Republic of Congo
Colombia,Colombia
Comoros,Comoros
Cape Verde,Cape Verde
Costa Rica,Costa Rica
Cyprus,Cyprus
Czech Republic,Czechia
Germany,Germany
Djibouti,Djibouti
Dominica,Dominica
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Eritrea,Eritrea
Spain,Spain
Estonia,Estonia
Ethiopia,Ethiopia
Finland,Finland
Fiji,Fiji
France,France
Micronesia,Micronesia
Gabon,Gabon
United Kingdom,United Kingdom
Guinea,Guinea
The Gambia,Gambia
Guinea-Bissau,Guinea-Bissau
Greece,Greece
Grenada,Grenada
Guyana,Guyana
Croatia,Croatia
Haiti,Haiti
Hungary,Hungary
Ireland,Ireland
Iceland,Iceland
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Cambodia,Cambodia
Kiribati,Kiribati
Saint Kitts and Nevis,Saint Kitts and Nevis
South Korea,South Korea
Laos,Laos
Lebanon,Lebanon
Liberia,Liberia
Saint Lucia,Saint Lucia
Lesotho,Lesotho
Lithuania,Lithuania
Luxembourg,Luxembourg
Latvia,Latvia
Monaco,Monaco
Madagascar,Madagascar
Maldives,Maldives
Mexico,Mexico
Marshall Islands,Marshall Islands
Mali,Mali
Malta,Malta
Myanmar,Myanmar
Mozambique,Mozambique
Mauritania,Mauritania
Mauritius,Mauritius
Malawi,Malawi
Namibia,Namibia
Niger,Niger
Nicaragua,Nicaragua
Nepal,Nepal
Nauru,Nauru
New Zealand,New Zealand
Peru,Peru
Palau,Palau
Papua New Guinea,Papua New Guinea
Portugal,Portugal
Rwanda,Rwanda
Senegal,Senegal
Solomon Islands,Solomon Islands
Sierra Leone,Sierra Leone
Sao Tome and Principe,Sao Tome and Principe
Suriname,Suriname
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Seychelles,Seychelles
Chad,Chad
Togo,Togo
Timor-Leste,Timor-Leste
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tuvalu,Tuvalu
Uganda,Uganda
Uruguay,Uruguay
United States of America,United States
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Vanuatu,Vanuatu
Samoa,Samoa
Yemen,Yemen
South Africa,South Africa
Zambia,Zambia
Andorra,Andorra
United Arab Emirates,United Arab Emirates
Australia,Australia
Burundi,Burundi
Bulgaria,Bulgaria
Bahrain,Bahrain
Brazil,Brazil
Georgia,Georgia
Ghana,Ghana
Indonesia,Indonesia
India,India
Israel,Israel
Kazakhstan,Kazakhstan
Kyrgyzstan,Kyrgyzstan
Kuwait,Kuwait
Sri Lanka,Sri Lanka
Malaysia,Malaysia
Nigeria,Nigeria
Oman,Oman
Panama,Panama
Romania,Romania
Russian Federation,Russia
Saudi Arabia,Saudi Arabia
Sudan,Sudan
Somalia,Somalia
Thailand,Thailand
Tunisia,Tunisia
TŸrkiye,Turkey
Tanzania,Tanzania
Ukraine,Ukraine
Vietnam,Vietnam
South Sudan,South Sudan
Singapore,Singapore
European Union,European Union
Niue,Niue
