Year,LPI_final,CI_low,CI_high
1970,1,1,1
1971,1.012722582,0.988250018,1.039584249
1972,1.032878696,0.990272485,1.080054132
1973,1.056278309,1.002073015,1.116047687
1974,1.075769485,1.011858144,1.145981476
1975,1.08685179,1.013882023,1.165980066
1976,1.094471862,1.010193852,1.185310152
1977,1.109426994,1.01316498,1.212312018
1978,1.128089544,1.02208653,1.242297595
1979,1.138832152,1.02753468,1.259256084
1980,1.138179769,1.023677644,1.26327688
1981,1.130956011,1.013732967,1.258976118
1982,1.134491216,1.013401727,1.268461861
1983,1.120039122,0.992966992,1.261667367
1984,1.120508611,0.985575496,1.27275558
1985,1.119430216,0.977501365,1.280199074
1986,1.139536756,0.991369872,1.308341584
1987,1.167714251,1.011730424,1.346301499
1988,1.21412525,1.048039598,1.405840394
1989,1.269586022,1.092734967,1.475154891
1990,1.305446892,1.121429939,1.520178686
1991,1.307410732,1.121332247,1.525705764
1992,1.28747907,1.102105914,1.505780109
1993,1.252536173,1.069500174,1.469269857
1994,1.217116178,1.035898096,1.431587774
1995,1.185171294,1.005811968,1.397615661
1996,1.148186807,0.971465646,1.358134563
1997,1.119247676,0.945032375,1.327946558
1998,1.090750407,0.918621212,1.298378538
1999,1.073508444,0.901912588,1.281865327
2000,1.064591622,0.892322231,1.274880733
2001,1.05061322,0.876827807,1.263327802
2002,1.047533639,0.870733667,1.265074104
2003,1.041609588,0.861632553,1.262877376
2004,1.04877104,0.865588879,1.274069012
2005,1.054472695,0.868347906,1.283443211
2006,1.058301552,0.870449574,1.291326362
2007,1.055778277,0.866466724,1.290533214
2008,1.044336198,0.853506894,1.283889001
2009,1.044281631,0.844323425,1.297232047
2010,1.055393204,0.843570096,1.328543708
2011,1.030181055,0.813841499,1.311175941
2012,0.986053092,0.770906855,1.268913735
2013,0.922752804,0.714164488,1.199745179
2014,0.906011161,0.688711134,1.196206554
2015,0.884297436,0.661678605,1.181770235
2016,0.861145006,0.633799561,1.167181736
2017,0.834874868,0.611813471,1.137750946
2018,0.822915342,0.602690734,1.125579258
