country,year,p0p100_gini,p0p10_share,p0p50_share,p10p20_share,p20p30_share,p30p40_share,p40p50_share,p50p60_share,p50p90_share,p60p70_share,p70p80_share,p80p90_share,p90p100_share,p99_999p100_share,p99_99p100_share,p99_9p100_share,p99p100_share,p0p10_threshold,p10p20_threshold,p20p30_threshold,p30p40_threshold,p40p50_threshold,p50p60_threshold,p60p70_threshold,p70p80_threshold,p80p90_threshold,p90p100_threshold,p99_999p100_threshold,p99_99p100_threshold,p99_9p100_threshold,p99p100_threshold,p0p100_average,p0p10_average,p10p20_average,p20p30_average,p30p40_average,p40p50_average,p50p60_average,p60p70_average,p70p80_average,p80p90_average,p90p100_average,p99_999p100_average,p99_99p100_average,p99_9p100_average,p99p100_average,age,pop
AU,1912,.597667695200286,.0031,.1147,.0106,.0203,.0327,.0481,.0669,.4353,.0874,.1176,.1633,.45,.0117,.0295,.0767,.1767,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1913,.573768909761895,.0032,.122,.0111,.0214,.0347,.0514,.0721,.4629,.0946,.1266,.1696,.4151,.0094,.0256,.0704,.1631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1914,.5574057033773701,.0034,.1269,.0115,.0222,.0361,.0538,.0757,.4817,.0997,.1328,.1736,.3913,.0085,.0239,.0668,.154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1915,.541957145531988,.0035,.1316,.0119,.0229,.0374,.056,.0792,.4994,.1046,.1387,.177,.369,.0082,.0231,.0646,.1462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1916,.50659730750673,.0036,.1421,.0126,.0245,.0403,.0611,.0875,.5394,.1162,.1523,.1835,.3184,.0064,.0195,.0572,.1272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1917,.512986832966128,.0036,.1402,.0125,.0242,.0398,.0601,.086,.5323,.114,.1498,.1825,.3275,.0068,.0203,.0586,.1304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1918,.516976396491899,.0036,.1391,.0124,.0241,.0395,.0596,.085,.5278000000000001,.1127,.1483,.1819,.3332,.0071,.0208,.0593,.1323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1919,.595068872483949,.0031,.1155,.0106,.0204,.0329,.0485,.0675,.4384,.0882,.1186,.1641,.4461,.0138,.0323,.0788,.1759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1920,.5383806224697451,.0035,.1326,.0119,.0231,.0377,.0565,.08,.5034,.1057,.14,.1778,.3639,.0063,.0199,.0606,.1428,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1921,.5724443998019591,.0033,.1224,.0112,.0215,.0348,.0516,.0724,.4644,.095,.1271,.17,.4133,.0084,.0238,.0683,.1614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1922,.550269417645005,.0034,.1291,.0117,.0226,.0367,.0548,.0773,.4898,.1019,.1355,.1752,.3811,.0062,.0198,.0618,.1488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1923,.575356999677005,.0032,.1215,.0111,.0214,.0346,.0512,.0717,.461,.0941,.126,.1692,.4175,.0082,.0236,.0684,.1629,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1924,.5739635462111961,.0032,.1219,.0111,.0214,.0347,.0514,.072,.4627,.0945,.1265,.1698,.4153,.0119,.029,.073,.163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1925,.5653518774562441,.0033,.1245,.0113,.0219,.0354,.0526,.0739,.4726,.0971,.1297,.1718,.4029,.0094,.0253,.0687,.1578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1926,.559718653993329,.0033,.1262,.0115,.0221,.0359,.0534,.0752,.4791,.0989,.1319,.1732,.3947,.0087,.024,.0669,.1545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1927,.573309189991186,.0033,.1221,.0111,.0215,.0347,.0515,.0722,.4633,.0947,.1267,.1697,.4146,.0071,.0218,.0664,.1615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1928,.577976844708516,.0032,.1207,.011,.0213,.0343,.0508,.0711,.4581,.0933,.125,.1687,.4212,.0115,.0285,.0731,.1651,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1929,.549987766267719,.0034,.1291,.0117,.0226,.0367,.0548,.0774,.4901,.1019,.1356,.1753,.3807,.0063,.02,.0619,.1486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1930,.528105684124682,.0035,.1357,.0121,.0236,.0385,.0579,.0824,.515,.109,.1439,.1798,.3493,.0046,.0164,.0557,.1363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1931,.518194210230405,.0036,.1387,.0123,.024,.0394,.0594,.0847,.5262,.1122,.1477,.1816,.3351,.0042,.0155,.0535,.1308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1932,.516591004191302,.0036,.1391,.0124,.0241,.0395,.0596,.0851,.5281,.1127,.1483,.1819,.3328,.0044,.0158,.0537,.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1933,.541915666625712,.0035,.1316,.0119,.0229,.0374,.0559,.0792,.4994,.1045,.1386,.1771,.369,.0065,.0202,.0612,.1443,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1934,.542729106170235,.0034,.1313,.0118,.0229,.0373,.0558,.079,.4984,.1042,.1383,.1769,.3702,.0061,.0194,.0605,.1446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1935,.546822931697758,.0034,.1301,.0117,.0227,.037,.0552,.0781,.4937,.103,.1368,.1759,.3762,.0057,.0189,.0604,.1467,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1936,.564113602167168,.0033,.1249,.0114,.0219,.0355,.0528,.0742,.4739,.0976,.1302,.1719,.4012,.0064,.0204,.064,.1563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1937,.529843741022539,.0035,.1352,.0121,.0235,.0384,.0577,.082,.513,.1084,.1433,.1794,.3518,.0044,.0161,.0555,.1371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1938,.543137352084003,.0034,.1312,.0118,.0229,.0373,.0558,.0789,.4979,.1041,.1382,.1767,.3709,.0053,.0181,.0591,.1445,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1939,.551154688902482,.0034,.1288,.0116,.0225,.0366,.0546,.0771,.4888,.1016,.1351,.1749,.3824,.0055,.0186,.0605,.149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1940,.540987437143979,.0035,.1318,.0119,.023,.0375,.0561,.0794,.5004,.1048,.139,.1772,.3678,.0051,.0177,.0584,.1433,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1941,.551904480138006,.0034,.1285,.0116,.0225,.0365,.0545,.0769,.4878,.1014,.1349,.1746,.3836,.0042,.016,.0578,.1488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
AU,1942,.547771833180342,.0034,.1298,.0117,.0227,.0369,.0551,.0778,.4924,.1025,.1363,.1759,.3778,.0034,.0141,.054,.1437,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,i
