"country","year","gini_coef","percentile_1","percentile_2","percentile_3","percentile_4","percentile_5","percentile_6","percentile_7","percentile_8","percentile_9"
"Australia","2014",0.325,14337.2874732556,18367.9457601334,22204.8534809908,26515.7238795398,30581.1207807234,35189.7632540285,40442.3513488978,47464.2743110164,60927.0745191639
"Australia","2010",0.33,12812.5415103635,16529.7920846472,20650.9508126217,24483.8930430644,28417.8606941316,33178.086729874,38858.1260882962,45827.4848092853,57861.9606679615
"Australia","2008",0.333,12668.2184743439,16699.4673836897,20780.991208804,24575.0215278685,28598.1126527879,32718.3267727805,37721.5526619446,45007.9737280494,56961.0380107043
"Australia","2004",0.314,10910.2823009326,13649.1459245597,16721.1448181249,19970.4708081741,23236.9641311259,26587.5887330759,30628.2216501571,36287.1326278678,45240.8950993689
"Australia","2003",0.312,9851.0385655093,12527.9512191803,15203.4759965986,18160.1754425041,21070.0519796025,24759.4965487067,28760.7495510413,33980.678158443,41775.8066226613
"Australia","2001",0.317,9719.61964158316,12042.7960873849,14762.1372237043,17494.4230390425,20775.9701895845,24351.2112369815,28139.3184029051,32906.1766271799,41268.8950166533
"Australia","1995",0.308,8920.49192614067,10976.7915312113,13239.7793587359,15670.6694780844,18546.095643966,21693.4695190289,25149.7492360426,29652.9439468741,35895.6689883213
"Australia","1989",0.302,9399.80609638736,12295.9462500495,14840.8079837689,17372.8815103058,20151.3327384727,23425.7297396563,27100.0649816141,31780.3945160403,38883.4721341458
"Australia","1985",0.292,9433.05329451732,12086.030733651,14729.8204783456,17191.6981835052,19951.1862333617,22960.9469471116,26202.0048013789,30661.5677824425,37277.9610981201
"Australia","1981",0.281,9523.22115111004,12521.0635489743,15199.8521170826,17468.6305138705,20019.4157196237,22934.6213520816,26484.6978758682,30952.1908099738,37263.7602877803
"Austria","2016",0.281,15324.6094599252,19956.5554834664,23555.8681420102,26765.8051221009,30082.5873840455,33672.5603744405,37898.2112671615,44377.6016973716,53750.2706592572
