"country","year","gini_coef","percentile_1","percentile_2","percentile_3","percentile_4","percentile_5","percentile_6","percentile_7","percentile_8","percentile_9"
"Australia","2014",0.325,15683.5915655114,20092.7378862122,24289.9400195123,29005.611010194,33452.7579805533,38494.1625250053,44239.9806580006,51921.2782498767,66648.2661955764
"Australia","2010",0.33,14015.6684686376,18081.9773755685,22590.1223358172,26782.9866100811,31086.3628230756,36293.584973246,42506.9930212953,50130.790469552,63295.3311418765
"Australia","2008",0.333,13857.793169377,18267.5855733466,22732.3738226863,26882.6722680772,31283.5408530008,35790.6525044172,41263.6927501412,49234.3254230435,62309.8097861184
"Australia","2004",0.314,11934.7827677616,14930.8319511744,18291.2985684654,21845.7437022603,25418.9682207901,29084.2241378778,33504.2817293765,39694.5773934314,49489.1186439695
"Australia","2003",0.312,10776.0736224163,13704.3544980729,16631.1171727217,19865.4574604544,23048.5780611291,27084.4699153841,31461.4497280546,37171.5415729959,45698.6504324329
"Australia","2001",0.317,10632.3141608945,13173.6421895428,16148.3356794294,19137.1893833074,22726.8813182758,26637.8456788789,30781.6647734989,35996.1418898769,45144.1386669904
"Australia","1995",0.308,9758.14652485749,12007.5373669124,14483.0249283375,17142.1811908883,20287.616451679,23730.535933661,27511.3682228175,32437.4232186733,39266.3544226045
"Australia","1989",0.302,10282.4693921874,13450.5637315974,16234.3938038342,19004.2348269794,22043.5889815605,25625.4593517888,29644.8230785136,34764.64626312,42534.7191188326
"Australia","1985",0.292,10318.8385782793,13220.9366679984,16112.9843177525,18806.0379713105,21824.648261757,25117.0323917696,28662.4329929183,33540.7591397674,40778.4469236968
"Australia","1981",0.281,10417.4734028775,13696.820059878,16627.153002629,19108.9748810179,21899.2846528634,25088.2347631428,28971.6715938013,33858.672334424,40762.9126247798
"Austria","2016",0.281,17183.9632907508,22377.9090576179,26413.9307753716,30013.3333817314,33732.5449402196,37758.0937963296,42496.4481413413,49761.9910310532,60271.8575172814
"Austria","2013",0.279,17054.7293122357,21873.8071956275,25749.6849074857,28981.0790632072,32403.6826145176,36850.3342275963,41395.8268242452,47820.6054824528,58237.6635001213
"Austria","2010",0.279,17192.4708710611,21957.0752149906,25902.6759627667,29530.8125630481,33242.7037792766,37450.2703006623,42223.8900165533,49098.1703503348,59988.1557156594
"Austria","2007",0.284,15939.1705828678,20649.9547101893,24328.9527737841,27748.2711490552,31510.0416730012,35436.549118575,40339.9432601533,46762.7178393441,57636.156914976
"Austria","2004",0.269,16987.573439075,21064.1546786106,24461.5163234657,27397.1180909949,30721.2599595763,33922.8607569449,38203.1202257792,44577.5729138977,54907.8675310825
"Austria","2000",0.257,15783.7633707469,19580.7214360141,22682.4984996086,25880.0845769455,28908.688595988,32094.8347418951,35960.6169639234,40909.2162162209,49767.1277667092
"Austria","1997",0.266,14355.4208442737,18465.6769261238,21300.7677883497,24410.514229689,27207.8270469814,30499.7568218718,34508.9901423031,39584.6174384395,48322.7893012689
"Austria","1995",0.277,11880.7729059247,15833.4583874319,18691.028485632,21731.0633490468,24702.7103584,27766.9613936173,31860.9287802179,36849.1828399071,44327.217595593
"Austria","1994",0.28,14616.3224169233,19008.7488331856,22297.7163535621,25095.5481127064,28028.4396776899,31552.411368591,36356.7827448575,41188.8122945453,50809.7713122618
"Austria","1987",0.227,14786.1332334393,18311.7051154636,21257.5164469927,23885.2926622885,26267.0099885506,28953.3473787599,32170.3864732536,36191.6825465683,42652.3091240302
"Belgium","2017",0.259,15369.413071351,19179.6835352217,23202.318828406,27068.7213660975,30892.8236017439,34718.6058096708,38630.9275896948,43602.8043870609,51391.1080467172
