country,year,lives_per_kg_direct,lives_per_kg_total,days_per_kg_direct,days_per_kg_total,kilograms_per_animal_direct
Shrimp,2023,60.96229501,94.31914238,9134.437878,9917.619182,0.016403582
Crab,2023,2.450197591,2.450197591,2.450197591,2.450197591,0.40813035
Fish,2023,0.229145613,2.267562411,74.72932113,82.10681367,4.364037284
Chicken,2023,0.575860271,0.664697595,28.21715327,28.72452822,1.736532368
Pork,2023,0.010400504,0.418904714,1.747284625,2.238082155,96.14918919
Eggs,2023,0.054577014,0.163116363,27.50681523,27.97177745,18.32273187
Turkey,2023,0.080801008,0.088066494,11.08993834,11.47202439,12.37608324
Beef,2023,0.002744175,0.00299137,3.013104243,3.09376039,364.4082353
Dairy butter,2023,0.000367598,0.000905436,0.737952753,0.794007242,2720.363862
Dairy cheese,2023,0.000173675,0.000427782,0.348653069,0.375136567,5757.872727
Dairy yoghurt,2023,7.12E-05,0.000175438,0.142986783,0.153847981,14039.75916
Dairy ice cream,2023,4.67E-05,0.000114981,0.093712755,0.100831125,21421.84383
Dairy,2023,1.75E-05,4.31E-05,0.035142283,0.037811672,57124.91687
