,id,continent,country,color,type,sex,label,short_label,ages,total,ICD,cancers,ui_upper,ui_lower,asr,crude_rate,cum_risk
47,752,5,752,,1,0,Sweden,,[],3845,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 3845}}",4015.9,3681.4,14.35869563663,38.072058673548,4.6276929161105
48,4,4,4,,1,0,Afghanistan,,[],1349,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1349}}",1639.1,1110.2,7.4565535410745,3.4653416131964,1.6150990361522002
49,430,1,430,,1,0,Liberia,,[],78,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 78}}",339.3,17.9,2.6730484692141,1.5422099908713,0.54658135962876
50,148,1,148,,1,0,Chad,,[],136,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 136}}",382.5,48.4,2.0131479667453,0.82796278721253,0.49687240109684
51,598,6,598,,1,0,Papua New Guinea,,[],585,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 585}}",1062.6,322.1,11.235177824979,6.5384847950051,3.1461914053382
52,332,2,332,,1,0,Haiti,,[],583,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 583}}",659.4,515.4,6.7194946505269,5.1128990374332,2.6493884294764998
53,784,4,784,,1,0,United Arab Emirates,,[],187,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 187}}",259.4,134.8,5.7300868293821,1.8907223165898,2.0434266324826
54,40,5,40,,1,0,Austria,,[],4235,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 4235}}",4439.4,4040.0,20.364659801745,47.022117605258,5.1237274033482
55,462,4,462,,1,0,Maldives,,[],40,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 40}}",47.8,33.5,12.021503564997,7.3999800200539,3.3411478119768
56,188,2,188,,1,0,Costa Rica,,[],374,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 374}}",441.6,316.8,4.868622218574,7.3418066419401,1.7731136880544
