,country,year,gini_disposable_working_age,gini_market_working_age,gini_disposable_total,gini_market_total,distance
0,Australia,2018,0.313,0.417,0.325,0.454,1
1,Austria,2019,0.274,0.418,0.274,0.486,0
2,Belgium,2019,0.261,0.412,0.262,0.489,0
3,Brazil,2016,0.474,0.556,0.481,0.582,3
4,Bulgaria,2019,0.392,0.452,0.402,0.523,0
5,Canada,2019,0.303,0.387,0.3,0.42,0
6,Chile,2020,0.5,0.532,0.496,0.539,1
7,Costa Rica,2019,0.47,0.509,0.478,0.532,0
8,Croatia,2019,0.272,0.378,0.284,0.447,0
9,Czechia,2019,0.241,0.338,0.248,0.432,0
10,Denmark,2019,0.267,0.397,0.268,0.445,0
11,Estonia,2019,0.29,0.394,0.305,0.465,0
12,Finland,2019,0.279,0.43,0.273,0.512,0
13,France,2020,0.281,0.434,0.278,0.515,1
14,Germany,2019,0.299,0.403,0.296,0.497,0
15,Greece,2019,0.321,0.453,0.312,0.52,0
16,Hungary,2019,0.281,0.386,0.286,0.463,0
17,Iceland,2017,0.249,0.317,0.25,0.369,2
18,Ireland,2019,0.291,0.448,0.293,0.502,0
19,Israel,2019,0.332,0.426,0.342,0.449,0
20,Italy,2019,0.327,0.428,0.325,0.506,0
21,Japan,2018,0.324,0.392,0.334,0.501,1
22,Korea,2019,0.317,0.362,0.339,0.404,0
23,Latvia,2019,0.334,0.409,0.344,0.47,0
24,Lithuania,2019,0.347,0.419,0.357,0.495,0
25,Luxembourg,2019,0.308,0.448,0.305,0.49,0
26,Mexico,2018,0.415,0.424,0.418,0.43,1
27,Netherlands,2019,0.313,0.414,0.312,0.457,0
28,New Zealand,2019,0.315,0.4,0.326,0.453,0
29,Norway,2019,0.273,0.385,0.261,0.427,0
30,Poland,2019,0.27,0.378,0.268,0.437,0
31,Portugal,2019,0.304,0.43,0.31,0.511,0
32,Romania,2019,0.335,0.442,0.339,0.512,0
33,Russia,2017,0.312,0.398,0.317,0.434,2
34,Slovak Republic,2019,0.217,0.316,0.222,0.383,0
35,Slovenia,2019,0.245,0.378,0.246,0.444,0
36,South Africa,2017,0.614,0.689,0.618,0.709,2
37,Spain,2019,0.319,0.43,0.32,0.491,0
38,Sweden,2019,0.269,0.361,0.277,0.429,0
39,Switzerland,2019,0.304,0.352,0.316,0.402,0
40,Türkiye,2019,0.405,0.485,0.415,0.502,0
41,United Kingdom,2019,0.36,0.45,0.366,0.508,0
42,United States,2019,0.387,0.467,0.395,0.505,0
