"survey_code","poverty_line","income_concept"
"AU14",10,"ey_PPP_2011"
"AU14",10,"pcy_PPP_2011"
"AU14",30,"ey_PPP_2011"
"AU14",30,"pcy_PPP_2011"
"AU14",50,"ey_PPP_2011"
"AU14",50,"pcy_PPP_2011"
"AU10",10,"ey_PPP_2011"
"AU10",10,"pcy_PPP_2011"
"AU10",30,"ey_PPP_2011"
"AU10",30,"pcy_PPP_2011"
"AU10",50,"ey_PPP_2011"
"AU10",50,"pcy_PPP_2011"
"AU08",10,"ey_PPP_2011"
"AU08",10,"pcy_PPP_2011"
"AU08",30,"ey_PPP_2011"
"AU08",30,"pcy_PPP_2011"
"AU08",50,"ey_PPP_2011"
"AU08",50,"pcy_PPP_2011"
"AU04",10,"ey_PPP_2011"
"AU04",10,"pcy_PPP_2011"
"AU04",30,"ey_PPP_2011"
"AU04",30,"pcy_PPP_2011"
"AU04",50,"ey_PPP_2011"
"AU04",50,"pcy_PPP_2011"
"AU03",10,"ey_PPP_2011"
"AU03",10,"pcy_PPP_2011"
"AU03",30,"ey_PPP_2011"
"AU03",30,"pcy_PPP_2011"
"AU03",50,"ey_PPP_2011"
"AU03",50,"pcy_PPP_2011"
"AU01",10,"ey_PPP_2011"
"AU01",10,"pcy_PPP_2011"
"AU01",30,"ey_PPP_2011"
"AU01",30,"pcy_PPP_2011"
"AU01",50,"ey_PPP_2011"
"AU01",50,"pcy_PPP_2011"
"AU95",10,"ey_PPP_2011"
"AU95",10,"pcy_PPP_2011"
"AU95",30,"ey_PPP_2011"
"AU95",30,"pcy_PPP_2011"
"AU95",50,"ey_PPP_2011"
"AU95",50,"pcy_PPP_2011"
"AU89",10,"ey_PPP_2011"
"AU89",10,"pcy_PPP_2011"
"AU89",30,"ey_PPP_2011"
"AU89",30,"pcy_PPP_2011"
"AU89",50,"ey_PPP_2011"
"AU89",50,"pcy_PPP_2011"
"AU85",10,"ey_PPP_2011"
"AU85",10,"pcy_PPP_2011"
"AU85",30,"ey_PPP_2011"
"AU85",30,"pcy_PPP_2011"
"AU85",50,"ey_PPP_2011"
"AU85",50,"pcy_PPP_2011"
"AU81",10,"ey_PPP_2011"
