entity,year,number_of_countries,population_with_rights,population_without_rights
World,2000,1,15899138,6133284530
World,2001,1,15981630,6215052971
World,2002,1,16057042,6296641172
World,2003,2,26530124,6367662286
World,2004,2,26652200,6449396383
World,2005,4,102680099,6455796246
World,2006,5,153355101,6488364393
World,2007,5,155149268,6571105669
World,2008,6,161707051,6650199894
World,2009,7,172600637,6726017983
World,2010,10,226094529,6759824349
World,2011,10,227979113,6845463455
World,2012,11,235380866,6926635502
World,2013,15,509931996,6740981365
World,2014,16,514335784,6824998883
World,2015,20,853370163,6573550166
World,2016,21,907301138,6606497136
World,2017,24,1021736941,6578411025
World,2018,24,1029707597,6654084039
World,2019,28,1154382861,6610570041
World,2020,29,1166542177,6674412425
World,2021,29,1171826001,6737471010
World,2022,32,1207195228,6767911755
