country,year,p0p100_gini,p0p10_share,p0p50_share,p10p20_share,p20p30_share,p30p40_share,p40p50_share,p50p60_share,p50p90_share,p60p70_share,p70p80_share,p80p90_share,p90p100_share,p99_999p100_share,p99_99p100_share,p99_9p100_share,p99p100_share,p0p10_threshold,p10p20_threshold,p20p30_threshold,p30p40_threshold,p40p50_threshold,p50p60_threshold,p60p70_threshold,p70p80_threshold,p80p90_threshold,p90p100_threshold,p99_999p100_threshold,p99_99p100_threshold,p99_9p100_threshold,p99p100_threshold,p0p100_average,p0p10_average,p10p20_average,p20p30_average,p30p40_average,p40p50_average,p50p60_average,p60p70_average,p70p80_average,p80p90_average,p90p100_average,p99_999p100_average,p99_99p100_average,p99_9p100_average,p99p100_average,age,pop
DE-BD,1885,,,,,,,,,,,,,.341,,.0141,.0415,.1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1886,,,,,,,,,,,,,.3433,,.0147,.0432,.1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1887,,,,,,,,,,,,,.3456,,.0153,.045,.1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1888,,,,,,,,,,,,,.3478,,.0159,.0468,.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1889,,,,,,,,,,,,,.3501,,.0166,.0487,.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1890,,,,,,,,,,,,,.3523,,.017,.05,.1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1891,,,,,,,,,,,,,.3476,,.0168,.0501,.1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1892,,,,,,,,,,,,,.3473,,.0166,.0496,.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1893,,,,,,,,,,,,,.3483,,.0167,.0496,.1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1894,,,,,,,,,,,,,.3493,,.0164,.0495,.1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1895,,,,,,,,,,,,,.3575,,.017,.0514,.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1896,,,,,,,,,,,,,.3592,,.0176,.0523,.1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1897,,,,,,,,,,,,,.3619,,.0185,.0547,.1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1898,,,,,,,,,,,,,.3626,,.0186,.0559,.1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1899,,,,,,,,,,,,,.3636,,.0194,.0577,.1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1900,,,,,,,,,,,,,.3657,,.0197,.0594,.1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1901,,,,,,,,,,,,,.3678,,.0203,.0619,.1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1902,,,,,,,,,,,,,.359,,.0176,.0556,.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1903,,,,,,,,,,,,,.3629,,.0243,.0645,.1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1904,,,,,,,,,,,,,.3667,,.0264,.068,.1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1905,,,,,,,,,,,,,.3599,,.0178,.0552,.1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1906,,,,,,,,,,,,,.3646,,.0214,.0598,.1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1907,,,,,,,,,,,,,.3681,,.0214,.0612,.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1908,,,,,,,,,,,,,.3667,,.0199,.0606,.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1909,,,,,,,,,,,,,.3707,,.0254,.0654,.1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1910,,,,,,,,,,,,,.3773,,.0277,.0693,.1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1911,,,,,,,,,,,,,.3937,,.0375,.0826,.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1912,,,,,,,,,,,,,.4101,,.0473,.0959,.1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BD,1913,,,,,,,,,,,,,.4011,,.0362,.0868,.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BY,1909,,,,,,,,,,,,,.3987,,.0389,.0833,.1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-BY,1911,,,,,,,,,,,,,.3987,,.0389,.0833,.1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1871,,,,,,,,,,,,,.5524,,.0434,.126,.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1872,,,,,,,,,,,,,.5632,,.0334,.1143,.2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1873,,,,,,,,,,,,,.5632,,.0334,.1143,.2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1874,,,,,,,,,,,,,.5391,,.0217,.0867,.2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1875,,,,,,,,,,,,,.5729,,.0349,.1157,.3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1876,,,,,,,,,,,,,.5496,,.0278,.0983,.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
DE-HB,1877,,,,,,,,,,,,,.542,,.0211,.0874,.2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,t
