country,year,p0p100_gini,p0p10_share,p0p40_share,p0p50_share,p10p20_share,p20p30_share,p30p40_share,p40p50_share,p50p60_share,p50p90_share,p60p70_share,p70p80_share,p80p90_share,p90p100_share,p99_999p100_share,p99_99p100_share,p99_9p100_share,p99p100_share,p0p10_threshold,p10p20_threshold,p20p30_threshold,p30p40_threshold,p40p50_threshold,p50p60_threshold,p60p70_threshold,p70p80_threshold,p80p90_threshold,p90p100_threshold,p99_999p100_threshold,p99_99p100_threshold,p99_9p100_threshold,p99p100_threshold,p0p100_average,p0p10_average,p10p20_average,p20p30_average,p30p40_average,p40p50_average,p50p60_average,p60p70_average,p70p80_average,p80p90_average,p90p100_average,p99_999p100_average,p99_99p100_average,p99_9p100_average,p99p100_average,age,pop
AE,1998,.665109139802524,.0015,.0591,.0975,.0122,.021,.0274,.0353,.0468,.3455,.0627,.0871,.1489,.5570000000000001,.0077,.0191,.056,.1961,0,9545.223029699615,28158.44169414939,37286.43394471278,47464.88457221904,62199.20725212306,82762.15840000348,111190.2022912431,160130.3374834996,342873.7730393302,76201682.84071654,11710359.11694967,4113298.216647912,1442484.501261149,155874.5385275961,2386.362018317452,19090.44605939923,32761.12280914711,42706.96840250278,55093.68156687643,72910.38101898815,97787.55243359403,135730.7985422696,232050.5267936424,868227.5906399379,119651779.0035555,29781054.62468074,8729985.143280113,3057440.954438704,992,j
AE,2009,.68281057678346,.0015,.0541,.0867,.0124,.0197,.0231,.03,.0408,.3391,.0576,.085,.1558,.5742,.0063,.0152,.0444,.1767,0,4438.174265187268,13092.67484406639,14912.87224849446,18345.1467636369,24589.52072318628,33621.46437799166,49668.46620282643,73177.82279780447,172265.7669973968,28488112.52099526,4075709.189118719,1622435.866250319,652000.4173710734,71784.3080024607,1109.554818475327,8876.393539088575,14127.87526695024,16593.72267425955,21545.31134048317,29281.49912683625,41333.21243262188,60989.28300134203,111829.1910044466,412157.0368201035,44963551.75465725,10915782.25566593,3187798.88275135,1268714.182970875,992,j
AE,2013,.624084481493838,.0013,.0616,.1097,.0103,.0216,.032,.0445,.0578,.3945,.0765,.103,.1572,.4958,.006,.0153,.0457,.1642,0,3881.596507388068,11450.7119472305,20639.10589203346,27638.63605571959,38323.34469873009,48600.40941869454,66252.55701228176,87951.52810249213,166962.8403093892,29137001.35093872,4614001.706752668,1651877.641407846,603291.5819602602,75069.08896169922,970.4328833825457,7763.148006062096,16232.39271795905,23985.63880693269,33409.56335229875,43364.54571460421,57401.0082833424,77337.84321023426,118044.9394218676,372181.3322115946,45391267.08868516,11462337.06794463,3429686.964172372,1232339.220494155,992,j
AE,2014,.627912350126778,.0013,.0602,.1077,.0101,.0211,.0313,.0438,.0572,.3931,.076,.1028,.1571,.4992,.0067,.0166,.0483,.1681,0,3946.229020747251,11641.41386861132,21031.13179130817,28297.2485682439,39391.35647414794,50197.00353177969,68710.61791206243,91680.1849995776,173191.5062277392,33402824.64763291,5099439.141229869,1768880.179012584,630365.2236286554,78169.96431537673,986.5460030083031,7892.458041494501,16514.86740726422,24501.39366109904,34270.40001699772,44678.48510352804,59413.48291414262,80396.27534657352,122794.1689097744,390251.6557673129,52233947.87010633,12971629.89381901,3777213.963112565,1313968.779614095,992,j
AE,2018,.601904899422955,.0019,.0717,.1261,.0153,.0255,.0328,.0505,.0631,.3824,.0772,.0968,.1453,.4915,.0066,.0159,.0451,.1583,0,6465.996867474602,19074.69300948578,23498.68952975094,33331.65326829823,48598.65407884704,57742.71444032215,71738.57914899767,89646.19620346701,179799.9556751454,35119158.14319734,5074583.078902148,1754735.830556296,658339.0845865333,84253.38711352469,1616.442955976103,12931.99373494921,21524.60733202549,27632.51487061036,42570.68201639441,53175.63521812882,65017.69793392345,81555.15971563497,122428.248064642,414081.0693278182,55545362.1057551,13397421.06031306,3800663.908205012,1333595.099422836,992,j
AF,2008,.527284241766768,.0029,.1079,.1713,.0231,.0388,.0484,.0582,.0719,.4031,.0907,.1033,.1372,.4256,.0055,.0178,.0576,.1646,0,467.7499931490652,1379.862189185987,1722.728124347329,2119.559176947867,2490.54974358883,3381.691972612221,3788.403552907605,4576.991716533623,6700.642594362179,1547921.712128633,332128.6785342277,105492.9121187032,25511.16797150716,4056.787745475162,116.938951306045,935.4999862981305,1572.706841488898,1965.417132833175,2359.022483745102,2918.405653151181,3678.927306048725,4189.709903346397,5565.120042994588,17266.12334146426,2230542.117099084,721803.7996363005,233635.8064352658,66755.87900958098,992,j
AF,2012,.495468633404602,.0032,.122,.1897,.0257,.0447,.0541,.0619,.0737,.4164,.0923,.1084,.1419,.394,.0044,.014,.0464,.1406,0,724.8296996186965,2138.256622591583,2765.675943289339,3183.889620236544,3626.787180195518,4719.852522850849,5415.476545018608,6677.574468232274,9438.32177182442,1691099.50902261,365516.7542980181,122946.8061708953,32587.16018884627,5634.272112708272,181.2088779234528,1449.665211312508,2519.755421039768,3047.311667118217,3488.581846045098,4155.087371888638,5201.324825345519,6110.007897064818,7993.399213805437,22196.34973516369,2454614.83394604,787787.1957423982,261540.5961736753,79221.75139313393,992,j
AF,2017,.517385420481983,.0031,.1145,.1776,.0247,.0417,.0504,.0578,.0692,.4078,.0898,.1067,.1421,.4146,.0044,.0149,.0509,.1525,0,653.2016859061868,1926.941195574426,2403.339556494038,2792.597475220233,3167.935474046927,4285.056995601648,4956.119188335046,6229.085692013041,8945.800714536867,1632725.583884472,378989.7837419572,127376.5082798744,32325.57031208769,5292.713894447719,163.3018744953253,1306.403371812374,2208.832650708347,2665.504828688957,3057.494422719021,3659.962504949737,4754.22513507868,5647.459711143332,7521.487774874307,21942.44923378176,2327123.566243028,788901.6727697756,269426.8149102922,80724.2483672383,992,j
AL,1996,.44567476902925,.0032,.1245,.2025,.0257,.0448,.0571,.0716,.0854,.4831,.1046,.1276,.1656,.3144,.0011,.0045,.0186,.0765,0,1061.900465772675,3132.609165291474,4234.856717695644,5300.961066885617,6416.509589917267,7881.681892882367,9446.475553225986,11863.5895861359,15931.28611275225,559603.9702198064,229865.2384618138,94420.39388259591,38784.51141771272,8253.669750071585,265.4757232392739,2123.80335872977,3697.946533463362,4716.274184508935,5906.14552169826,7045.873655932637,8630.958578036427,10528.27893125146,13671.84197983524,25950.09660683607,911525.6675864336,374422.041610161,153799.1452102077,63175.17358740691,992,j
AL,2002,.461489039829139,.0029,.1174,.1929,.0231,.0421,.0554,.0694,.084,.481,.1017,.1274,.168,.3261,.0012,.0049,.0199,.0805,0,1175.987842300787,3469.16741148629,5119.007186759884,6263.041146157245,7765.220729990445,9466.407591691837,11439.95852601951,14821.81283232654,20196.18409202751,749648.3356326134,303710.9895215264,123044.8520903937,49850.14228076109,10202.3007819481,293.9951401868809,2351.978111785995,4296.308172868368,5657.033875825859,7076.931907784686,8566.070229723462,10371.8687399731,12999.41480782119,17136.73754674043,33272.67656832429,1235025.714993934,500355.7625790977,202713.1248869454,82126.78003257852,992,j
