Ecosystem,Items,%
Nearshore Seafloor,Plastic bags,12.1
Nearshore Seafloor,Wrappers,11.8
Nearshore Seafloor,Plastic bottles,11.7
Nearshore Seafloor,Fishing related,9.6
Nearshore Seafloor,Food containers,5.4
Nearshore Seafloor,Glass bottles,5.2
Nearshore Seafloor,Cans (drink),4.5
Nearshore Seafloor,Plastic lids,2.9
Nearshore Seafloor,Clothing,2.8
Nearshore Seafloor,Fishing net,2.6
Nearshore Waters,Wrappers,39.0
Nearshore Waters,Plastic bags,22.5
Nearshore Waters,Plastic bottles,11.1
Nearshore Waters,Plastic lids,4.7
Nearshore Waters,Straws & stirrers,4.1
Nearshore Waters,Cups & lids,4.0
Nearshore Waters,Synthetic rope,3.7
Nearshore Waters,Wood,2.4
Nearshore Waters,Fishing net,2.4
Nearshore Waters,Fishing related,1.7
Deep Seafloor,Plastic bottles,22.6
Deep Seafloor,Plastic bags,18.4
Deep Seafloor,Cans (drink),10.2
Deep Seafloor,Fishing related,7.2
Deep Seafloor,Food containers,7.0
Deep Seafloor,Synthetic rope,6.8
Deep Seafloor,Industrial packaging,6.5
Deep Seafloor,Glass bottles,2.8
Deep Seafloor,Fishing net,2.3
Deep Seafloor,Clothing,2.2
Offshore Waters,Synthetic rope,31.8
Offshore Waters,Fishing related,24.4
Offshore Waters,Plastic lids,10.6
Offshore Waters,Plastic bottles,8.7
Offshore Waters,Other containers,7.1
Offshore Waters,Fishing net,4.4
Offshore Waters,Industrial packaging,2.8
Offshore Waters,Plastic bags,1.6
Offshore Waters,Wrappers,1.4
Offshore Waters,Cups & lids,1.2
River Waters,Food containers,35.8
River Waters,Plastic bags,22.8
River Waters,Wrappers,10.1
River Waters,Industrial packaging,8.2
River Waters,Plastic bottles,6.2
River Waters,Straws & stirrers,4.8
River Waters,Plastic lids,4.5
River Waters,Other containers,2.1
River Waters,Cups & lids,1.1
River Waters,Cotton buds,0.7
Riverbed,Plastic lids,13.2
Riverbed,Glass bottles,11.1
Riverbed,Plastic bottles,9.7
Riverbed,Fishing related,7.7
Riverbed,Rope & nets (fabric),7.1
Riverbed,Batteries,6.1
Riverbed,Plastic bags,4.4
Riverbed,Synthetic rope,4.3
Riverbed,Tyres,4.3
Riverbed,Cans (food),4.0
Shoreline,Plastic bags,16.2
Shoreline,Food containers,15.4
Shoreline,Plastic bottles,12.9
Shoreline,Straws & stirrers,6.2
Shoreline,Synthetic rope,5.9
Shoreline,Plastic lids,6.0
Shoreline,Paper bags,4.7
Shoreline,Clothing,3.9
Shoreline,Glass bottles,3.8
Shoreline,Tobacco packets,3.7
