country,year,region,PIP: Bottom 50pc share – all observations,PIP: Gini – all observations,PIP: Ratio Top 10 Bottom 50 share – all observations,PIP: Top 10pc share – all observations,WID: Bottom 50pc share – pretax – all observations,WID: Gini – pretax – all observations,WID: Ratio Top 10 Bottom 50 share – pretax – all observations,WID: Top 10pc share – pretax – all observations,PIP: Bottom 50pc share – only matching observations,PIP: Gini – only matching observations,PIP: Ratio Top 10 Bottom 50 share – only matching observations,PIP: Top 10pc share – only matching observations,WID: Bottom 50pc share – pretax – only matching observations,WID: Gini – pretax – only matching observations,WID: Ratio Top 10 Bottom 50 share – pretax – only matching observations,WID: Top 10pc share – pretax – only matching observations
Albania,1996,EE & CA,31.23301974406617,27.01034197508885,67.92674323410662,21.21557312580965,18.8,46.76298354621549,173.2446808510638,32.57,31.23301974406617,27.01034197508885,67.92674323410662,21.21557312580965,18.8,46.76298354621549,173.2446808510638,32.57
Albania,2015,EE & CA,27.4671867601428,32.75373177638622,90.21421861996708,24.77930791254988,17.61,49.3067210753804,200.05678591709253,35.23,27.4671867601428,32.75373177638622,90.21421861996708,24.77930791254988,17.61,49.3067210753804,200.05678591709253,35.23
Angola,1995,SS Africa,,,,,9.15,68.2465771714575,634.2076502732241,58.03,,,,,,,,
Angola,2018,SS Africa,,,,,9.04,68.559671704061,641.7035398230089,58.01,,,,,,,,
Argentina,1993,LAC,20.18615226924967,44.85628585171292,164.4760663522394,33.20138920033517,9.5,63.865039772344105,517.4736842105264,49.16,20.18615226924967,44.85628585171292,164.4760663522394,33.20138920033517,9.5,63.865039772344105,517.4736842105264,49.16
Argentina,2015,LAC,,,,,14.45,56.288186944950304,299.23875432525955,43.24,,,,,14.45,56.288186944950304,299.23875432525955,43.24
Argentina,2016,LAC,21.50369109079568,42.03252890095214,141.46094637161946,30.41932492186919,,,,,21.50369109079568,42.03252890095214,141.46094637161946,30.41932492186919,,,,
Armenia,1996,EE & CA,21.19570046749689,44.41862299727733,166.17291510485765,35.22151334373353,13.48,58.8422260781208,346.9584569732938,46.77,21.19570046749689,44.41862299727733,166.17291510485765,35.22151334373353,13.48,58.8422260781208,346.9584569732938,46.77
Armenia,2015,EE & CA,28.597144458223653,32.356771796160224,93.48855253442508,26.735056420171848,18.03,51.1253043202704,224.9584026622296,40.56,28.597144458223653,32.356771796160224,93.48855253442508,26.735056420171848,18.03,51.1253043202704,224.9584026622296,40.56
Australia,1993,W. Offshoots,,,,,17.71,45.3540099396387,159.17560700169395,28.19,,,,,17.71,45.3540099396387,159.17560700169395,28.19
Australia,1995,W. Offshoots,27.75786415030587,32.5819904320173,88.62966136221691,24.6017009978003,,,,,27.75786415030587,32.5819904320173,88.62966136221691,24.6017009978003,,,,
