country,year,region,PIP: Bottom 50pc share – all observations,PIP: Gini – all observations,PIP: Ratio Top 10 Bottom 50 share – all observations,PIP: Top 10pc share – all observations,WID: Bottom 50pc share – pretax – all observations,WID: Gini – pretax – all observations,WID: Ratio Top 10 Bottom 50 share – pretax – all observations,WID: Top 10pc share – pretax – all observations,PIP: Bottom 50pc share – only matching observations,PIP: Gini – only matching observations,PIP: Ratio Top 10 Bottom 50 share – only matching observations,PIP: Top 10pc share – only matching observations,WID: Bottom 50pc share – pretax – only matching observations,WID: Gini – pretax – only matching observations,WID: Ratio Top 10 Bottom 50 share – pretax – only matching observations,WID: Top 10pc share – pretax – only matching observations
Argentina,1980,LAC,22.45604138788032,40.83086045604474,134.37528992787784,30.17537072128842,9.5,63.865039772344105,517.4736842105264,49.16,22.45604138788032,40.83086045604474,134.37528992787784,30.17537072128842,9.5,63.865039772344105,517.4736842105264,49.16
Argentina,2018,LAC,21.86661836191659,41.3424983747329,136.41893907886612,29.83020878175115,13.46,58.6629653950498,348.06835066864784,46.85,21.86661836191659,41.3424983747329,136.41893907886612,29.83020878175115,13.46,58.6629653950498,348.06835066864784,46.85
Australia,1980,W. Offshoots,,,,,19.25,41.8851173410195,127.012987012987,24.45,,,,,19.25,41.8851173410195,127.012987012987,24.45
Australia,1981,W. Offshoots,28.41237060236561,31.32578703020214,82.01229164735311,23.3016362423389,,,,,28.41237060236561,31.32578703020214,82.01229164735311,23.3016362423389,,,,
Australia,2018,W. Offshoots,26.989283711871614,34.33376217623682,98.6072511703994,26.61339077885694,16.59,48.632459463262,196.14225437010248,32.54,26.989283711871614,34.33376217623682,98.6072511703994,26.61339077885694,16.59,48.632459463262,196.14225437010248,32.54
Bangladesh,1983,S & SE Asia,32.50290541571437,25.87648986599902,67.2728475006209,21.86562999358458,19.97,47.31696106938181,182.87431146720084,36.52,32.50290541571437,25.87648986599902,67.2728475006209,21.86562999358458,19.97,47.31696106938181,182.87431146720084,36.52
Bangladesh,2016,S & SE Asia,28.590596498057632,32.38527251961526,93.85978423517716,26.835072184627016,17.09,52.983736602934094,248.03978935049736,42.39,28.590596498057632,32.38527251961526,93.85978423517716,26.835072184627016,17.09,52.983736602934094,248.03978935049736,42.39
Belgium,1985,W. Europe,32.666313587618056,25.20385152739536,63.18998933655921,20.64184007266284,21.67,42.9444232175597,143.9778495616059,31.2,32.666313587618056,25.20385152739536,63.18998933655921,20.64184007266284,21.67,42.9444232175597,143.9778495616059,31.2
Belgium,2017,W. Europe,,,,,21.15,43.628281546083706,150.4964539007092,31.83,,,,,21.15,43.628281546083706,150.4964539007092,31.83
Belgium,2018,W. Europe,31.77431801379475,27.214413739767977,70.00502170320809,22.24361822160337,,,,,31.77431801379475,27.214413739767977,70.00502170320809,22.24361822160337,,,,
Bosnia and Herzegovina,1980,EE & CA,,,,,23.23,38.9002817302986,120.23245802841154,27.93,,,,,,,,
Bosnia and Herzegovina,2015,EE & CA,,,,,18.22,48.305522736948696,190.39517014270032,34.69,,,,,,,,
Botswana,1985,SS Africa,15.500055592075231,54.21210548710371,276.9723515773763,42.93086846917138,7.93,70.4636971362298,765.4476670870114,60.7,15.500055592075231,54.21210548710371,276.9723515773763,42.93086846917138,7.93,70.4636971362298,765.4476670870114,60.7
Botswana,2015,SS Africa,15.80897180147596,53.32502673276544,262.3575642522119,41.47603335167135,8.12,70.0338383995962,729.8029556650247,59.260000000000005,15.80897180147596,53.32502673276544,262.3575642522119,41.47603335167135,8.12,70.0338383995962,729.8029556650247,59.260000000000005
Brazil,1980,LAC,,,,,8.55,70.3332456573794,712.3976608187133,60.91,,,,,8.55,70.3332456573794,712.3976608187133,60.91
Brazil,1981,LAC,13.4190627813035,57.93085113621365,341.90599048426515,45.8805795161211,,,,,13.4190627813035,57.93085113621365,341.90599048426515,45.8805795161211,,,,
Brazil,2018,LAC,15.69335888985572,53.87094736890694,270.512641538231,42.45251967902351,9.77,68.089873903608,594.3705220061413,58.07,15.69335888985572,53.87094736890694,270.512641538231,42.45251967902351,9.77,68.089873903608,594.3705220061413,58.07
Bulgaria,1980,EE & CA,,,,,26.66,33.2959274018499,80.19504876219055,21.38,,,,,,,,
Bulgaria,2018,EE & CA,,,,,16.23,54.7216666320608,272.2735674676525,44.190000000000005,,,,,,,,
Canada,1980,W. Offshoots,,,,,16.939999999999998,50.2549119959799,218.0637544273908,36.94,,,,,16.939999999999998,50.2549119959799,218.0637544273908,36.94
Canada,1981,W. Offshoots,27.84017975686788,32.4386360480684,87.16692601217039,24.26742889032426,,,,,27.84017975686788,32.4386360480684,87.16692601217039,24.26742889032426,,,,
Canada,2017,W. Offshoots,27.38061601130611,33.30820627166964,92.46535249829348,25.31758311105838,,,,,27.38061601130611,33.30820627166964,92.46535249829348,25.31758311105838,,,,
Canada,2018,W. Offshoots,,,,,16.17,52.48655873049231,246.3821892393321,39.84,,,,,16.17,52.48655873049231,246.3821892393321,39.84
China,1980,East Asia,,,,,24.98,38.2153174688597,111.64931945556444,27.89,,,,,24.98,38.2153174688597,111.64931945556444,27.89
China,1981,East Asia,30.464767625993566,28.16409669780766,71.34461019586675,21.73496970984172,,,,,30.464767625993566,28.16409669780766,71.34461019586675,21.73496970984172,,,,
China,2016,East Asia,,,,,14.11,55.371358091414905,296.243798724309,41.8,,,,,14.11,55.371358091414905,296.243798724309,41.8
China,2018,East Asia,24.13563958922387,38.49764207266088,121.95288129671292,29.43410789844864,,,,,24.13563958922387,38.49764207266088,121.95288129671292,29.43410789844864,,,,
Colombia,1980,LAC,13.14339986961617,59.12672682099516,360.9939738253265,47.4468814850802,7.049999999999999,70.5809471415982,824.6808510638299,58.14,13.14339986961617,59.12672682099516,360.9939738253265,47.4468814850802,7.049999999999999,70.5809471415982,824.6808510638299,58.14
Colombia,2018,LAC,17.70864826435348,50.41870410395841,223.9730276690984,39.66259567694374,9.44,66.04703932828609,565.677966101695,53.400000000000006,17.70864826435348,50.41870410395841,223.9730276690984,39.66259567694374,9.44,66.04703932828609,565.677966101695,53.400000000000006
Costa Rica,1981,LAC,17.9145174314964,47.494762226075046,188.29633911336813,33.732380493333906,,,,,,,,,,,,
Costa Rica,2018,LAC,18.593510540869712,47.96854727902833,195.48791264753095,36.34806564424485,,,,,,,,,,,,
Cote d'Ivoire,1985,SS Africa,20.48926038288693,45.52626809927137,173.7877634428594,35.60782736540305,11.58,64.2348560730825,472.020725388601,54.66,20.48926038288693,45.52626809927137,173.7877634428594,35.60782736540305,11.58,64.2348560730825,472.020725388601,54.66
Cote d'Ivoire,2015,SS Africa,,,,,12.8,60.1206895444214,380.078125,48.65,,,,,12.8,60.1206895444214,380.078125,48.65
Cote d'Ivoire,2018,SS Africa,25.14311124063701,37.183563557452445,115.3245717787251,28.99618537011313,,,,,25.14311124063701,37.183563557452445,115.3245717787251,28.99618537011313,,,,
Croatia,1984,EE & CA,,,,,22.02,40.8472892201299,124.70481380563126,27.46,,,,,,,,
Croatia,2018,EE & CA,,,,,18.99,47.2079559079372,183.9389152185361,34.93,,,,,,,,
Czechia,1980,EE & CA,,,,,30.92,27.6608720581909,58.76455368693403,18.17,,,,,,,,
Czechia,2018,EE & CA,,,,,25.34,38.0284032005967,113.89108129439624,28.860000000000003,,,,,,,,
Denmark,1980,W. Europe,,,,,25.09,37.0272548702324,104.0255081705859,26.1,,,,,,,,
Denmark,2017,W. Europe,,,,,21.67,44.0461282547574,154.63774803876325,33.51,,,,,,,,
Egypt,1980,MENA,,,,,16.97,54.780482203458206,272.24513847967,46.2,,,,,,,,
Egypt,2016,MENA,,,,,14.62,58.56021776875549,334.1313269493844,48.85,,,,,,,,
Ethiopia,1981,SS Africa,28.924756978641103,32.42495626626984,95.13134686871672,27.51651089228442,16.56,54.691967138196894,271.55797101449275,44.97,28.924756978641103,32.42495626626984,95.13134686871672,27.51651089228442,16.56,54.691967138196894,271.55797101449275,44.97
Ethiopia,2015,SS Africa,27.067618982756837,34.99312323123417,105.16163899735608,28.46475175982657,15.840000000000002,55.4313418098136,287.0580808080808,45.47,27.067618982756837,34.99312323123417,105.16163899735608,28.46475175982657,15.840000000000002,55.4313418098136,287.0580808080808,45.47
Finland,1980,W. Europe,,,,,23.51,39.3338344285828,115.78051892811568,27.22,,,,,,,,
Finland,2017,W. Europe,,,,,21.55,44.480968724983,157.122969837587,33.86,,,,,,,,
France,1978,W. Europe,26.513551680100026,35.16750482328107,102.41882465457824,27.15486800494262,,,,,26.513551680100026,35.16750482328107,102.41882465457824,27.15486800494262,,,,
France,1980,W. Europe,,,,,21.74,42.9374418405701,143.8822447102116,31.28,,,,,21.74,42.9374418405701,143.8822447102116,31.28
France,2018,W. Europe,28.76822774245383,32.38068846338816,92.79806342663058,26.69635822715984,22.770000000000003,42.4623964434705,140.97496706192356,32.1,28.76822774245383,32.38068846338816,92.79806342663058,26.69635822715984,22.770000000000003,42.4623964434705,140.97496706192356,32.1
Germany,1980,W. Europe,,,,,23.25,40.3384847975005,123.01075268817203,28.6,,,,,,,,
Germany,2017,W. Europe,,,,,18.58,49.2620471781791,203.49838536060284,37.81,,,,,,,,
Greece,1980,W. Europe,,,,,17.810000000000002,49.0613622729834,203.25659741718133,36.2,,,,,,,,
Greece,2017,W. Europe,,,,,20.05,46.1731462461891,169.1770573566085,33.92,,,,,,,,
Hong Kong,1981,East Asia,,,,,17.75,52.5696170693196,236.45070422535213,41.97,,,,,,,,
Hong Kong,2016,East Asia,,,,,13.59,59.3197896413177,354.5253863134658,48.18,,,,,,,,
Hungary,1980,EE & CA,,,,,33.47,24.731605810868,53.92889154466687,18.05,,,,,,,,
Hungary,2018,EE & CA,,,,,22.45,42.677379125271706,144.67706013363028,32.48,,,,,,,,
