Entity,Year,Mean income or expenditure per day,Median income or expenditure per day,$1 - total number of people below poverty line,$10 - total number of people below poverty line,$20 - total number of people below poverty line,$30 - total number of people below poverty line,$40 - total number of people below poverty line,$1 a day - share of population below poverty line,$10 a day - share of population below poverty line,$20 a day - share of population below poverty line,$30 a day - share of population below poverty line,$40 a day - share of population below poverty line,$1 a day - poverty gap index,$10 a day - poverty gap index,$20 a day - poverty gap index,$30 a day - poverty gap index,$40 a day - poverty gap index,$1 a day - total shortfall,$10 a day - total shortfall,$20 a day - total shortfall,$30 a day - total shortfall,$40 a day - total shortfall,$1 - total number of people above poverty line,$10 - total number of people above poverty line,$20 - total number of people above poverty line,$30 - total number of people above poverty line,$40 - total number of people above poverty line,$1 - share of population above poverty line,$10 - share of population above poverty line,$20 - share of population above poverty line,$30 - share of population above poverty line,$40 - share of population above poverty line,$5.50-$10 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$30-$40 - total number of people between poverty lines,$10-$30 - total number of people between poverty lines,$5.50-$10 - share of population between poverty lines,$10-$20 - share of population between poverty lines,$20-$30 - share of population between poverty lines,$30-$40 - share of population between poverty lines,$10-$30 - share of population between poverty lines,40% of median - total number of people below poverty line,50% of median - total number of people below poverty line,60% of median - total number of people below poverty line,40% of median - share of population below poverty line,50% of median - share of population below poverty line,60% of median - share of population below poverty line,Share of the richest decile in total income or expenditure,Share of the poorest quintile in total income or expenditure,Share of the 2nd quintile in total income or expenditure,Share of the 3rd quintile in total income or expenditure,Share of the 4th quintile in total income or expenditure,Share of the richest quintile in total income or expenditure,P10,P90,Gini coefficient
Albania,1996,7.933156834567807,6.972102000014124,1819.0,2395790.0,3126915.0,3164783.0,3166501.0,0.05741581265349356,75.62388288141901,98.70209620132306,99.8974256830123,99.9516562083065,0.002253269216365813,29.463331103388914,60.63312206697674,73.61357129402832,80.18758335677434,71.38431235331035,9334080.522546249,38417546.32024211,69963066.93220033,101614764.10580476,3166214.0,772243.0,41118.0,3250.0,1532.0,99.94258266880426,24.376103405488518,1.2979031468422204,0.10258731522051695,0.04835808212856369,878963.0,731125.0,37868.0,1718.0,768993.0,27.744755184052693,23.078200258646294,1.1953158316217034,0.05422923309195327,24.273542801593294,87717.0,239127.0,468949.0,2.7688211170843,7.54812303918347,14.8025141997288,21.21557312580965,9.15263288014579,13.70072493522443,17.73456445323429,23.29695646886107,36.11512126253436,3.06,10.92,0.2701034197508885
Albania,2002,8.108227985412178,6.688140745711086,1415.0,2340279.0,2945105.0,3018917.0,3043749.0,0.04637062332571041,76.70504367374417,96.52886497398232,98.94812479121175,99.76201983892214,0.02034755933422169,31.7466022245308,60.94604224381435,73.31651858478293,79.86398152916712,620.8060700430372,9685920.085306572,37189396.869260006,67106829.41020757,97466322.51412167,3049595.0,710731.0,105905.0,32093.0,7261.0,99.95362191536573,23.294941675051867,3.4711456206305455,1.051881180330448,0.23798676503846267,750978.0,604826.0,73812.0,24832.0,678638.0,24.61407861658926,19.823796054421322,2.4192644403000974,0.8138944152919853,22.243081117467582,98007.0,256479.0,488789.0,3.21228322967181,8.406372784532019,16.02055356185178,25.435636949619262,8.35344602147731,12.58026303614831,16.49256189674156,22.21301379280009,40.360715252832776,2.91,11.58,0.3173897983352211
Albania,2005,9.165973675060911,7.799790411053395,0.0,2061456.0,2873129.0,2977077.0,2997843.0,0.0,68.45308827018641,95.40566654445932,98.857363639867,99.54694682829633,0.0,25.385775869121467,56.02629144528808,69.90787236039165,77.26635987917632,0.0,7644893.401477301,33744489.66913925,63157994.643293634,93074655.32538444,3011487.0,950031.0,138358.0,34410.0,13644.0,100.0,31.546906893504772,4.594341599349424,1.1426248892988746,0.4530652132982809,843959.0,811673.0,103948.0,20766.0,915621.0,28.02466024259776,26.952565294155345,3.45171671005055,0.6895596760005938,30.40427536968059,123320.0,270779.0,502189.0,4.0950019098266,8.99153251423932,16.67577033199554,24.3411680965624,8.40264492124353,12.89846507816986,17.02522691156018,22.49855164755339,39.1751114414729,3.3,12.78,0.3059565572811917
Albania,2008,10.038168285990896,8.400198792305364,0.0,1849996.0,2787653.0,2903376.0,2927993.0,0.0,62.7688726498185,94.58283090767016,98.50922535195014,99.34444848225765,0.0,21.13648079553931,52.57052193337225,67.44217040340168,75.3358334663243,0.0,6229584.575942415,30988367.05630702,59631975.90609941,88815342.67078647,2947314.0,1097318.0,159661.0,43938.0,19321.0,100.0,37.2311195888867,5.417169667025638,1.4907810976366958,0.6555460327606764,864654.0,937657.0,115723.0,24617.0,1053380.0,29.337016687058114,31.813949921861056,3.9263885693889415,0.8352350648760193,35.74035270213164,62440.0,213023.0,416666.0,2.11853496956573,7.227714347122539,14.137154208979242,24.458310898489017,8.87040653865838,13.072056409634559,16.8362111788219,22.22781052207245,38.993515350812636,3.81,13.62,0.2998467042234797
Albania,2012,9.517230603726524,8.240384222499124,699.0,1887070.0,2770468.0,2873530.0,2892932.0,0.02410075743530042,65.06238755694477,95.52015702024312,99.07353137521734,99.74248590095071,0.0040689517621352485,22.70276176775296,53.971033616178524,68.58112842845537,76.30961851882508,118.01591759848837,6584711.293395245,31307527.974279556,59673832.04250611,88531397.5446475,2899702.0,1013331.0,129933.0,26871.0,7469.0,99.97589988418842,34.937617246718645,4.479828823669554,0.926458100104089,0.2575161158750118,823558.0,883398.0,103062.0,19402.0,986460.0,28.39462543282808,30.457788423049088,3.5533707235654655,0.6689419842290772,34.01114381827257,101294.0,224871.0,430501.0,3.4924129328671296,7.75311184523735,14.84282292059738,22.93433964125372,8.85262200335082,13.17436957281198,17.34077515842347,22.80875632298017,37.82347694243304,3.65,13.26,0.2896048455859209
Albania,2014,10.141309648398275,8.295375308399455,0.0,1761723.0,2645987.0,2834179.0,2874814.0,0.0,60.97816312931914,91.58505200578446,98.09887619781664,99.50538231306511,0.0,24.50746198166669,52.28637791909014,66.69351794777684,74.75470766840093,0.0,7080460.644108116,30212156.718311,57805352.843098156,86389649.97744311,2889104.0,1127381.0,243117.0,54925.0,14290.0,100.0,39.02182129822948,8.414961870531487,1.901108440540735,0.49461701620986986,642374.0,884264.0,188192.0,40635.0,1072456.0,22.234367471714414,30.606859427697998,6.513853429990752,1.4064914243308653,37.120713068497494,217105.0,415333.0,641844.0,7.514618464949289,14.37582774078003,22.21602387505624,25.54432240126554,7.02677105431901,11.53451153089468,16.44523284731562,23.31824085121201,41.67524371625824,3.05,15.76,0.3459889646678993
Albania,2015,12.055372382517964,9.887382595951983,0.0,1458177.0,2500865.0,2772099.0,2847716.0,0.0,50.61879313739188,86.81440229681186,96.22995852152242,98.85491180077672,0.0,16.89070547993328,44.825081383157375,60.75816618493681,70.04043980054276,0.0,4865710.5948160235,25825549.283141118,52507869.48103381,80706282.02189717,2880703.0,1422526.0,379838.0,108604.0,32987.0,100.0,49.381210072680176,13.185600875897308,3.7700519630104177,1.14510242812258,704749.0,1042688.0,271234.0,75617.0,1313922.0,24.464479677356536,36.19560919678287,9.415548912886889,2.624949534887838,45.61116538413054,142897.0,310489.0,540541.0,4.96048835970365,10.77823508542475,18.76418997908274,24.779307912549882,7.70127702614343,12.14588655582429,16.50625967309266,22.997377736161937,40.64919900877737,3.97,18.26,0.3275373177638622
Albania,2016,12.541092354465023,10.282371297238775,0.0,1388484.0,2444326.0,2752278.0,2833095.0,0.0,48.27662205631871,84.98749903455865,95.69477652150432,98.5047040177654,0.0,16.55320003104891,43.38345508443418,59.40774820549501,68.90622055505648,0.0,4760867.51624998,24955039.71035925,51258805.206471734,79272499.93784739,2876101.0,1487617.0,431775.0,123823.0,43006.0,100.0,51.72339218963451,15.012511730290418,4.3052382374610625,1.495288239182143,657557.0,1055842.0,307952.0,80817.0,1363794.0,22.86279237064345,36.71088045934409,10.707273492829355,2.80994999827892,47.418154465185616,189031.0,365811.0,577118.0,6.57246134537133,12.71899533854483,20.06597024463861,25.04955458194103,7.31992136194469,11.84618458801516,16.42109523282767,23.22448203645849,41.1883167807538,3.89,19.18,0.3373629871613544
Albania,2017,12.411218948203334,10.187668779844469,0.0,1398525.0,2447542.0,2759480.0,2840950.0,0.0,48.67047119757039,85.17759927449046,96.033444771584,98.8687159614513,0.0,16.32869922286569,43.543035246546204,59.639505523204924,69.17814625067894,0.0,4691981.508283797,25023807.88608698,51411466.38665756,79512171.43641487,2873457.0,1474932.0,425915.0,113977.0,32507.0,100.0,51.329530944781844,14.822389894820073,3.9665462194144547,1.131285416834148,664615.0,1049017.0,311938.0,81470.0,1360955.0,23.12945695724697,36.507141049961774,10.855843675405618,2.8352608025803065,47.36297357401361,151469.0,334884.0,550929.0,5.27131043330937,11.654406498098387,19.17304680980168,24.612430132885578,7.55047129383629,11.98572812645256,16.51337316181611,23.257148990508924,40.69327842738538,4.06,18.82,0.330556627406811
Albania,2018,13.316506107778826,11.639975304913122,0.0,1128553.0,2402021.0,2759656.0,2837748.0,0.0,39.3721140167632,83.79992965491935,96.27682688388576,99.0012551333334,0.0,12.0608699623765,39.007077254488024,56.4944094352237,66.86351984939598,0.0,3457098.81992769,22361790.01448207,48580265.801789634,76662395.42873292,2866376.0,1737823.0,464355.0,106720.0,28628.0,100.0,60.627879943175635,16.200072844595407,3.723168209613812,0.9987524316419061,607992.0,1273468.0,357635.0,78092.0,1631103.0,21.21117397019791,44.42780709858023,12.476904634981594,2.724415777971906,56.90471286712256,173731.0,337481.0,534874.0,6.06099331041429,11.77378607783045,18.66027629241168,22.74231233085836,7.93800085416701,13.045302235255349,17.4804409100764,23.34443792722555,38.19181807327515,4.53,19.3,0.3014828173658326
