Country,Our World In Data Name
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Pakistan,Pakistan
Afghanistan,Afghanistan
Malawi,Malawi
Nigeria3,Nigeria
Iran,Iran
Total (Type1),World
Angola,Angola
Angola,Angola
Benin,Benin
Benin,Benin
Benin,Benin
Burkina Faso,Burkina Faso
Burkina Faso,Burkina Faso
Burkina Faso,Burkina Faso
Cameroon,Cameroon
Cameroon,Cameroon
Central African Republic,Central African Republic
Central African Republic,Central African Republic
Chad,Chad
Chad,Chad
China,China
Congo,Congo
Congo,Congo
Côte d'Ivoire,Cote d'Ivoire
DR Congo,Democratic Republic of Congo
DR Congo,Democratic Republic of Congo
DR Congo,Democratic Republic of Congo
DR Congo,Democratic Republic of Congo
DR Congo,Democratic Republic of Congo
Ethiopia,Ethiopia
Ethiopia,Ethiopia
Ethiopia,Ethiopia
Ghana,Ghana
Ghana,Ghana
Guinea,Guinea
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Indonesia,Indonesia
Laos,Laos
Liberia,Liberia
Madagascar,Madagascar
Madagascar,Madagascar
Malaysia,Malaysia
Malaysia,Malaysia
Mali,Mali
Mozambique,Mozambique
Mozambique,Mozambique
Myanmar,Myanmar
Niger,Niger
Niger,Niger
Niger,Niger
Niger,Niger
Nigeria,Nigeria
Nigeria,Nigeria
Nigeria,Nigeria
Nigeria,Nigeria
Nigeria,Nigeria
PNG,Papua New Guinea
Philippines,Philippines
Philippines,Philippines
Senegal,Senegal
Sierra Leone,Sierra Leone
Sierra Leone,Sierra Leone
Somalia,Somalia
Somalia,Somalia
Somalia,Somalia
Somalia,Somalia
South Sudan,South Sudan
South Sudan,South Sudan
Sudan,Sudan
Syria,Syria
Tajikistan,Tajikistan
Tajikistan,Tajikistan
Togo,Togo
Togo,Togo
Total,World
Total type 1,World
Total type 1,World
Total type 1,World
Total type 1,World
Total type 1,World
Total type 1,World
Total type 2,World
Total type 2,World
Total type 2,World
Total type 2,World
Total type 2,World
Total type 2,World
Total type 3,World
Total type 3,World
Total type 3,World
Total type 3,World
Total type 3,World
Total type 3,World
Ukraine,Ukraine
Yemen,Yemen
Yemen,Yemen
Yemen,Yemen
Zambia,Zambia
Israel4,Israel
