Entity,Year,welfare_type,reporting_level,headcount_190,headcount_ratio_190,poverty_gap_index_190,total_shortfall_190,avg_shortfall_190,income_gap_ratio_190,headcount_above_190,headcount_ratio_above_190,poverty_severity_190,watts_190,headcount_stacked_below_190,headcount_stacked_between_190_1000,headcount_ratio_stacked_below_190,headcount_ratio_stacked_between_190_1000,headcount_320,headcount_ratio_320,poverty_gap_index_320,total_shortfall_320,avg_shortfall_320,income_gap_ratio_320,headcount_above_320,headcount_ratio_above_320,poverty_severity_320,watts_320,headcount_stacked_below_320,headcount_ratio_stacked_below_320,headcount_550,headcount_ratio_550,poverty_gap_index_550,total_shortfall_550,avg_shortfall_550,income_gap_ratio_550,headcount_above_550,headcount_ratio_above_550,poverty_severity_550,watts_550,headcount_stacked_below_550,headcount_ratio_stacked_below_550,headcount_2170,headcount_ratio_2170,poverty_gap_index_2170,total_shortfall_2170,avg_shortfall_2170,income_gap_ratio_2170,headcount_above_2170,headcount_ratio_above_2170,poverty_severity_2170,watts_2170,headcount_215,headcount_ratio_215,poverty_gap_index_215,total_shortfall_215,avg_shortfall_215,income_gap_ratio_215,headcount_above_215,headcount_ratio_above_215,poverty_severity_215,watts_215,headcount_stacked_below_215,headcount_stacked_between_215_1000,headcount_ratio_stacked_below_215,headcount_ratio_stacked_between_215_1000,headcount_365,headcount_ratio_365,poverty_gap_index_365,total_shortfall_365,avg_shortfall_365,income_gap_ratio_365,headcount_above_365,headcount_ratio_above_365,poverty_severity_365,watts_365,headcount_stacked_below_365,headcount_ratio_stacked_below_365,headcount_685,headcount_ratio_685,poverty_gap_index_685,total_shortfall_685,avg_shortfall_685,income_gap_ratio_685,headcount_above_685,headcount_ratio_above_685,poverty_severity_685,watts_685,headcount_stacked_below_685,headcount_ratio_stacked_below_685,headcount_2435,headcount_ratio_2435,poverty_gap_index_2435,total_shortfall_2435,avg_shortfall_2435,income_gap_ratio_2435,headcount_above_2435,headcount_ratio_above_2435,poverty_severity_2435,watts_2435
Albania,1996,consumption,national,29167.0,0.92066900711367,0.14005071250154,8430.020298689435,0.2890259642297608,15.21189285419794,3138866.0,99.07933408521944,0.0004111227628392,0.0016976386002076,27348.0,2700892.0,0.86324858358483,85.25453873208629,354001.0,11.17414933675462,2.09483180202124,212367.8809040882,0.5999075734364824,18.747111669890074,2814032.0,88.82584240757593,0.0061194884469202,0.025211432214416,324834.0,10.25349167764351,1413526.0,44.61841668638992,12.842785473104351,2237750.250489336,1.583098047357697,28.783600861049035,1754507.0,55.381588512493394,0.0508801730134002,0.1674287143472967,1059525.0,33.44425389508253,3161043.0,99.77936845025287,69.81367157207414,47994327.33995393,15.183066899107011,69.96805022629961,6990.0,0.2206416410435118,0.5102745690508513,1.3144742733683226,16944.0,0.53484603570828,0.0982145762396329,6689.660900075718,0.3948100153491335,18.363256527866675,3151089.0,99.46515708643189,0.0003047592003545,0.0012031243989953,15125.0,2378846.0,0.4774255823724058,75.08903684571072,281906.0,8.89844295896261,1.6092782360727802,186085.99936920303,0.6600994635417587,18.084916809363254,2886127.0,91.1015447124446,0.0046288882838634,0.019306977996198,264962.0,8.363612373987266,1516827.0,47.87914293997184,13.85002062837343,3005596.584493692,1.981502560604269,28.927044680354296,1651206.0,52.12085858954121,0.0558583285792639,0.1816484870551235,1234921.0,38.98068612290339,3156377.0,99.63207914995569,67.54333249600218,52104009.77852432,16.507536893889522,67.79275931782144,11656.0,0.367925460372414,0.4823853871454335,1.241493935300598
Albania,2002,consumption,national,47927.0,1.57084335862702,0.26176108533902,15174.078090623863,0.3166081350934518,16.663586057550095,3003083.0,98.42914313620736,0.0007940741902868,0.0032506352866232,46512.0,2555754.0,1.524478779158377,83.7674736667379,431172.0,14.13211815688005,2.85591770662758,278829.87142713,0.6466789852474882,20.20871828898401,2619838.0,85.86789292726014,0.0090339502278788,0.0351078426280714,383245.0,12.5612502089472,1515426.0,49.66963515999645,15.095425572357598,2533096.190653532,1.67154066952364,30.391648536793458,1535584.0,50.33034962192847,0.062276086034173,0.2000353493248629,1084254.0,35.537543305331674,3006339.0,98.53587178645016,69.62661955280495,46097638.21723135,15.333479763004554,70.66119706453712,44671.0,1.4641381050865123,0.5178251739716143,1.3417573274904886,33337.0,1.09264739043891,0.1894349547124799,12426.310735312456,0.3727483197442018,17.33713115089311,3017673.0,98.90734543642924,0.0005942301138746,0.0023828403532205,31922.0,2306942.0,1.0462764789364831,75.61239628330526,347459.0,11.38832417828243,2.2738414031346,253219.2193672859,0.7287743859485174,19.96642153283609,2703551.0,88.61167285587396,0.0070404789439638,0.0278356133715377,314122.0,10.29567258055529,1589301.0,52.09096563041099,16.18885547432353,3383376.6559390347,2.128845735288051,31.078039931212427,1461709.0,47.90902029164113,0.0679524931107264,0.2158312967209831,1241842.0,40.70265256423283,2992432.0,98.08006084701104,67.45074063549627,50110567.29936539,16.745766419877004,68.77111466068584,58578.0,1.9199543757640911,0.4913520118181356,1.2698255496136654
Albania,2005,consumption,national,25915.0,0.86052711252553,0.13132548830934,7514.215015432358,0.2899562035667512,15.260852819302698,2985572.0,99.13946166794013,0.0003348322536595,0.0015296080676344,25083.0,2382887.0,0.8329107846057446,79.12660005223742,262472.0,8.71568477109178,1.76158141801253,169759.3452731616,0.6467712566413241,20.211601770041376,2749015.0,91.28430572670575,0.0053857028454512,0.0213535055360668,236557.0,7.855155941234347,1160785.0,38.5452539039565,10.61300928510168,1757851.672112965,1.514364565456105,27.533901190111003,1850702.0,61.45475640439424,0.0418007086407321,0.1383207976696121,898313.0,29.82954932231154,2956121.0,98.16150923416646,65.7579336013731,42972328.19466542,14.536728433871758,66.98953195332608,55366.0,1.8384937407998108,0.4684751107732509,1.209951447360439,17800.0,0.59108568413212,0.0897233979817196,5809.318202282161,0.3263661911394472,15.179822843695224,2993687.0,99.40892987417844,0.0002285120443859,0.0010423962935253,17800.0,2043656.0,0.5910701258215626,67.86200258605429,219516.0,7.28930426002602,1.40022600966173,153911.82851827337,0.7011417323487735,19.209362530103384,2791971.0,92.71071068877268,0.0041337625504073,0.016844726562507,201716.0,6.698219185405748,1217497.0,40.42842689312635,11.499375585414,2372170.075726028,1.9483991136947592,28.44378268167532,1793990.0,59.57156713610253,0.045947151097908,0.1506208875044797,997981.0,33.13914355267016,2940327.0,97.6370420156241,63.31642950197664,46429753.15474925,15.7906767358696,64.8487750959737,71160.0,2.362952255812494,0.440523488422095,1.138291414785798
Albania,2008,consumption,national,9244.0,0.31364958127441,0.0512411155086449,2869.4494851706822,0.310412103545076,16.33747913395137,2938070.0,99.68635849454792,0.0001311189191855,0.0005940981344543,9244.0,2226324.0,0.3136415054520828,75.5373713938744,154750.0,5.25054159180846,0.75103738583368,70833.37605731223,0.4577277935852163,14.303993549538008,2792564.0,94.74945662389553,0.0019553682008885,0.0088527204273416,145506.0,4.936901870652397,916920.0,31.11034495362427,7.39490576473968,1198731.010900388,1.307345254657318,23.769913721042144,2030394.0,68.8896398551359,0.0257847173424402,0.0926869538088026,762170.0,25.859816768759625,2889577.0,98.04102828818957,62.97345261771458,40275750.86069032,13.93828607463664,64.23173306284166,57737.0,1.9589700995550523,0.4338025854638662,1.115970963383388,5892.0,0.19992514622249,0.0396411156763226,2511.9485269815746,0.4263320650002672,19.82939837210545,2941422.0,99.8000891659321,8.690319991289111e-05,0.0004489728867702,5892.0,1844104.0,0.1999108340679004,62.56894750359601,115022.0,3.90261276643235,0.52658326790691,56648.22767487421,0.4924990669165395,13.493125121001082,2832292.0,96.09739579834384,0.0014253258524111,0.0062480101993258,109130.0,3.7026933675882514,985342.0,33.43185104991724,8.15900106469006,1647228.9573823502,1.6717332229645647,24.40486456882576,1961972.0,66.56813627594481,0.0289185280662151,0.1027444007090483,870320.0,29.52925952239904,2863154.0,97.14451317947768,60.334758192471625,43300503.773024224,15.123358287058336,62.10824758545518,84160.0,2.8554812958510696,0.4049268810358758,1.0444495158270828
Albania,2012,consumption,national,24646.0,0.84975444767885,0.16910086297433,9318.745929360584,0.3781037867954469,19.900199305023524,2875755.0,99.1502554301974,0.0005788051255221,0.0021162346744502,21417.0,2210688.0,0.7384151363897613,76.22008522946808,179315.0,6.18241386926326,1.27260912909812,118114.45730065012,0.6586981418210976,20.5843169319093,2721086.0,93.81757901752206,0.0043658186048952,0.0160221634698847,154669.0,5.332676412675351,1001477.0,34.52890592661766,8.64555455549084,1379156.6293065106,1.377122619197955,25.038593076326453,1898924.0,65.47108486033483,0.0322009182574755,0.1113712513301175,822162.0,28.34649415718723,2851208.0,98.30392511439256,64.21101967148243,40413582.129562646,14.174196386080093,65.3188773552078,49193.0,1.6960758184816511,0.4476575314378295,1.155038262796585,18003.0,0.62069088717048,0.1308925827158999,8162.281022738251,0.4533844927366689,21.087650824961347,2882398.0,99.3792927253852,0.0004524182948196,0.0016377259352716,17304.0,1869067.0,0.5966071588032138,64.44169666977429,139377.0,4.80544210043541,1.03142671938998,109191.61472460772,0.7834263524441459,21.463735683401257,2761024.0,95.19456102794062,0.0035076160082495,0.0129583244572767,121374.0,4.184731697444595,1063512.0,36.66775174166481,9.47023920847335,1881523.1520289287,1.7691602464560143,25.82715688256955,1836889.0,63.33224267954672,0.0357208941720619,0.1224331113432981,924135.0,31.86231834839389,2837354.0,97.82627210636107,61.63771950143391,43531494.148601696,15.342285153210245,63.00733122468272,63047.0,2.173733907828607,0.4189618899442555,1.083239695753217
Albania,2014,consumption,national,45674.0,1.58089716965821,0.21191932649665,11632.88250331677,0.2546937536304411,13.404934401602167,2843430.0,98.41909463972222,0.0004448606608264,0.0023888527532743,45674.0,2022511.0,1.5809053602777887,70.00478828379343,335587.0,11.61562086400974,2.54683696531046,235458.459642442,0.7016316473595281,21.92598897998525,2553517.0,88.38439183913074,0.0081781511428717,0.0311442962837987,289913.0,10.034702800591464,1069946.0,37.03384185206247,11.73479625717974,1864667.574319166,1.742767928773196,31.686689614058107,1819158.0,62.96616528861543,0.0505214074784115,0.1576568418753934,734359.0,25.41822655051532,2787016.0,96.46643960444808,62.23019630720954,39014323.46861191,13.998600463223717,64.50967955402635,102088.0,3.5335522708770606,0.44058607376804,1.1552648972324102,29558.0,1.02310077401065,0.13870794657464,8615.946190532442,0.2914928679387117,13.557807811102872,2859546.0,98.9769146420482,0.0002672823529056,0.0015452649161822,29558.0,1732165.0,1.023085357951808,59.95506235530849,279549.0,9.67596754489744,2.07459549515344,218770.85823518716,0.7825850145598343,21.44068533040642,2609555.0,90.32402433418804,0.0063833928538266,0.0251122690440841,249991.0,8.652890307860153,1119349.0,38.74382594809586,12.535527257397492,2480826.2729897443,2.2163116891959027,32.35491517074311,1769755.0,61.2561887699439,0.0547922019863436,0.1694359576599094,839800.0,29.067835564244135,2753493.0,95.3061268090749,59.6673857799467,41975816.39257527,15.244569858203842,62.60603637866055,135611.0,4.693877409743644,0.4138965132599765,1.0850201354217943
Albania,2015,consumption,national,7061.0,0.24509790798944,0.0168560024850528,922.5856016072868,0.1306593402644507,6.876807382339513,2873642.0,99.7548862204816,1.638514589459832e-05,0.0001774781344753,7061.0,1784027.0,0.2451137795184022,61.93028236101266,135127.0,4.69076710832596,0.8601724392399699,79292.84243954878,0.5868023595547062,18.33757373608457,2745576.0,95.30923528041592,0.0023029433876493,0.0100852557725467,128066.0,4.445650940065671,704654.0,24.461184845440588,6.18960542530095,980672.8204614398,1.3917083000471715,25.303787273584938,2176049.0,75.53881812876926,0.0228833928134518,0.0789135546631413,569527.0,19.77041715164666,2711383.0,94.1222569710098,55.74146902617451,34844691.89943943,12.851261477791752,59.2224031234643,169320.0,5.877731928629921,0.3698261330498303,0.9659165665082164,3475.0,0.12062105945625,0.0056146910856403,347.7465352712663,0.1000709454018032,4.654462576828059,2877228.0,99.87936972329324,4.126678737323033e-06,5.834093720266266e-05,3475.0,1454702.0,0.1206302767067622,50.49817207793564,106557.0,3.69899795232545,0.66472159696173,69892.5906964343,0.6559174028588859,17.97033980435304,2774146.0,96.30100708056332,0.0016644124494774,0.0076994481095537,103082.0,3.5783626427299167,753428.0,26.15431421895783,6.77684344094611,1337262.0163141692,1.774903529354058,25.9110004285264,2127275.0,73.84568975003671,0.0254125706864356,0.0868007040143265,646871.0,22.45531733052661,2663397.0,92.45648564199968,52.88385696405462,37095443.89682926,13.927868769405862,57.19863971008567,217306.0,7.54350587339271,0.3424404084640822,0.897582302344601
Albania,2016,consumption,national,11802.0,0.41036422288427,0.0302968156103252,1655.597331799768,0.1402810821724934,7.383214851183867,2864299.0,99.58965279731136,3.5936830034337354e-05,0.0003231660614163,11802.0,1708078.0,0.41034720268864,59.38864855719759,157110.0,5.46261218520396,0.92155442906573,84815.475679692,0.5398477224854688,16.870241327670897,2718991.0,94.53739628754346,0.0023630841325868,0.0107575189168057,145308.0,5.052256509767911,687489.0,23.903491131383788,6.30523144261721,997396.535153854,1.4507818090963696,26.377851074479448,2188612.0,76.09649313428145,0.0239786820137526,0.0809762303456677,530379.0,18.440903153262003,2681683.0,93.24021803352232,54.3271172206877,33906309.92792156,12.64366814717532,58.26575183030101,194418.0,6.759776516888663,0.3590391138088311,0.9417973570379334,4006.0,0.1393031662291,0.0105448251315959,652.0516152748801,0.1627687506926809,7.570639567101442,2872095.0,99.8607142099669,1.3631312953909956e-05,0.0001130138553204,4006.0,1384478.0,0.1392857900331038,48.13731889008961,134217.0,4.66663544213151,0.67697589721644,71067.36350604366,0.5294959916109261,14.506739496189756,2741884.0,95.33336972519392,0.0016861486056778,0.0078591498939946,130211.0,4.527344484772962,730927.0,25.413828149790916,6.869282619842091,1353337.4169364162,1.851535675842343,27.02971789550866,2145174.0,74.58618456027796,0.026504642300256,0.0886639402119869,596710.0,20.74718516491597,2630297.0,91.45355441092272,51.43727712939843,36023098.82005558,13.695449152721377,56.24414436435884,245804.0,8.54643143617001,0.3322074380903089,0.8741878783683572
Albania,2017,consumption,national,12312.0,0.42847545582039,0.0625867805278931,3416.968029691427,0.2775315163816949,14.606921914826046,2861145.0,99.57152656190785,0.000110038021375,0.0006894477939024,12312.0,1725567.0,0.4284734380921656,60.05195400248905,123120.0,4.28474272120853,0.90813700979809,83503.76472842849,0.6782307076707967,21.1947096147124,2750337.0,95.71526561907837,0.0028434288988735,0.0110240619834773,110808.0,3.8562609428294894,684705.0,23.82862474843489,6.00894370616453,949654.2745296428,1.386953906470148,25.21734375400269,2188752.0,76.1713851990825,0.0224986769519568,0.077202168252257,561585.0,19.543880419995848,2685633.0,93.4634659097802,54.54065280587358,34008287.86794473,12.66304363550222,58.35503979494111,187824.0,6.536516815807579,0.359644394661281,0.9424803228952812,11280.0,0.39256993441453,0.0388034422363756,2397.250488441496,0.2125222064221184,9.884753787075278,2862177.0,99.60744148946722,5.487423127130845e-05,0.0004188180835982,11280.0,1387245.0,0.3925585105327833,48.27790126315586,104211.0,3.62668251338197,0.73613355148795,77206.55588571372,0.7408676232423997,20.297743102531506,2769246.0,96.37332314351669,0.0021965141284498,0.0088379175030978,92931.0,3.23411834595054,733910.0,25.54099595095911,6.575066933315391,1294182.2891927494,1.7634073513002269,25.743173011682146,2139547.0,74.45898790202881,0.0249353830441242,0.0848185579213911,629699.0,21.914335241487866,2639525.0,91.8588677276616,51.64581281756016,36135892.44497849,13.690301264423898,56.22300313931785,233932.0,8.141134528896727,0.3325725332249902,0.8746650582261802
Albania,2018,consumption,national,3462.0,0.12077232969948,0.0092047127421142,501.2991861269215,0.1448004581533568,7.62107674491352,2862914.0,99.8792203116409,1.455619524695682e-05,0.0001002987818448,3462.0,1508462.0,0.1207796883590987,52.62612478270751,95294.0,3.3245385958051896,0.60721077117409,55695.82020591691,0.584463032362131,18.264469761316597,2771082.0,96.67545360413288,0.0016510829805184,0.0071402467477844,91832.0,3.203766707508017,483320.0,16.8617069302114,4.21673287379659,664770.8049323866,1.3754258150550085,25.00774209190924,2383056.0,83.1382903010631,0.0156955528041375,0.0539021651041996,388026.0,13.5371633030698,2674154.0,93.29391475615996,50.92383301460869,31674807.053494792,11.844795420718023,54.58431069455312,192222.0,6.706098571855193,0.3182569862023552,0.8434594531716196,1379.0,0.0481070476188822,0.0056359318250565,347.3260440010338,0.2518680522124973,11.714793126162666,2864997.0,99.9518904707547,6.735124509270868e-06,6.0027129693794014e-05,1379.0,1127174.0,0.0481095292452909,39.32400696914432,78263.0,2.73037480604288,0.46652860434487,48809.49341047853,0.6236598828370817,17.086572132522786,2788113.0,97.26961850085264,0.0012043958370684,0.0054294510183065,76884.0,2.6822719699020645,520561.0,18.160960066163888,4.622140722158711,907542.33657136,1.7433928714816511,25.450990824549656,2345815.0,81.83905391337353,0.0174132647392233,0.0593293719645207,442298.0,15.430564587479104,2614475.0,91.21185568137112,47.77686296221625,33346461.390770186,12.754553549286255,52.38009671164787,251901.0,8.788135262087039,0.2905594921788815,0.7758639283656771
