year,count,var
1981-1984,24,studyno
1989-1993,43,studyno
1994-1998,55,studyno
1999-2004,71,studyno
2005-2010,82,studyno
2010-2014,60,studyno
2017-2022,90,studyno
1981-1984,24,version
1989-1993,43,version
1994-1998,55,version
1999-2004,71,version
2005-2010,82,version
2010-2014,60,version
2017-2022,90,version
1981-1984,24,doi
1989-1993,43,doi
1994-1998,55,doi
1999-2004,71,doi
2005-2010,82,doi
2010-2014,60,doi
2017-2022,90,doi
1981-1984,24,stdyno_w
1989-1993,43,stdyno_w
1994-1998,55,stdyno_w
1999-2004,71,stdyno_w
2005-2010,82,stdyno_w
2010-2014,60,stdyno_w
2017-2022,90,stdyno_w
1981-1984,24,versn_w
1989-1993,43,versn_w
1994-1998,55,versn_w
1999-2004,71,versn_w
2005-2010,82,versn_w
2010-2014,60,versn_w
2017-2022,90,versn_w
1981-1984,24,S001
1989-1993,43,S001
1994-1998,55,S001
1999-2004,71,S001
2005-2010,82,S001
2010-2014,60,S001
2017-2022,90,S001
1981-1984,8,S002
1989-1993,18,S002
1994-1998,55,S002
1999-2004,40,S002
2005-2010,58,S002
2010-2014,60,S002
2017-2022,64,S002
1981-1984,16,S002EVS
1989-1993,29,S002EVS
1999-2004,33,S002EVS
2005-2010,46,S002EVS
2017-2022,36,S002EVS
1981-1984,8,S002VS
1989-1993,18,S002VS
1994-1998,55,S002VS
1999-2004,40,S002VS
2005-2010,58,S002VS
2010-2014,60,S002VS
2017-2022,64,S002VS
1981-1984,24,country
1989-1993,43,country
1994-1998,55,country
1999-2004,71,country
2005-2010,82,country
2010-2014,60,country
2017-2022,90,country
1981-1984,24,COW_NUM
1989-1993,43,COW_NUM
1994-1998,55,COW_NUM
1999-2004,71,COW_NUM
2005-2010,82,COW_NUM
2010-2014,60,COW_NUM
2017-2022,90,COW_NUM
1981-1984,8,COW_ALPHA
1989-1993,18,COW_ALPHA
1994-1998,55,COW_ALPHA
1999-2004,40,COW_ALPHA
2005-2010,58,COW_ALPHA
2010-2014,60,COW_ALPHA
2017-2022,64,COW_ALPHA
1994-1998,53,S004
1981-1984,24,S006
1989-1993,43,S006
1994-1998,55,S006
1999-2004,71,S006
2005-2010,82,S006
2010-2014,60,S006
2017-2022,90,S006
1981-1984,24,S007
1989-1993,43,S007
1994-1998,55,S007
1999-2004,71,S007
2005-2010,82,S007
2010-2014,60,S007
2017-2022,90,S007
1981-1984,24,S007_01
1989-1993,43,S007_01
1994-1998,55,S007_01
1999-2004,71,S007_01
2005-2010,82,S007_01
2010-2014,60,S007_01
2017-2022,90,S007_01
1999-2004,19,S008
2005-2010,42,S008
2017-2022,70,S008
1981-1984,24,S009
1989-1993,43,S009
1994-1998,55,S009
1999-2004,71,S009
2005-2010,82,S009
2010-2014,60,S009
2017-2022,90,S009
1981-1984,24,mode
1989-1993,43,mode
1994-1998,55,mode
1999-2004,71,mode
2005-2010,82,mode
2010-2014,60,mode
2017-2022,90,mode
1989-1993,30,S010
1994-1998,40,S010
1999-2004,50,S010
2005-2010,44,S010
2017-2022,81,S010
2005-2010,44,S011A
2017-2022,82,S011A
1989-1993,8,S011B
1994-1998,17,S011B
1999-2004,21,S011B
2005-2010,43,S011B
2017-2022,81,S011B
1999-2004,23,S012
2005-2010,48,S012
2010-2014,34,S012
2017-2022,88,S012
1989-1993,37,S013
1994-1998,51,S013
1999-2004,54,S013
2005-2010,78,S013
2010-2014,56,S013
2017-2022,87,S013
2010-2014,53,S013B
2017-2022,60,S013B
1989-1993,5,S016
1994-1998,21,S016
1999-2004,38,S016
2005-2010,78,S016
2010-2014,60,S016
2017-2022,90,S016
1981-1984,24,S016a
1989-1993,43,S016a
1994-1998,55,S016a
1999-2004,71,S016a
2005-2010,82,S016a
2010-2014,60,S016a
2017-2022,90,S016a
1981-1984,24,S017
1989-1993,43,S017
1994-1998,55,S017
1999-2004,71,S017
2005-2010,82,S017
2010-2014,60,S017
2017-2022,90,S017
1981-1984,24,S018
1989-1993,43,S018
1994-1998,55,S018
1999-2004,71,S018
2005-2010,82,S018
2010-2014,60,S018
2017-2022,90,S018
1981-1984,8,S019
1989-1993,18,S019
1994-1998,55,S019
1999-2004,40,S019
2005-2010,58,S019
2010-2014,60,S019
2017-2022,64,S019
1981-1984,24,pwght
1989-1993,43,pwght
1994-1998,55,pwght
1999-2004,71,pwght
2005-2010,82,pwght
2010-2014,60,pwght
2017-2022,90,pwght
1981-1984,24,S020
1989-1993,43,S020
1994-1998,55,S020
1999-2004,71,S020
2005-2010,82,S020
2010-2014,60,S020
2017-2022,90,S020
1981-1984,24,S021
1989-1993,43,S021
1994-1998,55,S021
1999-2004,71,S021
2005-2010,82,S021
2010-2014,60,S021
2017-2022,90,S021
1981-1984,20,S022
1989-1993,40,S022
1994-1998,55,S022
1999-2004,71,S022
2005-2010,82,S022
2010-2014,60,S022
2017-2022,90,S022
1981-1984,20,S023
1989-1993,41,S023
1994-1998,55,S023
1999-2004,71,S023
2005-2010,82,S023
2010-2014,60,S023
2017-2022,90,S023
1981-1984,24,S024
1989-1993,43,S024
1994-1998,55,S024
1999-2004,71,S024
2005-2010,82,S024
2010-2014,60,S024
2017-2022,90,S024
1981-1984,24,S025
1989-1993,43,S025
1994-1998,55,S025
1999-2004,71,S025
2005-2010,82,S025
2010-2014,60,S025
2017-2022,90,S025
1981-1984,16,S036
1989-1993,29,S036
1999-2004,33,S036
2005-2010,46,S036
2017-2022,36,S036
2017-2022,2,mm_fw_end_fu_EVS5
2017-2022,2,mm_fw_start_fu_EVS5
2017-2022,7,mm_matrix_group_EVS5
2017-2022,36,mm_mixed_mode_EVS5
2017-2022,3,mm_mode_fu_EVS5
2017-2022,2,mm_v277_fu_EVS5
2017-2022,2,mm_v278a_fu_r_EVS5
2017-2022,2,mm_v279a_fu_r_EVS5
2017-2022,2,mm_year_fu_EVS5
1989-1993,43,A001
1994-1998,54,A001
1999-2004,70,A001
2005-2010,81,A001
2010-2014,60,A001
2017-2022,90,A001
1989-1993,43,A002
1994-1998,54,A002
1999-2004,70,A002
2005-2010,81,A002
2010-2014,60,A002
2017-2022,90,A002
1989-1993,43,A003
1994-1998,54,A003
1999-2004,70,A003
2005-2010,81,A003
2010-2014,60,A003
2017-2022,90,A003
1989-1993,43,A004
1994-1998,54,A004
1999-2004,70,A004
2005-2010,81,A004
2010-2014,60,A004
2017-2022,90,A004
1989-1993,43,A005
1994-1998,54,A005
1999-2004,70,A005
2005-2010,81,A005
2010-2014,60,A005
2017-2022,90,A005
1989-1993,43,A006
1994-1998,54,A006
1999-2004,70,A006
2005-2010,81,A006
2010-2014,60,A006
2017-2022,90,A006
1999-2004,38,A007
1981-1984,23,A008
1989-1993,43,A008
1994-1998,55,A008
1999-2004,70,A008
2005-2010,82,A008
2010-2014,60,A008
2017-2022,90,A008
1981-1984,24,A009
1989-1993,41,A009
1994-1998,54,A009
1999-2004,37,A009
2005-2010,82,A009
2010-2014,60,A009
2017-2022,90,A009
1981-1984,16,A010
1989-1993,40,A010
1981-1984,16,A011
1989-1993,39,A011
1981-1984,16,A012
1989-1993,40,A012
1981-1984,16,A013
1989-1993,40,A013
1981-1984,16,A014
1989-1993,40,A014
1981-1984,16,A015
1989-1993,40,A015
1981-1984,16,A016
1989-1993,40,A016
1981-1984,16,A017
1989-1993,40,A017
1981-1984,16,A018
1989-1993,40,A018
1981-1984,16,A019
1989-1993,39,A019
1981-1984,23,A025
1989-1993,43,A025
1994-1998,54,A025
1999-2004,69,A025
2005-2010,46,A025
1981-1984,23,A026
1989-1993,43,A026
1994-1998,54,A026
1999-2004,69,A026
2005-2010,46,A026
1981-1984,23,A027
1989-1993,43,A027
1994-1998,54,A027
1999-2004,43,A027
2005-2010,46,A027
2017-2022,90,A027
1981-1984,23,A029
1989-1993,43,A029
1994-1998,55,A029
1999-2004,70,A029
2005-2010,82,A029
2010-2014,60,A029
2017-2022,90,A029
1981-1984,23,A030
1989-1993,43,A030
1994-1998,55,A030
1999-2004,69,A030
2005-2010,82,A030
2010-2014,60,A030
2017-2022,90,A030
1981-1984,23,A032
1989-1993,43,A032
1994-1998,55,A032
1999-2004,70,A032
2005-2010,82,A032
2010-2014,60,A032
2017-2022,90,A032
1981-1984,23,A034
1989-1993,43,A034
1994-1998,54,A034
1999-2004,69,A034
2005-2010,82,A034
2010-2014,60,A034
2017-2022,90,A034
1981-1984,23,A035
1989-1993,43,A035
1994-1998,55,A035
1999-2004,70,A035
2005-2010,82,A035
2010-2014,60,A035
2017-2022,90,A035
1981-1984,23,A038
1989-1993,43,A038
1994-1998,55,A038
1999-2004,70,A038
2005-2010,82,A038
2010-2014,60,A038
2017-2022,90,A038
1981-1984,23,A039
1989-1993,42,A039
1994-1998,54,A039
1999-2004,69,A039
2005-2010,82,A039
2010-2014,60,A039
2017-2022,90,A039
1981-1984,23,A040
1989-1993,43,A040
1994-1998,54,A040
1999-2004,69,A040
2005-2010,82,A040
2010-2014,60,A040
2017-2022,90,A040
1981-1984,23,A041
1989-1993,43,A041
1994-1998,54,A041
1999-2004,69,A041
2005-2010,82,A041
2010-2014,60,A041
2017-2022,90,A041
1981-1984,23,A042
1989-1993,43,A042
1994-1998,55,A042
1999-2004,70,A042
2005-2010,82,A042
2010-2014,60,A042
2017-2022,90,A042
2017-2022,35,A043_01
1981-1984,16,A046
1989-1993,39,A046
1981-1984,16,A047
1989-1993,39,A047
1981-1984,16,A048
1989-1993,39,A048
1999-2004,33,A048
2005-2010,46,A048
1981-1984,16,A049
1989-1993,39,A049
1999-2004,33,A049
2005-2010,46,A049
1999-2004,69,A058
1999-2004,69,A059
1999-2004,68,A060
1999-2004,69,A061
1981-1984,24,A062
1989-1993,43,A062
1994-1998,55,A062
1999-2004,71,A062
2005-2010,46,A062
2017-2022,64,A062
1981-1984,16,A063
1989-1993,39,A063
1981-1984,16,A064
1989-1993,38,A064
1999-2004,62,A064
2005-2010,46,A064
1981-1984,16,A065
1989-1993,39,A065
1999-2004,62,A065
2005-2010,46,A065
2017-2022,90,A065
1981-1984,16,A066
1989-1993,39,A066
1999-2004,62,A066
2005-2010,46,A066
2017-2022,90,A066
1981-1984,16,A067
1989-1993,39,A067
1999-2004,61,A067
2005-2010,46,A067
2017-2022,90,A067
1981-1984,16,A068
1989-1993,39,A068
1999-2004,62,A068
2005-2010,46,A068
2017-2022,90,A068
1989-1993,38,A069
1999-2004,62,A069
2005-2010,46,A069
1981-1984,16,A070
1989-1993,38,A070
1999-2004,62,A070
2005-2010,46,A070
1981-1984,16,A071
1999-2004,62,A071
2005-2010,46,A071
2017-2022,90,A071
1989-1993,39,A071B
1989-1993,37,A071C
1981-1984,16,A072
1989-1993,39,A072
1999-2004,62,A072
2005-2010,46,A072
2017-2022,90,A072
1981-1984,16,A073
1989-1993,38,A073
1999-2004,62,A073
2005-2010,46,A073
1989-1993,38,A074
1999-2004,62,A074
2005-2010,46,A074
2017-2022,90,A074
1989-1993,37,A075
1999-2004,62,A075
2005-2010,46,A075
2017-2022,64,A075
1989-1993,37,A076
1999-2004,61,A076
2005-2010,46,A076
1989-1993,37,A077
1999-2004,61,A077
2005-2010,46,A077
1981-1984,16,A078
2017-2022,90,A078
1989-1993,38,A079
1999-2004,60,A079
2005-2010,46,A079
2017-2022,90,A079
1981-1984,15,A080
1989-1993,36,A080
1999-2004,33,A080
2005-2010,45,A080
2017-2022,36,A080
2017-2022,90,A080_01
2017-2022,90,A080_02
1981-1984,16,A081
1989-1993,37,A081
1999-2004,60,A081
2005-2010,46,A081
1981-1984,16,A082
1989-1993,38,A082
1999-2004,60,A082
2005-2010,46,A082
1981-1984,16,A083
1989-1993,38,A083
1999-2004,60,A083
2005-2010,46,A083
1981-1984,16,A084
1989-1993,38,A084
1999-2004,59,A084
2005-2010,46,A084
1981-1984,16,A085
1989-1993,38,A085
1999-2004,60,A085
2005-2010,46,A085
1989-1993,37,A086
1999-2004,60,A086
2005-2010,46,A086
1981-1984,16,A087
1989-1993,37,A087
1999-2004,60,A087
2005-2010,46,A087
1981-1984,16,A088
1999-2004,60,A088
2005-2010,46,A088
1989-1993,38,A088B
1989-1993,37,A088C
1981-1984,16,A089
