year,decile,avg,pop,share
1990,1.0,0.79282606,529312500.0,0.6876371
1990,2.0,1.2424833,529086560.0,1.0771756
1990,3.0,1.6051751,529310400.0,1.3922014
1990,4.0,2.0190766,529647500.0,1.7523018
1990,5.0,2.5704277,528326080.0,2.225239
1990,6.0,3.4798841,530251000.0,3.0235386
1990,7.0,5.4525094,529343140.0,4.7293663
1990,8.0,10.56236,529434800.0,9.163105
1990,9.0,23.139095,529336030.0,20.069984
1990,10.0,64.42317,529347420.0,55.879448
1991,1.0,0.79731214,537110200.0,0.695001
1991,2.0,1.2604909,538647500.0,1.1018895
1991,3.0,1.6267176,538624060.0,1.4219737
1991,4.0,2.042295,538275600.0,1.7840903
1991,5.0,2.5959444,538474600.0,2.2685812
1991,6.0,3.4907877,537477570.0,3.044931
1991,7.0,5.371238,539140740.0,4.6997013
1991,8.0,10.267994,538276000.0,8.969831
1991,9.0,22.84757,538235400.0,19.95749
1991,10.0,64.16939,538275300.0,56.056507
1992,1.0,0.80581146,546984400.0,0.70737803
1992,2.0,1.2860191,546634600.0,1.1282043
1992,3.0,1.6576539,547188400.0,1.4557071
1992,4.0,2.0782328,547228700.0,1.8251826
1992,5.0,2.6410146,547037800.0,2.3186297
1992,6.0,3.5320053,547017400.0,3.1007426
1992,7.0,5.321047,547010940.0,4.6712847
1992,8.0,9.885914,547024400.0,8.678942
1992,9.0,22.484211,547016450.0,19.738823
1992,10.0,64.215485,547021440.0,56.375103
1993,1.0,0.813495,555087360.0,0.7151877
1993,2.0,1.3058279,555411200.0,1.1486942
1993,3.0,1.6786972,556107650.0,1.4785469
1993,4.0,2.1013196,555627600.0,1.8491824
1993,5.0,2.6683168,555737100.0,2.3486085
1993,6.0,3.5510745,555995970.0,3.1270533
1993,7.0,5.234176,555594400.0,4.6058526
1993,8.0,9.448919,555737400.0,8.316788
1993,9.0,21.913162,555657200.0,19.284832
1993,10.0,64.90965,555667500.0,57.12525
1994,1.0,0.8453702,563343700.0,0.73283416
1994,2.0,1.3707515,564401400.0,1.1905077
1994,3.0,1.7616893,564866750.0,1.5313015
1994,4.0,2.1941326,563311000.0,1.9019384
1994,5.0,2.7643821,565079040.0,2.4037683
1994,6.0,3.6414902,563974100.0,3.1602662
1994,7.0,5.269975,564395700.0,4.5769653
1994,8.0,9.419028,564255800.0,8.178384
1994,9.0,22.142906,564213700.0,19.224878
1994,10.0,65.76693,564204800.0,57.09916
1995,1.0,0.87333983,572005250.0,0.74216926
1995,2.0,1.4169234,572604200.0,1.2053705
1995,3.0,1.8256308,573396700.0,1.5552056
1995,4.0,2.2750726,572682700.0,1.9356598
1995,5.0,2.862461,572485200.0,2.434577
1995,6.0,3.767297,572793700.0,3.205884
1995,7.0,5.4678407,572737700.0,4.6525526
1995,8.0,9.747771,572680900.0,8.293497
1995,9.0,22.552473,572596740.0,19.185041
1995,10.0,66.73979,572753340.0,56.790043
1996,1.0,0.89694566,580826800.0,0.7614378
1996,2.0,1.4581475,580892160.0,1.2379942
1996,3.0,1.8840513,581754600.0,1.6019695
1996,4.0,2.3499253,580077300.0,1.9923315
1996,5.0,2.9524624,582224200.0,2.5124435
1996,6.0,3.8657222,581137660.0,3.2834568
1996,7.0,5.527888,581172300.0,4.6955423
1996,8.0,9.673184,581125400.0,8.21601
1996,9.0,22.63802,581204860.0,19.230444
1996,10.0,66.47896,581164900.0,56.46837
1997,1.0,0.89437807,589217150.0,0.7497667
1997,2.0,1.4579846,589140350.0,1.2220849
1997,3.0,1.8889291,590413300.0,1.5867243
1997,4.0,2.366323,589300400.0,1.9839942
1997,5.0,2.9890199,589859200.0,2.5084577
1997,6.0,3.9368973,589699840.0,3.303047
1997,7.0,5.6561327,589556030.0,4.7443237
1997,8.0,9.840088,589640700.0,8.254981
1997,9.0,22.849852,589622850.0,19.168465
1997,10.0,67.326935,589606100.0,56.47815
1998,1.0,0.88416344,597320400.0,0.7304406
1998,2.0,1.4383706,597712450.0,1.189072
1998,3.0,1.8695819,598791000.0,1.5483345
1998,4.0,2.3523033,597117630.0,1.9426664
1998,5.0,2.984523,597934700.0,2.4681625
1998,6.0,3.9509099,598660160.0,3.2713163
1998,7.0,5.693272,597985900.0,4.708667
1998,8.0,9.875166,598241400.0,8.170825
1998,9.0,23.016735,597950000.0,19.035034
1998,10.0,68.83786,598013000.0,56.935482
1999,1.0,0.90171856,605077800.0,0.7396108
1999,2.0,1.4788636,607090700.0,1.2170339
1999,3.0,1.9146415,606443970.0,1.5739799
1999,4.0,2.3964207,606267460.0,1.9694653
1999,5.0,3.02136,606243900.0,2.4829664
1999,6.0,3.9570744,606222400.0,3.2518253
1999,7.0,5.6073675,606238600.0,4.6081176
1999,8.0,9.548112,606186200.0,7.8459315
1999,9.0,22.84074,606227200.0,18.7701
1999,10.0,70.01247,606290600.0,57.54097
2000,1.0,0.9131873,614398140.0,0.7352185
2000,2.0,1.5058808,614405800.0,1.2124186
2000,3.0,1.9530659,614031740.0,1.5715
2000,4.0,2.4515283,614280060.0,1.9733766
2000,5.0,3.1076107,614279900.0,2.5014944
2000,6.0,4.1004977,615056100.0,3.3048973
2000,7.0,5.8365273,614500540.0,4.699844
2000,8.0,9.90494,614484700.0,7.9757133
2000,9.0,23.452332,614208500.0,18.875937
2000,10.0,70.95129,614676100.0,57.1496
2001,1.0,0.9350348,622335700.0,0.74338466
2001,2.0,1.5378518,622930560.0,1.2238134
2001,3.0,1.9945192,621371400.0,1.583254
2001,4.0,2.5050192,623884860.0,1.9965334
2001,5.0,3.1868367,622530500.0,2.5344372
2001,6.0,4.2218924,621650370.0,3.3528526
2001,7.0,6.0127344,623725200.0,4.7910028
2001,8.0,10.131621,622639300.0,8.058915
2001,9.0,23.684235,622644500.0,18.839117
2001,10.0,71.50545,622635840.0,56.87669
2002,1.0,0.9700026,630754900.0,0.7599477
2002,2.0,1.5883642,630850500.0,1.2445912
2002,3.0,2.0634375,630060600.0,1.6148189
2002,4.0,2.5960653,631528500.0,2.0363798
2002,5.0,3.3106215,630873860.0,2.594193
2002,6.0,4.395765,630346800.0,3.4416304
2002,7.0,6.2468877,631275400.0,4.8981576
2002,8.0,10.400596,630768600.0,8.148516
2002,9.0,24.015718,630839800.0,18.817627
2002,10.0,72.035736,630842100.0,56.444145
2003,1.0,1.0130669,638782660.0,0.77945393
