Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines
East Asia,1820,77.53747541038119,91.1132283174603,99.3462184019793,99.950859968751,99.9997433414985,22.46252458961881,8.886771682539703,0.6537815980207,0.0491400312489958,0.00025665850149891867,8.232990084519002,0.6046415667717042,0.04888337274749688
Eastern Europe and former USSR,1820,91.3433998207517,91.95677224037901,96.0398843278206,98.8194166655743,99.9494342209816,8.6566001792483,8.04322775962099,3.9601156721793984,1.1805833344257053,0.05056577901839887,4.083112087441592,2.779532337753693,1.1300175554073064
Latin America and Caribbean,1820,85.444498500459,83.5629913659981,97.1405345924739,99.5184681229094,99.9756182732097,14.555501499540995,16.4370086340019,2.859465407526102,0.4815318770906032,0.024381726790295488,13.577543226475797,2.3779335304354987,0.4571501503003077
Middle East and North Africa,1820,74.71439771014529,81.7916693044357,96.77025832744039,99.3502832552566,99.97358100010891,25.285602289854708,18.2083306955643,3.229741672559612,0.6497167447434009,0.0264189998910922,14.978589023004687,2.5800249278162113,0.6232977448523087
South and South-East Asia,1820,68.7456325657741,68.1552776533791,96.0637805711228,99.6264150304746,99.99794462677801,31.254367434225898,31.844722346620898,3.9362194288771946,0.3735849695253961,0.0020553732219923404,27.908502917743704,3.5626344593517985,0.37152959630340376
Sub-Saharan Africa,1820,91.1687097783477,94.3858208507322,99.812365721501,99.9952047418957,99.9983785738035,8.831290221652296,5.614179149267798,0.18763427849900438,0.0047952581042949305,0.001621426196493303,5.426544870768794,0.18283902039470945,0.0031738319078016275
Western Europe,1820,72.5178210184276,55.7778830170156,87.8797224735882,96.6609590250984,99.7104426302704,27.482178981572403,44.2221169829844,12.120277526411797,3.339040974901593,0.289557369729593,32.101839456572606,8.781236551510204,3.049483605172
Western Offshoots,1820,54.6011140059294,56.1800377324589,84.9717006558261,95.02964693199169,99.5584403916989,45.3988859940706,43.8199622675411,15.028299344173902,4.970353068008308,0.4415596083011053,28.7916629233672,10.057946276165595,4.528793459707202
World,1820,75.6466542576312,79.3632175642386,96.2836771947996,99.2327397240524,99.946296090761,24.353345742368802,20.636782435761404,3.716322805200406,0.7672602759476064,0.05370390923900459,16.920459630560998,2.9490625292527994,0.7135563667086018
East Asia,1821,77.6006894912387,91.3133900891239,99.36422367713679,99.9521580578534,99.9997486258908,22.399310508761303,8.6866099108761,0.6357763228632081,0.04784194214660431,0.0002513741091973998,8.050833588012893,0.5879343807166038,0.04759056803740691
Eastern Europe and former USSR,1821,90.7399136012857,91.8343848878134,96.0159403985895,98.8179931826833,99.9494268572695,9.260086398714293,8.1656151121866,3.984059601410493,1.1820068173167044,0.0505731427304994,4.181555510776107,2.8020527840937888,1.131433674586205
Latin America and Caribbean,1821,85.5975208479394,83.9017035617856,97.2647657472896,99.5586484505225,99.9785558155441,14.402479152060593,16.098296438214405,2.7352342527103986,0.44135154947750266,0.021444184455901905,13.363062185504006,2.293882703232896,0.41990736502160075
Middle East and North Africa,1821,74.5805115065579,81.6836477871112,96.7474536596969,99.3462583758428,99.9734595025937,25.419488493442103,18.316352212888802,3.2525463403030983,0.653741624157206,0.02654049740630171,15.063805872585704,2.5988047161458923,0.6272011267509043
South and South-East Asia,1821,68.7397530466935,68.1605394626443,96.06952416146311,99.6278463341029,99.99797023593831,31.260246953306506,31.839460537355706,3.9304758385368928,0.37215366589710186,0.0020297640616888657,27.908984698818813,3.558322172639791,0.370123901835413
Sub-Saharan Africa,1821,84.5807030484311,89.6291097642499,99.5478461232906,99.98573691354939,99.9984238160811,15.419296951568896,10.370890235750096,0.4521538767094029,0.014263086450611695,0.0015761839188996873,9.918736359040693,0.4378907902587912,0.012686902531712008
Western Europe,1821,71.7348084323326,54.7949229758956,87.4097768760147,96.5011129861838,99.6950473840801,28.2651915676674,45.2050770241044,12.590223123985297,3.4988870138162014,0.30495261591990186,32.6148539001191,9.091336110169095,3.1939343978962995
Western Offshoots,1821,53.6432042534947,55.226736110960495,84.6485465182387,94.948142082886,99.5524809402293,46.3567957465053,44.773263889039505,15.351453481761297,5.051857917114006,0.4475190597706984,29.42181040727821,10.29959556464729,4.604338857343308
World,1821,75.4302007241329,79.2337221030612,96.20854519035909,99.20592580684459,99.94365651238219,24.569799275867098,20.766277896938803,3.7914548096409106,0.7940741931554101,0.056343487617809274,16.974823087297892,2.9973806164855006,0.7377307055376008
East Asia,1822,77.66397632980821,91.51361696694829,99.3822319078816,99.9534562416879,99.9997539087249,22.336023670191793,8.486383033051709,0.6177680921183963,0.04654375831209734,0.00024609127510188955,7.868614940933313,0.571224333806299,0.04629766703699545
Eastern Europe and former USSR,1822,90.1152324149299,91.7048121380376,95.9892448952465,98.81686936499851,99.94941910469059,9.884767585070094,8.295187861962404,4.0107551047535,1.1831306350014898,0.0505808953094089,4.284432757208904,2.82762446975201,1.132549739692081
Latin America and Caribbean,1822,85.586552900428,83.9266837169116,97.2750942450225,99.5633240717346,99.9792874145402,14.413447099571997,16.073316283088403,2.724905754977499,0.4366759282654016,0.0207125854598047,13.348410528110904,2.2882298267120973,0.4159633428055969
Middle East and North Africa,1822,74.44806240102551,81.57568233296931,96.7246526026349,99.3422459593303,99.9733394675538,25.55193759897449,18.424317667030692,3.2753473973650955,0.6577540406697011,0.02666053244620059,15.148970269665597,2.6175933566953944,0.6310935082235005
