"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","Population","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","headcount_ratio_15_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00"
"Argentina -  Urban",1981,"U","income",FALSE,"ARG:1981:U:i","ARG1981",NA,0.3417484,0.3108755,80686,86.6735516573854,0.6692813,0.3877362,158015,68.0358654053545,2.187971,0.7632268,516573,36.0123719281224,8.367782,2.523096,1975605,30.5321228260717,25.73978,8.93431,6077076,34.7372836534461,44.06562,17.56625,10403746,40.0545294168953,59.76645,26.25563,14110660,44.0322536966049,78.97609,41.01884,18645992,51.9276215944046,88.11234,51.80613,20803030,58.7894348851581,12.67032,3.945111,2991420,31.5892784050534,18.96445,6.310258,4477443,33.3679316726846,25.93937,9.01841,6124199,34.927696843849,0.003108755,0.0073669878,0.0244232576,0.13877028,0.893431,2.6349375,5.251126,12.305652,20.722452,0.264322437,0.5281685946,0.906350205,0.866735516573854,1.29268144270174,1.15239590169992,1.67926675543394,3.47372836534461,6.00817941253429,8.80645073932098,15.5782864783214,23.5157739540632
"Argentina -  Urban",1982,"U","income",FALSE,"ARG:1982:U:i","ARG1982",NA,0.5010981,0.4705656,120855,83.9892063523304,0.800426,0.5400155,193047,71.6869495382168,2.307833,0.9173092,556604,40.1530352976527,8.340785,2.636503,2011633,32.0928231013485,25.65384,8.933986,6187200,35.0944801694056,44.07708,17.58966,10630521,40.2109451590649,59.80186,26.31367,14423028,43.9366183600416,78.97971,41.0688,19048346,52.0787166073606,87.87881,51.81264,21194633,59.0839286096163,12.39927,3.989144,2990459,32.3513689672504,18.44984,6.281028,4449737,33.5081546997855,25.72151,8.967428,6203520,35.087229606104,0.004705656,0.0102602945,0.0293538944,0.145007665,0.8933986,2.638449,5.262734,12.32064,20.725056,0.2664748192,0.524465838,0.8985362856,0.839892063523304,1.36205204122612,1.28489712952489,1.76510527057417,3.50944801694056,6.03164177385973,8.78732367200832,15.6236149822082,23.6335714438465
"Argentina -  Urban",1983,"U","income",FALSE,"ARG:1983:U:i","ARG1983",NA,0.6523666,0.6288267,160723,94.0178681460647,0.8894123,0.6798137,219124,90.5164621796212,2.221967,1.004224,547424,50.6011217984198,7.380501,2.476207,1818326,35.0016843161351,23.89531,8.112076,5887061,34.0941476402907,41.47812,16.31011,10218918,39.4195916430257,57.45077,24.71205,14154082,43.255573364146,76.86285,39.2291,18936614,50.9440722869358,86.42625,50.01398,21292738,57.9215379320715,11.845,3.898613,2918239,33.6890963700132,18.21835,6.057272,4488434,33.6623319387661,25.35222,8.664651,6245998,34.537473336157,0.006288267,0.0129164603,0.032135168,0.136191385,0.8112076,2.4465165,4.94241,11.76873,20.005592,0.269004297,0.5227425736,0.8967913785,0.940178681460647,1.7198127814128,1.61923589754943,1.92509263738743,3.40941476402907,5.91293874645385,8.6511146728292,15.2832216860807,23.1686151728286
"Argentina -  Urban",1984,"U","income",FALSE,"ARG:1984:U:i","ARG1984",NA,0.8079924,0.7878608,203322,96.9949484182375,1.001305,0.8263804,251967,90.0733460738028,2.247903,1.127516,565658,50.9769057961958,6.916,2.464159,1740330,37.2836854341881,23.12884,7.735091,5820101,33.8556309434731,40.26179,15.73603,10131406,39.1308380869008,56.41691,24.00928,14196653,42.6771329777015,75.87503,38.41285,19093060,50.4628604321005,85.62174,49.19343,21545705,57.577285129006,11.28471,3.857299,2839665,34.9601091477498,17.72809,5.90701,4461066,33.6764918592319,24.98592,8.490081,6287413,34.2781373509979,0.007878608,0.0157012276,0.036080512,0.135528745,0.7735091,2.3604045,4.801856,11.523855,19.677372,0.2696252001,0.516272674,0.8906094969,0.969949484182375,1.71139357540225,1.63126098547827,2.05060269888035,3.38556309434731,5.86962571303512,8.5354265955403,15.1388581296301,23.0309140516024
"Argentina -  Urban",1985,"U","income",FALSE,"ARG:1985:U:i","ARG1985",NA,0.9664774,0.9480963,248339,93.0087653180032,1.162329,0.9839082,298664,96.3204027989491,2.445732,1.323133,628439,56.0199111794157,7.393454,2.748561,1899772,38.7401460488073,24.60086,8.426363,6321269,34.5621586131525,43.22176,16.89301,11105969,39.3451506972225,58.70275,25.55243,15083859,43.339213349542,77.8344,40.18781,19999797,51.6998669736162,86.37804,50.8526,22195113,58.6120416527838,11.05848,3.936302,2841512,36.4172665139577,17.82179,5.965137,4579366,33.7401961236938,24.91913,8.588058,6403050,34.5188432976859,0.009480963,0.0186942558,0.042340256,0.151170855,0.8426363,2.5339515,5.110486,12.056343,20.34104,0.2653067548,0.5022645354,0.867393858,0.930087653180032,1.83008765318003,1.7926371577413,2.1307080326844,3.45621586131525,5.90177260458338,8.6678426699084,15.5099600920849,23.4448166611135
"Argentina -  Urban",1986,"U","income",TRUE,"ARG:1986:U:i","ARG1986",NA,1.119132,1.106236,293556,93.5390947224155,1.224448,1.121934,321182,96.5995235381134,2.296637,1.396009,602425,66.6636622954124,6.386512,2.527677,1675229,41.7977707382147,21.8916,7.333532,5742326,33.8106915877028,39.09292,15.16353,10254358,39.1692310580545,55.13959,23.37784,14463517,42.6499184021919,75.18248,37.6949,19720913,50.1843190985215,84.67608,48.43972,22211154,57.3404356266101,10.56084,3.882426,2770185,37.9097639742582,17.61332,5.844738,4620102,34.0433525167777,24.59991,8.457598,6452736,35.0716621893693,0.01106236,0.021316746,0.044672288,0.139022235,0.7333532,2.2745295,4.675568,11.30847,19.375888,0.2783699442,0.5236885248,0.909191785,0.935390947224155,1.83539094722415,2.1332371934532,2.29887739060181,3.38106915877028,5.87538465870817,8.52998368043838,15.0552957295565,22.936174250644
"Argentina -  Urban",1987,"U","income",TRUE,"ARG:1987:U:i","ARG1987",NA,0.8867948,0.7937737,237392,91.7268246201727,1.430375,0.9701376,382906,68.2239579741153,3.257235,1.446867,871950,46.8114467128555,10.30757,3.554832,2759299,35.2516660828254,27.96051,10.30964,7484927,37.1975663234497,47.73841,19.43261,12779399,40.8926620630612,61.81156,28.27315,16546730,45.8729373525304,79.04477,42.60587,21159998,54.0370183868931,87.53569,52.83399,23432986,60.4763401547174,12.88479,4.606902,3449212,36.5453602382038,18.72449,6.866595,5012478,36.3286366553267,25.69626,9.41232,6878796,37.1789077258503,0.007937737,0.0184326144,0.046299744,0.19551576,1.030964,2.9148915,5.65463,12.781761,21.133596,0.2911562064,0.542461005,0.892287936,0.917268246201727,1.29625520150819,1.49796629481138,1.9388416345554,3.71975663234497,6.13389930945918,9.17458747050608,16.2111055160679,24.190536061887
"Argentina -  Urban",1988,"U","income",FALSE,"ARG:1988:U:i","ARG1988",NA,0.8854893,0.7249488,241819,88.0603761305228,1.358368,0.9230188,370958,67.160446253292,3.737683,1.513644,1020727,39.9804734474601,12.19727,4.106653,3330963,34.0010058724026,32.93708,12.14989,8994815,37.0685028775539,53.40784,22.55137,14585192,42.4023082238862,67.33703,32.02536,18389127,47.6603382595767,82.30139,46.61769,22475757,56.6992366470849,89.88023,56.56721,24545468,63.0448792869842,12.53019,4.253557,3421880,34.3540876634289,18.40716,6.469753,5026827,35.5615000457405,25.01221,8.979232,6830606,36.1066740763219,0.007249488,0.0175373572,0.048436608,0.225865915,1.214989,3.3827055,6.405072,13.985307,22.626884,0.238199192,0.45288271,0.754255488,0.880603761305228,1.27604847881255,1.27937515031872,1.87005532298214,3.70685028775539,6.36034623358293,9.53206765191534,17.0097709941255,25.2179517147937
"Argentina -  Urban",1989,"U","income",FALSE,"ARG:1989:U:i","ARG1989",NA,0.922758,0.6617213,256937,88.076588800781,1.470737,0.8922161,409519,68.2524387439181,5.227492,1.806396,1455567,34.4487826843083,16.02043,5.416306,4460803,34.221245980348,40.70241,15.7502,11333367,38.7488939571301,60.96713,27.6995,16975970,45.4413258050442,73.31169,37.62348,20413246,51.4260832060014,86.28103,51.92834,24024489,60.1973573822158,92.07947,61.29316,25639034,66.6405813709882,12.79244,4.207263,3561986,32.5635206849657,18.92127,6.555565,5268526,34.8199564316735,25.71778,9.189682,7160978,35.8622737211282,0.006617213,0.0169521059,0.057804672,0.29789683,1.57502,4.154925,7.524696,15.578502,24.517264,0.20426261865,0.3979227955,0.6690088496,0.88076588800781,1.29679633613444,1.10236104589787,1.88216852891914,3.87488939571301,6.81619887075663,10.2852166412003,18.0592072146647,26.6562325483953
"Argentina -  Urban",1990,"U","income",FALSE,"ARG:1990:U:i","ARG1990",NA,0.8445277,0.597885,239618,86.642592147774,1.664534,0.8538603,472278,50.7493854684743,6.256856,2.022857,1775258,32.4520930488594,19.26379,6.41174,5465716,33.6604402977923,46.28437,18.4616,13132268,38.7391416973178,66.15501,31.51516,18770166,47.5247302717801,77.17135,41.74462,21895833,54.0465419085801,88.68702,55.82014,25163174,62.8285171496488,93.56683,64.72019,26547723,68.9543953091968,11.72681,3.749041,3327249,32.3933498271737,17.72645,5.968065,5029527,33.8238162595234,24.43295,8.511891,6932363,35.023997498144,0.00597885,0.0162233457,0.064731424,0.3526457,1.84616,4.727274,8.348924,16.746042,25.888076,0.15929675209,0.3169042515,0.5422074567,0.86642592147774,0.964238323901012,1.0384669775635,1.85132421637858,3.87391416973178,7.12870954076702,10.809308381716,18.8485551448946,27.5817581236787
"Argentina -  Urban",1991,"U","income",TRUE,"ARG:1991:U:i","ARG1991",NA,0.7662974,0.5054815,221362,91.7694429889063,1.281598,0.7402446,370218,58.1678998454726,5.508654,1.779573,1591297,31.265295665422,18.98642,5.979582,5484651,32.2710258439465,46.06502,18.01039,13306908,38.8691433190953,67.70527,31.35519,19558176,46.4034916047249,78.38163,41.81298,22642281,53.4003811220396,89.4757,55.9537,25847050,62.6274795689908,93.50282,64.87651,27010374,69.3894984078498,10.91527,3.448839,3153119,30.0386611807426,17.21424,5.609878,4972717,31.0919287554386,23.78121,8.151702,6869733,34.7621137956658,0.005054815,0.0140646474,0.056946336,0.32887701,1.801039,4.7032785,8.362596,16.78611,25.950604,0.14733440208,0.2995674852,0.5225240982,0.917694429889063,1.10519009706398,1.0004894612935,1.77490642141706,3.88691433190953,6.96052374070874,10.6800762244079,18.7882438706972,27.7557993631399
