"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","Population","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","headcount_ratio_15_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00"
"Argentina -  Urban",1986,"U","income",TRUE,"ARG:1986:U:i","ARG1986",NA,1.119132,1.106236,293556,93.5390947224155,1.224448,1.121934,321182,96.5995235381134,2.296637,1.396009,602425,66.6636622954124,6.386512,2.527677,1675229,41.7977707382147,21.8916,7.333532,5742326,33.8106915877028,39.09292,15.16353,10254358,39.1692310580545,55.13959,23.37784,14463517,42.6499184021919,75.18248,37.6949,19720913,50.1843190985215,84.67608,48.43972,22211154,57.3404356266101,10.56084,3.882426,2770185,37.9097639742582,17.61332,5.844738,4620102,34.0433525167777,24.59991,8.457598,6452736,35.0716621893693,0.01106236,0.021316746,0.044672288,0.139022235,0.7333532,2.2745295,4.675568,11.30847,19.375888,0.2783699442,0.5236885248,0.909191785,0.935390947224155,1.83539094722415,2.1332371934532,2.29887739060181,3.38106915877028,5.87538465870817,8.52998368043838,15.0552957295565,22.936174250644
"Argentina -  Urban",1987,"U","income",TRUE,"ARG:1987:U:i","ARG1987",NA,0.8867948,0.7937737,237392,91.7268246201727,1.430375,0.9701376,382906,68.2239579741153,3.257235,1.446867,871950,46.8114467128555,10.30757,3.554832,2759299,35.2516660828254,27.96051,10.30964,7484927,37.1975663234497,47.73841,19.43261,12779399,40.8926620630612,61.81156,28.27315,16546730,45.8729373525304,79.04477,42.60587,21159998,54.0370183868931,87.53569,52.83399,23432986,60.4763401547174,12.88479,4.606902,3449212,36.5453602382038,18.72449,6.866595,5012478,36.3286366553267,25.69626,9.41232,6878796,37.1789077258503,0.007937737,0.0184326144,0.046299744,0.19551576,1.030964,2.9148915,5.65463,12.781761,21.133596,0.2911562064,0.542461005,0.892287936,0.917268246201727,1.29625520150819,1.49796629481138,1.9388416345554,3.71975663234497,6.13389930945918,9.17458747050608,16.2111055160679,24.190536061887
"Argentina -  Urban",1991,"U","income",TRUE,"ARG:1991:U:i","ARG1991",NA,0.7662974,0.5054815,221362,91.7694429889063,1.281598,0.7402446,370218,58.1678998454726,5.508654,1.779573,1591297,31.265295665422,18.98642,5.979582,5484651,32.2710258439465,46.06502,18.01039,13306908,38.8691433190953,67.70527,31.35519,19558176,46.4034916047249,78.38163,41.81298,22642281,53.4003811220396,89.4757,55.9537,25847050,62.6274795689908,93.50282,64.87651,27010374,69.3894984078498,10.91527,3.448839,3153119,30.0386611807426,17.21424,5.609878,4972717,31.0919287554386,23.78121,8.151702,6869733,34.7621137956658,0.005054815,0.0140646474,0.056946336,0.32887701,1.801039,4.7032785,8.362596,16.78611,25.950604,0.14733440208,0.2995674852,0.5225240982,0.917694429889063,1.10519009706398,1.0004894612935,1.77490642141706,3.88691433190953,6.96052374070874,10.6800762244079,18.7882438706972,27.7557993631399
"Argentina -  Urban",1992,"U","income",TRUE,"ARG:1992:U:i","ARG1992",NA,1.215779,0.9587233,356858,83.1716186548253,2.461978,1.307434,722646,55.4764450446913,6.110276,2.466455,1793503,39.9735987322161,18.37707,6.424445,5394082,35.1074728948996,44.65561,17.82213,13107423,40.0008936548345,63.76308,30.20013,18715894,47.4889680885598,75.74826,40.33865,22233813,53.3131773915197,87.66575,54.52014,25731864,61.7642812221733,92.99122,63.57241,27295009,68.4465687202058,12.24337,4.256455,3593704,34.8297846792952,19.5561,6.604358,5740154,33.8840385140561,25.45408,9.254459,7471343,36.0936855060655,0.009587233,0.024841246,0.07892656,0.353344475,1.782213,4.5300195,8.06773,16.356042,25.428964,0.19013584485,0.3685231764,0.620048753,0.831716186548253,1.05405245584913,1.27915515943092,1.93091100921948,4.00008936548345,7.12334521328397,10.6626354783039,18.529284366652,27.3786274880823
"Argentina -  Urban",1993,"U","income",TRUE,"ARG:1993:U:i","ARG1993",NA,1.187002,0.9390451,353839,83.4895775817589,2.818199,1.429446,840090,50.4578224310833,7.026529,2.806269,2094570,40.5938196031288,17.84296,6.856417,5318889,39.0162123443516,42.72729,17.6679,12736771,41.444406134431,62.76002,29.59366,18708418,47.3230865579664,75.12762,39.5693,22395132,52.8416129697991,88.14374,53.8165,26275166,61.2207080045163,93.53935,63.16254,27883568,67.6020757915245,13.61527,4.996077,4058637,36.5987300741203,20.09956,7.305498,5991569,36.4072299202974,26.13367,9.896636,7790304,38.3919983361972,0.009390451,0.027159474,0.089800608,0.377102935,1.76679,4.439049,7.91386,16.14495,25.265016,0.22812087582,0.4171439358,0.677919566,0.834895775817589,0.958698626190583,1.29900222730012,2.14589167893934,4.1444406134431,7.09846298369496,10.5683225939598,18.3662124013549,27.0408303166098
"Argentina -  Urban",1994,"U","income",TRUE,"ARG:1994:U:i","ARG1994",NA,1.507056,1.231298,456044,92.6939460669799,2.674561,1.578479,809338,57.7995204936812,6.760663,2.794028,2045817,42.1932097905542,20.64289,7.202195,6246660,35.4132330290781,44.55992,18.6286,13484095,42.0600681189592,64.3843,30.74716,19483069,47.7432338791263,75.99163,40.74976,22995516,53.5992902374623,88.41074,54.90949,26753612,62.2003368544708,93.47044,63.98814,28284707,68.3581662824687,13.82271,4.836057,4182834,34.1961654217025,20.85201,7.251147,6309941,35.4764171152348,26.59362,9.92357,8047386,37.6101764542766,0.01231298,0.029991101,0.089408896,0.396120725,1.86286,4.612074,8.149952,16.472847,25.595256,0.21351191655,0.4002633144,0.656940334,0.926939460669799,1.09819088937994,1.35018271329773,1.9477278165993,4.20600681189592,7.16148508186895,10.7198580474925,18.6601010563412,27.3432665129875
"Argentina -  Urban",1995,"U","income",TRUE,"ARG:1995:U:i","ARG1995",NA,2.466719,1.722418,757428,71.1763695364627,4.924877,2.63598,1512228,54.9301177543949,10.1754,4.59367,3124449,44.8896952250298,24.55847,9.795711,7540901,40.7073168874422,49.30151,22.34855,15138476,45.4607275061133,68.52184,34.85471,21040253,51.1242803057471,78.90376,44.70805,24228116,56.9491865367165,88.70018,57.95416,27236196,65.5587703580297,93.75497,66.27886,28788315,70.8697641244741,15.6381,6.361958,4801821,41.3342307105752,21.1943,8.769708,6507902,41.9884481710367,28.02907,11.45252,8606580,41.222397118175,0.01722418,0.05008362,0.14699744,0.538764105,2.234855,5.2282065,8.94161,17.386248,26.511544,0.25963150598,0.447255108,0.700894224,0.711763695364627,1.0436722373335,1.43647024720095,2.23890242880932,4.54607275061133,7.66864204586207,11.3898373073433,19.6676311074089,28.3479056497896
"Argentina -  Urban",1996,"U","income",TRUE,"ARG:1996:U:i","ARG1996",NA,2.994145,2.328025,932551,81.5835142626615,5.302169,3.149845,1651404,61.6408922003587,12.02962,5.24667,3746723,44.8715913086876,26.30922,10.95978,8194220,41.9661729106725,50.50961,23.73263,15731628,47.2266131099862,68.57192,36.05788,21357281,52.8670126395897,78.83928,45.57144,24555133,57.9859900966579,88.64941,58.53457,27610578,66.140422565297,93.82393,66.82026,29222224,71.2982179512114,16.13298,6.822786,5024747,41.0228021417182,22.4892,9.334477,7004444,42.2623291755376,28.46016,11.99421,8864148,42.7898815877679,0.02328025,0.059847055,0.16789344,0.6027879,2.373263,5.408682,9.114288,17.560371,26.728104,0.26718029976,0.45682930438,0.704060127,0.815835142626615,1.17117695180682,1.435890921878,2.30813951008699,4.72266131099862,7.93005189593846,11.5971980193316,19.8421267695891,28.5192871804846
"Argentina -  Urban",1997,"U","income",TRUE,"ARG:1997:U:i","ARG1997",NA,2.445342,1.783878,772230,72.4380232559458,4.820757,2.613428,1522378,51.6450041688534,11.18216,4.710686,3531286,42.5013701563922,25.1346,10.25378,7937417,41.0501326267458,48.29465,22.29435,15251279,46.4663684015386,66.25365,34.31642,20922667,51.8255472335253,76.86247,43.80274,24272895,57.0274429361665,87.68932,56.86914,27691976,64.8931664863644,92.7569,65.2654,29292300,70.377620304238,17.08833,6.926913,5396434,40.997632868288,22.22956,9.536697,7020016,39.4570716719717,29.8001,12.37395,9410766,41.6929269542167,0.01783878,0.049655132,0.150741952,0.5639579,2.229435,5.147463,8.760548,17.060742,26.10616,0.29044546209,0.4997229228,0.778321455,0.724380232559458,0.981255079208215,1.36004384500455,2.25775729447102,4.64663684015386,7.7738320850288,11.4054885872333,19.4679499459093,28.1510481216952
"Argentina -  Urban",1998,"U","income",TRUE,"ARG:1998:U:i","ARG1998",NA,2.388157,1.506625,764439,62.817884397889,5.575854,2.610963,1784807,48.5059086161303,12.53088,5.085746,4011080,41.1571669817588,27.85019,11.33277,8914725,41.0588782648402,51.46563,24.36931,16473925,47.5449233852067,68.21994,36.56165,21836907,53.6542874613717,78.27343,45.83074,25054985,58.621976550428,88.31415,58.60579,28268976,66.5246708816069,93.33124,66.74018,29874925,71.4577163426653,16.57348,6.65505,5305099,39.0976010675528,23.0492,9.288798,7377949,40.6999799731676,28.93883,12.07288,9263194,41.8988174950766,0.01506625,0.049608297,0.162743872,0.62330235,2.436931,5.4842475,9.166148,17.581737,26.696072,0.255287718,0.4453978641,0.6941906,0.62817884397889,0.921612263706476,1.31702934341628,2.25823830456621,4.75449233852067,8.04814311920575,11.7243953100856,19.9574012644821,28.5830865370661
