Entity,Year,East Asia and Pacific,East Europe and Central Asia,High income,Latin America and the Carribean,North Africa and Middle East,South Asia,Sub-Saharan Africa
Bottle lids,2021,,3.1,,,,,2.8
Cans (drink),2021,3.4,9.9,8.0,4.6,6.8,4.1,7.4
Cans (food),2021,,3.4,,,3.1,,
Clothing,2021,2.8,,,2.5,,3.7,3.6
Fishing net,2021,2.7,,,,,3.8,
Fishing related,2021,7.2,21.1,31.7,10.3,14.1,12.2,3.7
Fishing weights,2021,,,9.6,4.6,3.4,,
Food containers,2021,4.2,5.6,3.9,8.8,17.1,,4.2
Glass bottles,2021,5.2,3.4,7.2,4.8,3.7,3.7,10.4
Industrial packaging,2021,,,,,,3.0,
Plastic bags,2021,14.0,5.8,4.9,20.1,12.3,7.1,9.0
Plastic bottles,2021,11.1,7.5,6.0,10.4,9.0,12.9,19.2
Plastic lids,2021,,7.6,2.1,4.5,3.5,,5.6
Rope & nets (fabric),2021,,,,,,,4.2
Synthetic rope,2021,2.8,,2.2,,,,
Tyres,2021,,3.2,,,,,
Wood,2021,,,,,,4.2,
Wrappers,2021,18.2,,2.6,4.4,3.5,6.4,
