Entity,Year,Share of aquatic waste
Bags,2021,14.05711049
Plastic bottles,2021,11.88857171
Food containers / cutlery,2021,9.390787309
Wrappers,2021,9.052224779
Synthetic rope,2021,7.883046641
Fishing related,2021,7.587689565
Plastic lids,2021,6.083896059
Industrial packaging,2021,3.447397554
Glass bottles,2021,3.39341409
Cans (drinks),2021,3.167243277
