"","Entity","Year","X_1_9_per_day___share_of_population_below_poverty_line","X_1_9_per_day___poverty_gap_index","X_1_9_per_day___total_number_of_people_below_poverty_line","X_1_9_per_day___absolute_poverty_gap","X_1_9_per_day___income_gap_ratio","X_1_9_per_day___watts_index","X_3_2_per_day___share_of_population_below_poverty_line","X_3_2_per_day___poverty_gap_index","X_3_2_per_day___total_number_of_people_below_poverty_line","X_3_2_per_day___absolute_poverty_gap","X_3_2_per_day___income_gap_ratio","X_3_2_per_day___watts_index","X_5_5_per_day___share_of_population_below_poverty_line","X_5_5_per_day___poverty_gap_index","X_5_5_per_day___total_number_of_people_below_poverty_line","X_5_5_per_day___absolute_poverty_gap","X_5_5_per_day___income_gap_ratio","X_5_5_per_day___watts_index","X_10_per_day___share_of_population_below_poverty_line","X_10_per_day___poverty_gap_index","X_10_per_day___total_number_of_people_below_poverty_line","X_10_per_day___absolute_poverty_gap","X_10_per_day___income_gap_ratio","X_10_per_day___watts_index","X_15_per_day___share_of_population_below_poverty_line","X_15_per_day___poverty_gap_index","X_15_per_day___total_number_of_people_below_poverty_line","X_15_per_day___absolute_poverty_gap","X_15_per_day___income_gap_ratio","X_15_per_day___watts_index","X_20_per_day___share_of_population_below_poverty_line","X_20_per_day___poverty_gap_index","X_20_per_day___total_number_of_people_below_poverty_line","X_20_per_day___absolute_poverty_gap","X_20_per_day___income_gap_ratio","X_20_per_day___watts_index","X_30_per_day___share_of_population_below_poverty_line","X_30_per_day___poverty_gap_index","X_30_per_day___total_number_of_people_below_poverty_line","X_30_per_day___absolute_poverty_gap","X_30_per_day___income_gap_ratio","X_30_per_day___watts_index","X_40_per_day___share_of_population_below_poverty_line","X_40_per_day___poverty_gap_index","X_40_per_day___total_number_of_people_below_poverty_line","X_40_per_day___absolute_poverty_gap","X_40_per_day___income_gap_ratio","X_40_per_day___watts_index","X_40__of_median_income___share_of_population_below_poverty_line","X_40__of_median_income___poverty_gap_index","X_40__of_median_income___total_number_of_people_below_poverty_line","X_40__of_median_income___absolute_poverty_gap","X_40__of_median_income___income_gap_ratio","X_40__of_median_income___watts_index","X_50__of_median_income___share_of_population_below_poverty_line","X_50__of_median_income___poverty_gap_index","X_50__of_median_income___total_number_of_people_below_poverty_line","X_50__of_median_income___absolute_poverty_gap","X_50__of_median_income___income_gap_ratio","X_50__of_median_income___watts_index","X_60__of_median_income___share_of_population_below_poverty_line","X_60__of_median_income___poverty_gap_index","X_60__of_median_income___total_number_of_people_below_poverty_line","X_60__of_median_income___absolute_poverty_gap","X_60__of_median_income___income_gap_ratio","X_60__of_median_income___watts_index","Mean","Mean_estimated","Median","Median_estimated","PPP","Population","Decile_1___share_of_income_or_consumption","Decile_2___share_of_income_or_consumption","Decile_3___share_of_income_or_consumption","Decile_4___share_of_income_or_consumption","Decile_5___share_of_income_or_consumption","Decile_6___share_of_income_or_consumption","Decile_7___share_of_income_or_consumption","Decile_8___share_of_income_or_consumption","Decile_9___share_of_income_or_consumption","Decile_10___share_of_income_or_consumption","Decile_1___threshold_of_income_or_consumption","Decile_2___threshold_of_income_or_consumption","Decile_3___threshold_of_income_or_consumption","Decile_4___threshold_of_income_or_consumption","Decile_5___threshold_of_income_or_consumption","Decile_6___threshold_of_income_or_consumption","Decile_7___threshold_of_income_or_consumption","Decile_8___threshold_of_income_or_consumption","Decile_9___threshold_of_income_or_consumption","Decile_1___average_income_or_consumption","Decile_2___average_income_or_consumption","Decile_3___average_income_or_consumption","Decile_4___average_income_or_consumption","Decile_5___average_income_or_consumption","Decile_6___average_income_or_consumption","Decile_7___average_income_or_consumption","Decile_8___average_income_or_consumption","Decile_9___average_income_or_consumption","Decile_10___average_income_or_consumption","Gini_index","Gini_estimated","Polarization","Polarization_estimated","MLD","MLD_estimated","Palma","P90_P10_ratio","P90_50_ratio","Entropy_0_5","Entropy_1_0","Entropy_1_5","Entropy_2_0","Atkinson_0_5","Atkinson_1_0","Atkinson_1_5","Atkinson_2_0","Theil_0_0","Theil_0_5","Theil_1_0","Theil_1_5","Theil_2_0","Var_Coeff","datayear","isinterpolated","usemicrodata","coveragetype","datatype","IsSurveyYear","OriginalMedian","OriginalMean","OriginalDecileShares","MonotonicityBreaks","DataframeRowsForGpinter","GpinterError","LessThan33Rows","ISO3DataYearCovType"
"AllCols83","ARG",1986,0.01224448,0.01121934,321182,7.78061229,0.965995235381134,0.0002548722,0.02296637,0.01396009,602425,16.30538512,0.666636622954124,0.003586771,0.06386512,0.02527677,1675229,50.743115775,0.417977707382147,0.01887893,0.218916,0.07333532,5742326,267.673918,0.338106915877028,0.08649482,0.3909292,0.1516353,10254358,830.2032675,0.391692310580545,0.2046473,0.5513959,0.2337784,14463517,1706.58232,0.426499184021919,0.3384753,0.7518248,0.376949,19720913,4127.59155,0.501843190985215,0.6001784,0.8467608,0.4843972,22211154,7072.19912,0.573404356266101,0.8284356,0.1056084,0.03882426,2770185,101.605029633,0.379097639742582,0.037816,0.1761332,0.05844738,4620102,191.146311552,0.340433525167777,0.06561288,0.2459991,0.08457598,6452736,331.855001525,0.350716621893693,0.1026433,755.7679,755.7679,545.1561,543.663575285213,3.161164,26230730,0.01768,0.03359,0.04353,0.05519,0.06666,0.0798,0.09739,0.1209,0.1632,0.3221,2527.88628292351,3418.17033643531,4443.15279537184,5538.62205867978,6523.96290342255,8020.03675514831,9618.62849487399,12214.0591703835,17880.7141810892,1555.70764805241,3026.05516528774,3931.84492795374,4977.75997767888,6045.28443236545,7202.4188028563,8794.24843203657,10907.4330918611,14728.1218297075,29523.2736922003,0.4280889,0.431512129222741,NA,NA,0.3483098,0.415887649899459,2.18830842855777,7.07338550071569,2.74077496236356,0.3181281820953,0.327676705723664,0.378426467941929,0.487274199935915,0.152738744782446,0.340245610207319,0.949259226005376,0.999107565118443,0.327676705723664,0.415887649899459,0.415887649899459,0.415887649899459,0.415887649899459,0.987192179806865,1986,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,118,NA,FALSE,"ARG:1986:U:i"
"AllCols84","ARG",1987,0.01430375,0.009701376,382906,6.727904256,0.682239579741153,0.002331693,0.03257235,0.01446867,871950,16.89940656,0.468114467128555,0.009002277,0.1030757,0.03554832,2759299,71.3632524,0.352516660828254,0.0382005,0.2796051,0.1030964,7484927,376.30186,0.371975663234497,0.1393057,0.4773841,0.1943261,12779399,1063.9353975,0.408926620630612,0.2862504,0.6181156,0.2827315,16546730,2063.93995,0.458729373525304,0.44067,0.7904477,0.4260587,21159998,4665.342765,0.540370183868931,0.7240261,0.8753569,0.5283399,23432986,7713.76254,0.604763401547174,0.9614473,0.1288479,0.04606902,3449212,106.272015336,0.365453602382038,0.05326803,0.1872449,0.06866595,5012478,197.998266825,0.363286366553267,0.08675309,0.2569626,0.0941232,6878796,325.68509664,0.371789077258503,0.125491,690.824,690.824,480.519,480.224509879843,3.161164,26769637,0.01561,0.03015,0.04119,0.05194,0.06343,0.07724,0.09514,0.1195,0.1633,0.3425,1958.49439289822,3014.74516935989,3843.03535531729,4772.45022369351,5762.69411855811,7130.17044877905,8702.5237421894,11182.7299918156,16495.5311582746,1269.62425231257,2487.77688813082,3404.8891193221,4297.23597640835,5243.24845183791,6378.23997752132,7861.7337731915,9869.04067437597,13468.9324515418,28618.1584353576,0.4527637,0.455190452004467,NA,NA,0.3886485,0.421542218859895,2.49732474498115,8.42255725525169,2.86246863340406,0.346882245366527,0.360278543296633,0.418561708610661,0.543070722978303,0.165920666923856,0.34396570921093,0.895368331305428,0.997869968075239,0.360278543296633,0.421542218859895,0.421542218859895,0.421542218859895,0.421542218859895,1.04218110036433,1987,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,133,NA,FALSE,"ARG:1987:U:i"
"AllCols88","ARG",1991,0.01281598,0.007402446,370218,5.133596301,0.581678998454726,0.003984704,0.05508654,0.01779573,1591297,20.78541264,0.31265295665422,0.01777545,0.1898642,0.05979582,5484651,120.04010865,0.322710258439465,0.07624403,0.4606502,0.1801039,13306908,657.379235,0.388691433190953,0.2607507,0.6770527,0.3135519,19558176,1716.6966525,0.464034916047249,0.4914943,0.7838163,0.4181298,22642281,3052.34754,0.534003811220396,0.6999685,0.894757,0.559537,25847050,6126.93015,0.626274795689908,1.038169,0.9350282,0.6487651,27010374,9471.97046,0.693894984078498,1.300225,0.1091527,0.03448839,3153119,53.7770567592,0.300386611807426,0.04043429,0.1721424,0.05609878,4972717,109.342132098,0.310919287554386,0.07097165,0.2378121,0.08151702,6869733,190.721295843,0.347621137956658,0.1080308,490.2204,490.2204,324.8208,324.122952020859,3.161164,28887229,0.01744,0.03052,0.04059,0.05002,0.06059,0.07238,0.08891,0.1141,0.1594,0.3661,1472.31335930408,2107.52922297458,2615.75784693177,3223.74640941576,3889.47542425031,4673.52388083414,5914.61555039814,7726.38044964815,11237.417381826,1005.97249409381,1781.15988408488,2381.55462125498,2933.16789363132,3555.11787452939,4241.91909372112,5215.11591728688,6680.24132286258,9330.42969524239,21701.7692032927,0.4676174,0.470233897466522,NA,NA,0.4350875,0.391214846321392,2.67861736475543,7.63249026493763,2.88918585569723,0.356655782300385,0.385975228345646,0.470196899353665,0.653664095918255,0.170377681959674,0.32376514613972,0.760985301779855,0.993345250288845,0.385975228345646,0.391214846321392,0.391214846321392,0.391214846321392,0.391214846321392,1.14338453367033,1991,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,142,NA,FALSE,"ARG:1991:U:i"
"AllCols89","ARG",1992,0.02461978,0.01307434,722646,9.06705479,0.554764450446913,0.007086118,0.06110276,0.02466455,1793503,28.8081944,0.399735987322161,0.02368089,0.1837707,0.06424445,5394082,128.970733375,0.351074728948996,0.080624,0.4465561,0.1782213,13107423,650.507745,0.400008936548345,0.2576758,0.6376308,0.3020013,18715894,1653.4571175,0.474889680885598,0.4744751,0.7574826,0.4033865,22233813,2944.72145,0.533131773915197,0.6748613,0.8766575,0.5452014,25731864,5969.95533,0.617642812221733,1.005893,0.9299122,0.6357241,27295009,9281.57186,0.684465687202058,1.264179,0.1224337,0.04256455,3593704,69.39958337025,0.348297846792952,0.04967603,0.195561,0.06604358,5740154,134.510959386,0.338840385140561,0.08324496,0.2545408,0.09254459,7471343,226.317794845,0.360936855060655,0.1226307,494.3771,494.3771,339.7113,340.762371715448,3.161164,29352243,0.016,0.03,0.0407,0.05124,0.06211,0.07652,0.09419,0.1206,0.1657,0.3429,1482.37379317506,2080.56214231376,2757.98891701656,3324.35426701158,4089.14846058538,5036.81181333155,6196.7451237153,8235.94645924839,12125.0642249184,939.023663392057,1772.221757465,2408.75184253104,3026.12336628143,3679.43843676556,4530.79455738178,5571.00317882852,7112.92366065171,9779.61664604297,20505.3548906599,0.4546809,0.456931454403964,NA,NA,0.390243,0.423380225948445,2.51719263964445,8.17949175892274,2.96518073182959,0.351400370445004,0.364185329956107,0.420141885126683,0.537970940909809,0.167982546450697,0.345170397435836,0.879701839572935,0.997230310296304,0.364185329956107,0.423380225948445,0.423380225948445,0.423380225948445,0.423380225948445,1.03727618396434,1992,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,158,NA,FALSE,"ARG:1992:U:i"
"AllCols90","ARG",1993,0.02818199,0.01429446,840090,9.91320801,0.504578224310833,0.008326091,0.07026529,0.02806269,2094570,32.77722192,0.405938196031288,0.02822882,0.1784296,0.06856417,5318889,137.642571275,0.390162123443516,0.08858883,0.4272729,0.176679,12736771,644.87835,0.41444406134431,0.2610247,0.6276002,0.2959366,18708418,1620.252885,0.473230865579664,0.4716653,0.7512762,0.395693,22395132,2888.5589,0.528416129697991,0.668375,0.8814374,0.538165,26275166,5892.90675,0.612207080045163,0.99698,0.9353935,0.6316254,27883568,9221.73084,0.676020757915245,1.256597,0.1361527,0.04996077,4058637,83.2641196743,0.365987300741203,0.06056034,0.2009956,0.07305498,5991569,152.257536567,0.364072299202974,0.09542104,0.2613367,0.09896636,7790304,247.44064159,0.383919983361972,0.1354058,495.4168,495.4168,347.2038,346.559619824294,3.161164,29809452,0.01484,0.02967,0.04097,0.05217,0.06421,0.07898,0.09671,0.1234,0.167,0.332,1412.77504664644,2070.31996559546,2771.24497311233,3417.01417446651,4158.71543789153,5127.91503449764,6467.72384266178,8369.41788985646,11896.516877578,868.158525839679,1757.10652160335,2428.93016247781,3085.10784755641,3804.40269249175,4684.6500516619,5742.02804866607,7328.51376413071,9887.25002788092,19863.8683576914,0.4485629,0.450673708428911,NA,NA,0.3879424,0.416601826466102,2.44048762128881,8.42067313251129,2.86062296284681,0.336661110903892,0.340334505298,0.380756979400198,0.468055055999615,0.161246761477256,0.340716623119037,0.880847988768785,0.997233380429674,0.340334505298,0.416601826466102,0.416601826466102,0.416601826466102,0.416601826466102,0.967527835258103,1993,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,156,NA,FALSE,"ARG:1993:U:i"
"AllCols91","ARG",1994,0.02674561,0.01578479,809338,10.946751865,0.577995204936812,0.005799062,0.06760663,0.02794028,2045817,32.63424704,0.421932097905542,0.02267219,0.2064289,0.07202195,6246660,144.584064625,0.354132330290781,0.08539846,0.4455992,0.186286,13484095,679.9439,0.420600681189592,0.2660986,0.643843,0.3074716,19483069,1683.40701,0.477432338791263,0.4816443,0.7599163,0.4074976,22995516,2974.73248,0.535992902374623,0.681079,0.8841074,0.5490949,26753612,6012.589155,0.622003368544708,1.012212,0.9347044,0.6398814,28284707,9342.26844,0.683581662824687,1.270982,0.1382271,0.04836057,4182834,77.93184954075,0.341961654217025,0.05120194,0.2085201,0.07251147,6309941,146.096109756,0.354764171152348,0.08610848,0.2659362,0.0992357,8047386,239.78322191,0.376101764542766,0.1262563,489.433,489.433,335.7327,333.743148785098,3.161164,30260590,0.01496,0.02882,0.03955,0.05068,0.06316,0.07716,0.09502,0.121,0.1651,0.3445,1377.58665642258,1952.81007569236,2663.07428568386,3300.84890817393,4004.91778542117,4931.17205962395,6228.9867425523,7998.84622908673,11680.7357366716,865.459177580805,1676.78896373457,2317.21121136835,2967.3312595236,3701.95976614987,4512.33773827145,5561.8937183844,7086.48424879444,9665.08233148085,20377.4115847117,0.459168,0.461569424343017,NA,NA,0.4110283,0.45673313689658,2.60354628025046,8.47912955763158,2.91659813322315,0.360930882502981,0.371415686684556,0.428972848604736,0.553026335349255,0.172323497379967,0.366650664918402,0.921676414242347,0.998197409895637,0.371415686684556,0.45673313689658,0.45673313689658,0.45673313689658,0.45673313689658,1.05169038728064,1994,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,158,NA,FALSE,"ARG:1994:U:i"
"AllCols92","ARG",1995,0.04924877,0.0263598,1512228,18.2805213,0.549301177543949,0.01568819,0.101754,0.0459367,3124449,53.6540656,0.448896952250298,0.0455296,0.2455847,0.09795711,7540901,196.648898325,0.407073168874422,0.1262421,0.4930151,0.2234855,15138476,815.722075,0.454607275061133,0.3349128,0.6852184,0.3485471,21040253,1908.2953725,0.511242803057471,0.5688861,0.7890376,0.4470805,24228116,3263.68765,0.569491865367165,0.7774935,0.8870018,0.5795416,27236196,6345.98052,0.655587703580297,1.112451,0.9375497,0.6627886,28788315,9676.71356,0.708697641244741,1.370276,0.156381,0.06361958,4801821,94.7654996827,0.413342307105752,0.07268636,0.211943,0.08769708,6507902,163.24811442,0.419884481710367,0.1101249,0.2802907,0.1145252,8606580,255.82639176,0.41222397118175,0.1525329,464.9228,464.9228,310.349,308.585153848703,3.161164,30705908,0.01132,0.0263,0.03686,0.04734,0.05912,0.07357,0.09075,0.1168,0.1681,0.3698,1152.50671817786,1744.35703481864,2291.9195053426,2888.71193077641,3703.02184618443,4503.49502697269,5702.13620942321,7601.34271738227,11641.6327698243,612.425663419674,1454.06913776346,2034.89958776601,2628.19749591387,3273.33794728404,4074.31673238289,5035.24797345682,6463.56407125235,9296.8042776786,20917.8731130823,0.489044,0.493735834934273,NA,NA,0.4811141,0.564807787910774,3.10834200215517,10.1011409184929,3.14381962985711,0.423301169196273,0.440363664936987,0.528167453444829,0.729311567990726,0.200451592107953,0.431530597051374,0.974222646320815,0.999509361250505,0.440363664936987,0.564807787910774,0.564807787910774,0.564807787910774,0.564807787910774,1.20773471258445,1995,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,163,NA,FALSE,"ARG:1995:U:i"
"AllCols93","ARG",1996,0.05302169,0.03149845,1651404,21.844175075,0.616408922003587,0.02064673,0.1202962,0.0524667,3746723,61.2811056,0.448715913086876,0.05269669,0.2630922,0.1095978,8194220,220.0175835,0.419661729106725,0.1414026,0.5050961,0.2373263,15731628,866.240995,0.472266131099862,0.3579142,0.6857192,0.3605788,21357281,1974.16893,0.528670126395897,0.5939897,0.7883928,0.4557144,24555133,3326.71512,0.579859900966579,0.8010815,0.8864941,0.5853457,27610578,6409.535415,0.66140422565297,1.134565,0.9382393,0.6682026,29222224,9755.75796,0.712982179512114,1.392553,0.1613298,0.06822786,5024747,97.5208094124,0.410228021417182,0.07674567,0.224892,0.09334477,7004444,166.7426960987,0.422623291755376,0.1155366,0.2846016,0.1199421,8864148,256.981946355,0.427898815877679,0.1579884,455.447,455.447,297.7429,296.957067171019,3.161164,31145811,0.01034,0.02481,0.03556,0.04642,0.05834,0.07303,0.09193,0.1199,0.1709,0.3688,1028.16528004432,1631.1364055979,2217.44022117648,2858.27936723988,3563.48480605222,4375.50925708139,5693.22076307291,7588.79721485038,11390.9372832682,546.048557669463,1339.96986891401,1923.32080020697,2520.17334052511,3167.06258220729,3966.70796681741,4994.95919717128,6483.09728251224,9270.59273606719,20441.707667909,0.4952443,0.500030586762461,NA,NA,0.5106798,0.618425892267486,3.22958639397705,11.0788970454022,3.19657242930343,0.438690025923395,0.45228734105159,0.543512244177505,0.758593884843942,0.207316954283906,0.461208113093172,0.984234799968763,0.999674360501957,0.45228734105159,0.618425892267486,0.618425892267486,0.618425892267486,0.618425892267486,1.2317417625817,1996,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,169,NA,FALSE,"ARG:1996:U:i"
"AllCols94","ARG",1997,0.04820757,0.02613428,1522378,18.12412318,0.516450041688534,0.01645196,0.1118216,0.04710686,3531286,55.02081248,0.425013701563922,0.04796839,0.251346,0.1025378,7937417,205.8446335,0.410501326267458,0.1338807,0.4829465,0.2229435,15251279,813.743775,0.464663684015386,0.3393232,0.6625365,0.3431642,20922667,1878.823995,0.518255472335253,0.567546,0.7686247,0.4380274,24272895,3197.60002,0.570274429361665,0.7704286,0.8768932,0.5686914,27691976,6227.17083,0.648931664863644,1.099472,0.927569,0.652654,29292300,9528.7484,0.70377620304238,1.355082,0.1708833,0.06926913,5396434,106.01259366285,0.40997632868288,0.08162913,0.2222956,0.09536697,7020016,182.398866822,0.394570716719717,0.1226356,0.298001,0.1237395,9410766,284.087331075,0.416929269542167,0.168247,477.2337,477.2337,318.826,317.682748595335,3.161164,31579645,0.01083,0.02465,0.03519,0.04685,0.05938,0.07308,0.09274,0.1208,0.1728,0.3637,1109.94843458376,1735.69849484903,2324.09184083918,3032.62538079438,3812.19298314402,4694.13229981736,5932.31392722415,8087.11427821018,12299.3238861508,609.726931856767,1405.57397497379,2008.60746129399,2676.95437723175,3390.8270718281,4180.31036709058,5293.82720941566,6896.8803035303,9859.73550277125,20945.6008000078,0.4911048,0.492837314634644,NA,NA,0.4894943,0.552402443339801,3.12580657088121,11.0809867404003,3.22631197857333,0.419590256281647,0.424163625760423,0.48437083094789,0.617279922916574,0.198791629192917,0.424434615180999,0.946792923802119,0.998669737125062,0.424163625760423,0.552402443339801,0.552402443339801,0.552402443339801,0.552402443339801,1.11110748617456,1997,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,169,NA,FALSE,"ARG:1997:U:i"
"AllCols95","ARG",1998,0.05575854,0.02610963,1784807,18.107028405,0.485059086161303,0.0204422,0.1253088,0.05085746,4011080,59.40151328,0.411571669817588,0.05806805,0.2785019,0.1133277,8914725,227.50535775,0.410588782648402,0.1564924,0.5146563,0.2436931,16473925,889.479815,0.475449233852067,0.3831669,0.6821994,0.3656165,21836907,2001.7503375,0.536542874613717,0.6232719,0.7827343,0.4583074,25054985,3345.64402,0.58621976550428,0.8310599,0.8831415,0.5860579,28268976,6417.334005,0.665246708816069,1.166117,0.9333124,0.6674018,29874925,9744.06628,0.714577163426653,1.424599,0.1657348,0.0665505,5305099,93.18001707,0.390976010675528,0.08219627,0.230492,0.09288798,7377949,162.5702203965,0.406999799731676,0.1235737,0.2893883,0.1207288,9263194,253.379569,0.418988174950766,0.1685717,463.4165,463.4165,291.6875,290.485842383522,3.161164,32009566,0.01065,0.02343,0.03365,0.04435,0.05636,0.07065,0.09055,0.1196,0.1703,0.3805,997.224493358986,1558.63464273954,2151.3111674364,2807.68130994521,3485.83010860226,4415.6488355067,5662.87197129219,7647.55820596761,11741.3066759796,581.354614214833,1293.54059250414,1863.98574028642,2459.72063393751,3126.12796741863,3911.93626358729,5018.14139783458,6628.71236626782,9422.95264479576,21303.507779153,0.5073364,0.509626389110982,NA,NA,0.5092632,0.550231426093757,3.43682482265822,11.7739854507894,3.36829573162634,0.43971073342099,0.451930552160887,0.526801885429553,0.692384809808114,0.207771271142643,0.423183695411466,0.924619042851361,0.998128601042391,0.451930552160887,0.550231426093757,0.550231426093757,0.550231426093757,0.550231426093757,1.17676234627737,1998,0,1,"U","income",TRUE,TRUE,TRUE,TRUE,0,165,NA,FALSE,"ARG:1998:U:i"
