Entity,Year,Elo_rating
Mephisto,1985,2016
Mephisto,1986,2079
Mephisto,1987,2119
Mephisto,1988,2148
Mephisto,1989,2219
Mephisto,1990,2263
Mephisto,1991,2263
Chess Machine,1992,2320
Chess Machine,1993,2321
Mephisto,1994,2314
Mchess,1995,2427
Deep Blue,1996,2853
Deep Blue,1997,2853
Deep Blue,1998,2853
Deep Blue,1999,2853
Deep Blue,2000,2853
Deep Blue,2001,2853
Deep Blue,2002,2853
Deep Blue,2003,2853
Deep Blue,2004,2853
Deep Blue,2005,2853
HIARCS,2006,2871
Rybka,2007,3236
Rybka,2008,3237
Rybka,2009,3227
Rybka,2010,3227
Houdini,2011,3236
Houdini,2012,3250
Komodo,2013,3259
Stockfish,2014,3331
Houdini,2015,3381
Houdini,2016,3411
AlphaZero,2017,3460
Stockfish,2018,3528
Stockfish,2019,3529
Stockfish,2020,3573
Leela Chess Zero,2021,3581
